,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.1090967,-0.0768294,-0.1859261
1,"('unfriendly', 'friendly')",1.5556555,1.5953362,0.0396806999999999
2,"('unlikable', 'likable')",0.0841289,0.0877794,0.003650499999999987
3,"('repellent', 'pleasant')",1.5105516,1.4513123,-0.059239299999999995
4,"('disliked', 'liked')",-7.5304744,-7.4835111,0.04696329999999982
5,"('distant', 'outgoing')",-0.4314966,-0.4952182,-0.06372159999999999
6,"('distant', 'open')",-0.0528646,-0.1554786,-0.102614
7,"('insensitive', 'sensitive')",1.4033907,1.3651874,-0.03820330000000016
8,"('unaffectionate', 'affectionate')",0.8086255,0.7385017,-0.07012379999999996
9,"('unaffectionate', 'caring')",1.2092112,1.2285092,0.019298000000000037
10,"('unsympathetic', 'sympathetic')",0.8087184,0.7232353,-0.08548309999999992
11,"('unhelpful', 'helpful')",1.6818939,1.6668057,-0.015088199999999885
12,"('unsupportive', 'supportive')",-1.2670573,-1.201649,0.06540830000000009
13,"('impolite', 'polite')",0.0832274,0.0336794,-0.04954800000000001
14,"('antisocial', 'social')",0.0521141,-0.0045722,-0.056686299999999995
15,"('boring', 'funny')",0.4280326,0.3224737,-0.10555890000000001
16,"('unpopular', 'popular')",-1.1878289,-1.1866125,0.0012163999999998953
17,"('nasty', 'nice')",-0.713229,-0.6800261,0.033202900000000035
18,"('disagreeable', 'welcoming')",-0.3541981,-0.4117012,-0.057503099999999974
19,"('inhospitable', 'hospitable')",-0.3150072,-0.2610061,0.05400109999999997
20,"('rough', 'thoughtful')",0.8539091,0.8289997,-0.02490939999999997
21,"('immoral', 'moral')",0.1811174,0.2711488,0.09003140000000001
22,"('untrustworthy', 'trustworthy')",0.1283462,0.1328211,0.004474900000000004
23,"('insincere', 'sincere')",6.7791719,6.7066192,-0.07255270000000014
24,"('dishonest', 'honest')",1.7807329,1.8089503,0.028217399999999948
25,"('egoistic', 'altruistic')",1.1554587,1.1487492,-0.006709500000000146
26,"('hardhearted', 'benevolent')",0.3712294,0.4282776,0.05704819999999999
27,"('hardhearted', 'softhearted')",1.7851388,1.6315522,-0.1535865999999999
28,"('disloyal', 'loyal')",0.8200871,0.794203,-0.025884099999999965
29,"('unfair', 'fair')",-0.2876034,-0.4252529,-0.13764949999999998
30,"('intolerant', 'tolerant')",1.2360487,1.2658696,0.02982090000000004
31,"('evil', 'good')",-0.8121513,-0.7398387,0.07231260000000006
32,"('unkind', 'kind')",0.9583549,0.9187492,-0.039605699999999966
33,"('wrong', 'right')",-0.5371508,-0.4574905,0.07966030000000002
34,"('mean', 'honorable')",5.1311698,5.2846738,0.15350399999999986
35,"('corrupt', 'incorrupt')",-1.1416482,-1.1480258,-0.006377600000000205
36,"('hostile', 'amicable')",-0.717729,-0.6194133,0.0983157
37,"('fake', 'genuine')",0.9547964,0.8646499,-0.09014650000000002
38,"('untruthful', 'truthful')",-0.1800627,-0.071114,0.1089487
39,"('exploitative', 'cooperative')",0.2156774,0.168872,-0.0468054
40,"('stingy', 'generous')",-0.4091749,-0.5762438,-0.16706889999999996
41,"('unforgiving', 'forgiving')",0.2082587,0.197533,-0.010725700000000005
42,"('unreliable', 'reliable')",-2.6100769,-2.6654336,-0.055356699999999925
43,"('irresponsible', 'responsible')",0.8101576,0.6985771,-0.11158050000000008
44,"('prejudiced', 'unprejudiced')",-1.2142975,-1.2947649,-0.08046740000000008
45,"('incompetent', 'competent')",0.2813243,0.1979184,-0.08340590000000003
46,"('uncompetitive', 'competitive')",-0.8941395,-0.9512624,-0.057122899999999976
47,"('stupid', 'smart')",5.495694,5.5489567,0.05326269999999944
48,"('unintelligent', 'intelligent')",0.4534248,0.406662,-0.04676279999999999
49,"('unable', 'able')",-0.7329113,-0.7482148,-0.015303499999999914
