,tuple,context_average_male,context_average_female,average_female-male
0,"('distant', 'open')",-0.7652914,-0.6816142,0.08367720000000001
1,"('inhospitable', 'hospitable')",-0.6882938,-0.6512184,0.03707539999999998
2,"('unaffectionate', 'affectionate')",-0.5977413,-0.4224466,0.17529470000000003
3,"('unaffectionate', 'caring')",-0.2926301,-0.2018999,0.09073020000000001
4,"('exploitative', 'cooperative')",-0.4750692,-0.3613217,0.1137475
5,"('distant', 'outgoing')",-0.1909656,-0.186142,0.004823600000000011
6,"('uncreative', 'creative')",-0.548401,-0.5134677,0.034933300000000056
7,"('poor', 'rich')",0.174128,0.1503976,-0.023730400000000013
8,"('helpless', 'self-reliant')",-0.1051488,-0.176647,-0.0714982
9,"('uninfluential', 'influential')",-0.4391773,-0.3978504,0.0413269
10,"('unsympathetic', 'sympathetic')",-0.1889414,-0.1837422,0.005199200000000015
11,"('hostile', 'amicable')",-0.2272472,-0.2354105,-0.008163299999999984
12,"('unfriendly', 'friendly')",0.1753868,0.1786641,0.003277299999999983
13,"('uneducated', 'educated')",-0.0605282,0.0714204,0.1319486
14,"('unsociable', 'sociable')",0.1452867,0.266576,0.12128929999999999
15,"('unperceptive', 'insightful')",0.146645,-0.000333,-0.146978
16,"('untruthful', 'truthful')",-0.0657371,0.0779065,0.1436436
17,"('inferior', 'superior')",0.7084893,0.7172776,0.008788299999999971
18,"('inactive', 'active')",0.1786867,0.1509882,-0.027698500000000015
19,"('rough', 'thoughtful')",0.7861857,0.7635559,-0.022629800000000033
20,"('egoistic', 'altruistic')",0.1416309,0.1772945,0.03566359999999999
21,"('wavering', 'unwavering')",-0.8259893,-0.7845251,0.04146420000000006
22,"('submissive', 'aggressive')",0.3937863,0.5186358,0.1248495
23,"('inefficient', 'efficient')",-0.0409745,-0.0053374,0.0356371
24,"('disliked', 'liked')",-0.8946142,-0.9474603,-0.05284610000000001
25,"('insincere', 'sincere')",-0.2862751,-0.3323367,-0.04606159999999998
26,"('intolerant', 'tolerant')",-0.0071838,0.0382536,0.045437399999999996
27,"('hardhearted', 'softhearted')",-0.0795286,-0.1008288,-0.02130019999999999
28,"('disagreeable', 'welcoming')",-0.367058,-0.3733266,-0.006268600000000013
29,"('unkind', 'kind')",-0.0415853,0.0604172,0.1020025
30,"('insensitive', 'sensitive')",0.2239191,0.3355046,0.11158549999999998
31,"('unimaginative', 'imaginative')",-0.290263,-0.2314265,0.058836499999999986
32,"('evil', 'good')",-0.0305933,-0.0521087,-0.0215154
33,"('incapable', 'capable')",0.1268911,0.2146478,0.08775669999999999
34,"('lethargic', 'energetic')",0.2808958,0.2644199,-0.016475899999999988
