,tuple,context_average_male,context_average_female,average_female-male
0,"('unsupportive', 'supportive')",0.6766658,0.7010416,0.02437580000000006
1,"('helpless', 'self-reliant')",0.675675,0.5697421,-0.1059329
2,"('impractical', 'practical')",0.8216121,0.8682139,0.04660180000000003
3,"('incompetent', 'clever')",0.5548474,0.5298167,-0.02503069999999996
4,"('diffident', 'self-confident')",0.490511,0.4208211,-0.06968989999999997
5,"('lethargic', 'energetic')",0.9527737,0.8483156,-0.1044581
6,"('undedicated', 'dedicated')",1.0735517,0.9567512,-0.11680050000000008
7,"('intolerant', 'tolerant')",0.537083,0.532349,-0.004734000000000016
8,"('unlikable', 'likable')",0.3437011,0.4001031,0.05640200000000001
9,"('unpopular', 'popular')",0.1754312,0.1719896,-0.003441600000000017
10,"('unmotivated', 'motivated')",0.2064685,0.2288901,0.022421600000000014
11,"('poor', 'rich')",0.5553576,0.4976601,-0.05769750000000001
12,"('unreliable', 'reliable')",0.6395124,0.6169054,-0.022606999999999933
13,"('unable', 'able')",0.4864651,0.501629,0.015163900000000008
14,"('clumsy', 'skillful')",-0.0067842,0.047551,0.0543352
15,"('unfriendly', 'friendly')",0.8016572,0.7732549,-0.02840229999999999
16,"('egoistic', 'altruistic')",0.3198232,0.2759943,-0.04382889999999995
17,"('hardhearted', 'softhearted')",0.4971342,0.5441542,0.047020000000000006
18,"('irresponsible', 'responsible')",0.4499643,0.3931519,-0.056812399999999985
19,"('antisocial', 'social')",0.4887952,0.5296264,0.04083120000000007
20,"('unaffectionate', 'caring')",0.5948982,0.5068577,-0.08804050000000008
21,"('distant', 'open')",0.3575898,0.3530631,-0.004526699999999995
22,"('low', 'eminent')",0.0297831,-0.0003958,-0.0301789
23,"('unperceptive', 'insightful')",0.0997366,0.037239,-0.06249759999999999
24,"('stingy', 'generous')",0.2478403,0.3320388,0.08419850000000001
25,"('prejudiced', 'unprejudiced')",0.0987806,0.048669,-0.0501116
26,"('hardhearted', 'benevolent')",0.2272265,0.2610765,0.03384999999999999
27,"('unimaginative', 'imaginative')",-0.1427978,-0.0857638,0.057034
28,"('unfair', 'fair')",0.5969783,0.6542944,0.05731610000000009
29,"('dependent', 'independent')",0.3000294,0.3063082,0.006278799999999973
30,"('uninfluential', 'influential')",0.0999983,0.0949814,-0.005016900000000005
31,"('untrustworthy', 'trustworthy')",0.1573382,0.1720928,0.014754599999999979
32,"('unintelligent', 'intelligent')",0.2270405,0.2662882,0.03924769999999997
33,"('incapable', 'capable')",0.5031183,0.4896422,-0.01347609999999999
34,"('doubtful', 'determined')",-0.1365599,-0.0752708,0.06128910000000001
35,"('stupid', 'smart')",0.3957625,0.4348712,0.039108699999999996
36,"('irrational', 'rational')",0.0683998,0.1493592,0.0809594
37,"('insensitive', 'sensitive')",-0.1165225,-0.0767205,0.039802000000000004
38,"('insecure', 'secure')",-0.0141251,0.0169232,0.0310483
39,"('unaffectionate', 'affectionate')",0.2895107,0.1610132,-0.12849750000000001
40,"('insincere', 'sincere')",0.3139717,0.348907,0.0349353
41,"('exploitative', 'cooperative')",0.2535399,0.2427393,-0.010800599999999994
42,"('foolish', 'wise')",0.1832096,0.210093,0.026883400000000002
43,"('unsympathetic', 'sympathetic')",-0.1679632,-0.2033061,-0.03534289999999998
44,"('unambitious', 'ambitious')",-0.1279058,-0.1463707,-0.018464900000000006
45,"('lazy', 'industrious')",0.2943483,0.3108782,0.016529899999999986
46,"('boring', 'funny')",0.3008244,0.2985091,-0.0023152999999999646
47,"('uneducated', 'educated')",0.1968635,0.208702,0.011838500000000002
48,"('wrong', 'right')",0.08384,0.0990334,0.015193399999999996
49,"('dominated', 'dominating')",0.0295467,-0.0015169,-0.0310636
50,"('impolite', 'polite')",0.3967191,0.3850625,-0.011656600000000017
51,"('evil', 'good')",0.2673079,0.3074163,0.04010839999999999
52,"('distant', 'outgoing')",-0.0465891,-0.1057794,-0.059190299999999994
53,"('dishonest', 'honest')",-0.1673709,-0.2424782,-0.07510730000000002
54,"('disloyal', 'loyal')",-0.2372135,-0.3764958,-0.1392823
55,"('inefficient', 'efficient')",-0.6321357,-0.6640414,-0.03190570000000004
56,"('disagreeable', 'welcoming')",0.4806515,0.4945506,0.013899099999999998
57,"('unhelpful', 'helpful')",0.0731598,0.1735483,0.10038849999999999
58,"('nasty', 'nice')",-0.30469,-0.3114364,-0.006746399999999986
