,tuple,context_average_male,context_average_female,average_female-male
0,"('unfriendly', 'friendly')",-0.4365301,-0.5445542,-0.10802410000000001
1,"('uninfluential', 'influential')",-1.0563908,-0.9582549,0.09813589999999994
2,"('disloyal', 'loyal')",-0.7830022,-0.7191488,0.06385339999999995
3,"('distant', 'open')",-0.7242427,-0.7325246,-0.008281899999999953
4,"('untruthful', 'truthful')",-0.8556543,-0.7781467,0.07750760000000001
5,"('disagreeable', 'welcoming')",-0.5680916,-0.6225212,-0.05442959999999997
6,"('unaffectionate', 'affectionate')",-0.1291127,-0.1208858,0.008226899999999995
7,"('low', 'eminent')",-0.6278444,-0.6564163,-0.028571899999999983
8,"('distant', 'outgoing')",-0.7740209,-0.8272063,-0.05318539999999994
9,"('doubtful', 'determined')",-0.293043,-0.2496693,0.04337369999999999
10,"('evil', 'good')",-0.4290408,-0.3887864,0.040254400000000023
11,"('anxious', 'daring')",-0.0024278,0.0225768,0.025004600000000002
12,"('inhospitable', 'hospitable')",-0.4984494,-0.5825828,-0.08413339999999997
13,"('unlikable', 'likable')",-0.0503865,-0.0970357,-0.0466492
14,"('wavering', 'unwavering')",-0.3581856,-0.3421795,0.016006099999999968
15,"('undiscriminating', 'discriminating')",-0.2938855,-0.1741886,0.11969690000000002
16,"('unaffectionate', 'caring')",-0.0751588,-0.1418974,-0.06673860000000001
17,"('impractical', 'practical')",0.0735734,0.0997187,0.026145299999999996
18,"('antisocial', 'social')",0.0833545,0.1117735,0.028419
19,"('unsociable', 'sociable')",-0.0263026,0.0675989,0.0939015
20,"('inefficient', 'efficient')",-0.0874213,-0.1513785,-0.0639572
21,"('dependent', 'independent')",0.0609527,0.0829118,0.021959099999999995
22,"('uncreative', 'creative')",-0.2675006,-0.1217738,0.1457268
23,"('incapable', 'capable')",0.3589246,0.3678843,0.008959700000000015
24,"('unhelpful', 'helpful')",0.1674033,0.2427309,0.0753276
25,"('unintelligent', 'intelligent')",0.0603334,0.083321,0.022987600000000004
26,"('diffident', 'self-confident')",-0.2361843,-0.2431948,-0.007010499999999975
27,"('rough', 'thoughtful')",0.0943583,0.1720828,0.0777245
28,"('incompetent', 'brilliant')",0.2595279,0.2595704,4.250000000000087e-05
29,"('insincere', 'sincere')",0.6978875,0.7303131,0.032425600000000054
30,"('hostile', 'amicable')",-0.0916047,-0.0501992,0.0414055
31,"('unsympathetic', 'sympathetic')",-0.0506031,-0.1297179,-0.0791148
32,"('poor', 'rich')",0.326931,0.3859703,0.05903929999999996
33,"('unreliable', 'reliable')",-0.0852183,-0.1325182,-0.047299900000000006
34,"('unforgiving', 'forgiving')",0.4716934,0.4521431,-0.019550299999999965
35,"('immoral', 'moral')",0.2902672,0.390421,0.10015380000000002
36,"('uneducated', 'educated')",-0.2536162,-0.2500355,0.0035806999999999922
37,"('unimaginative', 'imaginative')",0.1069302,0.1517866,0.04485639999999999
38,"('unperceptive', 'insightful')",0.4348053,0.5012893,0.06648400000000004
39,"('impolite', 'polite')",0.2922279,0.3037182,0.011490300000000009
40,"('irrational', 'rational')",0.2167705,0.3117802,0.0950097
41,"('repellent', 'pleasant')",0.0935656,0.1522127,0.05864710000000001
42,"('inactive', 'active')",0.3225668,0.3132971,-0.009269699999999992
43,"('insensitive', 'sensitive')",0.0154713,0.0088996,-0.0065717
44,"('dishonest', 'honest')",-0.1639658,-0.2501496,-0.08618380000000003
45,"('submissive', 'aggressive')",-0.5762027,-0.5941058,-0.01790310000000006
46,"('dominated', 'dominating')",-0.4418464,-0.4537755,-0.011929100000000026
47,"('hardhearted', 'softhearted')",-0.1309614,0.0370674,0.1680288
