,tuple,context_average_male,context_average_female,average_female-male
0,"('distant', 'open')",-1.4670572,-1.4651461,0.0019111000000000544
1,"('distant', 'outgoing')",-0.5839464,-0.5407183,0.04322809999999999
2,"('evil', 'good')",-0.5494341,-0.5857042,-0.03627009999999997
3,"('hostile', 'amicable')",-0.4820552,-0.4554824,0.026572800000000008
4,"('uncreative', 'creative')",-0.5167859,-0.4543106,0.06247530000000001
5,"('uninfluential', 'influential')",-0.344329,-0.4068212,-0.0624922
6,"('hardhearted', 'softhearted')",-0.3866797,-0.2306238,0.15605590000000003
7,"('wavering', 'unwavering')",0.1811835,0.1488022,-0.0323813
8,"('exploitative', 'cooperative')",-0.1194854,-0.2352092,-0.1157238
9,"('poor', 'rich')",-0.0207458,-0.107776,-0.0870302
10,"('unfriendly', 'friendly')",0.0942662,0.1276656,0.033399399999999996
11,"('unsuccessful', 'successful')",0.1207798,0.1139256,-0.006854200000000005
12,"('submissive', 'aggressive')",0.3223389,0.2271318,-0.09520709999999999
13,"('incompetent', 'brilliant')",0.3415431,0.3446702,0.0031270999999999938
14,"('inhospitable', 'hospitable')",-0.1317139,-0.1316007,0.00011320000000000774
15,"('inferior', 'superior')",-0.4919395,-0.5713586,-0.07941910000000008
16,"('lazy', 'industrious')",0.2133022,0.2797704,0.06646819999999998
17,"('inefficient', 'efficient')",-0.2162534,-0.2819559,-0.06570249999999997
18,"('helpless', 'self-reliant')",-0.2737568,-0.2658464,0.00791040000000004
19,"('dependent', 'independent')",0.3126707,0.3941474,0.08147669999999996
20,"('doubtful', 'determined')",-0.2272349,-0.0988377,0.1283972
21,"('unambitious', 'ambitious')",0.0027419,-0.0031543,-0.0058962
22,"('disagreeable', 'welcoming')",-0.3738825,-0.3102285,0.06365399999999999
23,"('fake', 'genuine')",-0.3880037,-0.4510079,-0.06300420000000001
24,"('irrational', 'rational')",-0.2658551,-0.0477005,0.2181546
25,"('uneducated', 'educated')",-0.2598521,-0.1954626,0.06438949999999999
26,"('shy', 'confident')",0.1692026,0.3075136,0.138311
27,"('repellent', 'pleasant')",-0.3079765,-0.4506544,-0.14267790000000002
28,"('hardhearted', 'benevolent')",-0.1444882,-0.1481949,-0.0037066999999999795
29,"('unpopular', 'popular')",-0.0595383,0.1206689,0.1802072
30,"('impractical', 'practical')",0.1710745,0.0816591,-0.08941539999999999
31,"('dominated', 'dominating')",0.6238107,0.5566532,-0.06715750000000009
32,"('incompetent', 'clever')",0.0438109,-0.0151871,-0.058998
33,"('incapable', 'capable')",0.0489269,0.1192641,0.07033719999999999
34,"('unkind', 'kind')",-0.5138199,-0.4690858,0.0447341
35,"('unfair', 'fair')",-0.1261144,-0.000161,0.1259534
36,"('unaffectionate', 'affectionate')",0.1715789,0.2056292,0.034050300000000006
37,"('nonresilient', 'resilient')",-0.1415527,-0.1757267,-0.03417400000000001
38,"('unlikable', 'likable')",0.0667774,-0.0622248,-0.1290022
39,"('intolerant', 'tolerant')",0.0248181,0.1278396,0.1030215
40,"('unaffectionate', 'caring')",0.1826631,0.0122746,-0.1703885
41,"('low', 'eminent')",0.158509,0.2455399,0.0870309
42,"('unperceptive', 'insightful')",0.1643387,0.1900224,0.025683700000000004
43,"('unreliable', 'reliable')",-0.1834122,-0.2132203,-0.029808100000000004
44,"('powerless', 'powerful')",-0.3989693,-0.3510687,0.047900600000000015
45,"('prejudiced', 'unprejudiced')",0.0158945,0.0539007,0.038006200000000004
46,"('anxious', 'daring')",-0.0253888,0.0036535,0.0290423
47,"('antisocial', 'social')",-0.0341805,0.0089708,0.043151300000000004
48,"('undedicated', 'dedicated')",-0.084376,-0.037636,0.046740000000000004
49,"('wrong', 'right')",-0.1489755,-0.2185723,-0.06959679999999999
50,"('mean', 'honorable')",0.1541358,0.2016426,0.047506800000000016
51,"('foolish', 'wise')",-0.4499611,-0.4047309,0.0452302
52,"('unimaginative', 'imaginative')",0.1861067,0.1194657,-0.06664100000000002
53,"('clumsy', 'skillful')",0.1314913,0.130893,-0.0005982999999999961
54,"('unmotivated', 'motivated')",0.2366165,0.3656624,0.1290459
55,"('egoistic', 'altruistic')",0.0915725,0.1981959,0.10662340000000001
56,"('boring', 'funny')",0.1008633,0.026161,-0.0747023
57,"('immoral', 'moral')",0.0012369,0.1630776,0.16184069999999998
58,"('unforgiving', 'forgiving')",-0.1930661,-0.2053937,-0.012327600000000022
59,"('illogical', 'logical')",-0.1344451,-0.1109042,0.023540900000000017
60,"('incompetent', 'competent')",-0.0370285,-0.000327,0.0367015
61,"('nasty', 'nice')",-0.0734064,-0.0966906,-0.023284200000000005
62,"('rough', 'thoughtful')",0.1277993,0.3478412,0.2200419
63,"('lethargic', 'energetic')",0.2302568,0.2748585,0.044601699999999994
64,"('insensitive', 'sensitive')",-0.0357236,-0.0600703,-0.0243467
65,"('stupid', 'smart')",0.6596682,0.668293,0.008624799999999988
66,"('insincere', 'sincere')",1.1342787,1.1992571,0.06497839999999999
67,"('unintelligent', 'intelligent')",-0.4197506,-0.4385799,-0.01882930000000005
68,"('dishonest', 'honest')",-0.3219665,-0.2609174,0.06104909999999997
69,"('unsupportive', 'supportive')",-0.124312,-0.098741,0.02557100000000001
70,"('untruthful', 'truthful')",0.022158,-0.0045029,-0.0266609
71,"('unsympathetic', 'sympathetic')",0.1926235,0.1846861,-0.007937400000000011
72,"('irresponsible', 'responsible')",0.2610861,0.2389074,-0.022178699999999996
73,"('corrupt', 'incorrupt')",-0.3682899,-0.235206,0.1330839
74,"('meek', 'impulsive')",0.0533074,0.0647725,0.011465099999999999
75,"('diffident', 'self-confident')",0.2754372,0.3457788,0.0703416
76,"('insecure', 'secure')",-0.4324099,-0.376691,0.055718900000000016
77,"('unsociable', 'sociable')",-0.1222966,-0.1147936,0.00750300000000001
78,"('untrustworthy', 'trustworthy')",0.2269526,0.132233,-0.09471960000000001
79,"('stingy', 'generous')",-0.2479589,-0.1862738,0.06168510000000002
80,"('disloyal', 'loyal')",0.5685543,0.5213881,-0.047166199999999936
81,"('impolite', 'polite')",0.0513769,0.0472992,-0.0040777000000000035
82,"('insignificant', 'prestigious')",-0.0787584,-0.1247253,-0.04596689999999999
83,"('uncompetitive', 'competitive')",0.2810386,0.2237853,-0.057253300000000035
84,"('unable', 'able')",-0.6683986,-0.7007144,-0.032315800000000006
85,"('undiscriminating', 'discriminating')",0.1655238,0.1181048,-0.047419
86,"('disliked', 'liked')",-0.2110052,-0.1213383,0.08966690000000001
87,"('unhelpful', 'helpful')",0.0406127,0.1770118,0.1363991
88,"('inactive', 'active')",0.8268815,0.7333114,-0.0935701000000001
