,tuple,context_average_male,context_average_female,average_female-male
0,"('disliked', 'liked')",-5.9230486,-5.9241333,-0.0010846999999998275
1,"('shy', 'confident')",2.2648403,2.3104251,0.04558479999999987
2,"('insincere', 'sincere')",0.7808182,0.8676086,0.08679039999999993
3,"('poor', 'rich')",2.0926607,2.149682,0.05702129999999972
4,"('stupid', 'smart')",5.1468391,5.2688912,0.12205209999999944
5,"('mean', 'honorable')",4.6220783,4.7161102,0.09403190000000006
6,"('helpless', 'self-reliant')",-2.8332526,-2.880133,-0.046880400000000044
7,"('unimaginative', 'imaginative')",-2.5105753,-2.4321384,0.07843690000000025
8,"('unreliable', 'reliable')",-0.7374096,-0.7873228,-0.04991319999999999
9,"('lazy', 'industrious')",-0.232257,-0.1567455,0.07551149999999998
10,"('stingy', 'generous')",0.5972068,0.6077599,0.010553099999999982
11,"('unhelpful', 'helpful')",1.0102366,0.9666204,-0.043616199999999994
12,"('unsupportive', 'supportive')",0.6356151,0.6069044,-0.028710699999999978
13,"('unmotivated', 'motivated')",0.2234477,0.2079914,-0.015456300000000006
14,"('hardhearted', 'softhearted')",0.8020821,0.8066851,0.004603000000000024
15,"('unaffectionate', 'caring')",0.4748222,0.4448997,-0.02992250000000002
16,"('unfriendly', 'friendly')",1.1008582,0.979975,-0.12088319999999997
17,"('dishonest', 'honest')",0.1708033,0.1210074,-0.04979589999999999
18,"('hardhearted', 'benevolent')",0.7182646,0.772954,0.0546894
19,"('disloyal', 'loyal')",1.0008221,0.990528,-0.010294099999999973
20,"('evil', 'good')",-0.3741849,-0.2927646,0.0814203
21,"('dependent', 'independent')",-0.1304069,-0.1832466,-0.05283970000000002
22,"('unaffectionate', 'affectionate')",0.1215703,0.2122277,0.09065739999999999
23,"('untrustworthy', 'trustworthy')",-0.3655544,-0.2839633,0.08159110000000003
24,"('irresponsible', 'responsible')",-0.394458,-0.4882034,-0.09374540000000003
25,"('unkind', 'kind')",0.3308827,0.426865,0.09598230000000002
26,"('corrupt', 'incorrupt')",0.3561098,0.4193088,0.063199
27,"('incapable', 'capable')",0.0821904,0.1234925,0.04130210000000001
