,abiomed_male,abiomed_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.6304213,-0.71822107,"('unsociable', 'sociable')",-0.09331882,-0.11698648,-0.3618701,-0.4176038,-0.0557337
1,-2.220646,-2.3451874,"('unfriendly', 'friendly')",1.7097987,1.5188506,-0.2554236,-0.4131684,-0.1577448
2,0.39533335,0.37578583,"('unlikable', 'likable')",0.44598138,0.49718812,0.4206574,0.436487,0.0158296
3,-0.43312842,-0.2930496,"('repellent', 'pleasant')",-0.20022811,-0.03754418,-0.3166783,-0.1652969,0.1513814
4,-0.53552115,-0.55883294,"('disliked', 'liked')",-6.3179393,-6.3597846,-3.4267302,-3.4593089,-0.0325787
5,-1.4196224,-1.433075,"('distant', 'outgoing')",-0.27435514,-0.42680115,-0.8469888,-0.9299381,-0.0829493
6,-1.7392982,-1.7505876,"('distant', 'open')",0.21148556,0.016156672,-0.7639064,-0.8672155,-0.1033091
7,-0.38655722,-0.26523092,"('insensitive', 'sensitive')",0.579692,0.7359858,0.0965674,0.2353774,0.13881
8,-1.2978202,-1.3901479,"('unaffectionate', 'affectionate')",0.76328,0.5920419,-0.2672701,-0.399053,-0.1317829
9,-1.6649935,-1.7256223,"('unaffectionate', 'caring')",1.0253967,0.9746224,-0.3197984,-0.3754999,-0.0557015
10,-0.7966101,-0.7739554,"('unsympathetic', 'sympathetic')",-0.11506524,-0.044917528,-0.4558377,-0.4094365,0.0464012
11,0.08884098,0.14223862,"('unhelpful', 'helpful')",1.828579,1.9549046,0.95871,1.0485716,0.0898616
12,-0.43839392,-0.30166522,"('unsupportive', 'supportive')",-1.8007556,-1.7024673,-1.1195748,-1.0020663,0.1175085
13,-0.23433842,-0.25339535,"('impolite', 'polite')",-0.43248564,-0.29128182,-0.333412,-0.2723386,0.0610734
14,0.53087103,0.56486887,"('antisocial', 'social')",0.0847771,0.18738195,0.3078241,0.3761254,0.0683013
15,0.36973497,0.3063537,"('boring', 'funny')",0.7998169,0.778209,0.5847759,0.5422813,-0.0424946
16,-0.37254688,-0.36519068,"('unpopular', 'popular')",0.30318767,0.3585829,-0.0346796,-0.0033039,0.0313757
17,-0.5175606,-0.45452556,"('nasty', 'nice')",-0.400589,-0.3707147,-0.4590748,-0.4126201,0.0464547
18,-0.34669885,-0.33228612,"('disagreeable', 'welcoming')",-0.3363064,-0.33858365,-0.3415026,-0.3354349,0.0060677
19,-1.5231863,-1.502561,"('inhospitable', 'hospitable')",-0.32275042,-0.38035923,-0.9229684,-0.9414601,-0.0184917
20,-0.14595398,-0.020752944,"('rough', 'thoughtful')",1.2338243,1.2757154,0.5439351,0.6274812,0.0835461
21,0.16047634,0.18581927,"('immoral', 'moral')",-0.5598889,-0.41156682,-0.1997063,-0.1128738,0.0868325
22,-0.14190502,-0.07259819,"('untrustworthy', 'trustworthy')",-0.7110815,-0.6764224,-0.4264933,-0.3745103,0.051983
23,-0.4469791,-0.46828002,"('insincere', 'sincere')",5.514415,5.549597,2.5337179,2.5406585,0.0069406
24,-0.2891938,-0.34578618,"('dishonest', 'honest')",0.6126472,0.6159865,0.1617267,0.1351002,-0.0266265
25,-0.8515417,-0.8827601,"('egoistic', 'altruistic')",1.5311145,1.4270899,0.3397864,0.2721649,-0.0676215
26,-0.048769265,-0.11809929,"('hardhearted', 'benevolent')",1.8153336,1.7352542,0.8832822,0.8085774,-0.0747048
27,-0.4968873,-0.42603558,"('hardhearted', 'softhearted')",1.1665616,1.1335132,0.3348371,0.3537388,0.0189017
28,-0.2875692,-0.37822267,"('disloyal', 'loyal')",0.7279237,0.65005225,0.2201772,0.1359148,-0.0842624
29,-0.59988356,-0.57198673,"('unfair', 'fair')",-0.6780512,-0.84537256,-0.6389674,-0.7086797,-0.0697123
30,0.7821878,0.7172295,"('intolerant', 'tolerant')",1.8600444,1.9306425,1.3211161,1.323936,0.0028199
31,-1.4054904,-1.390718,"('evil', 'good')",-0.9847912,-1.2085121,-1.1951408,-1.299615,-0.1044742
32,0.15721495,0.100366354,"('unkind', 'kind')",1.0986035,1.0564172,0.6279092,0.5783918,-0.0495174
33,-0.36010528,-0.4498012,"('wrong', 'right')",-0.44679695,-0.59179384,-0.4034511,-0.5207975,-0.1173464
34,0.010949178,0.1568268,"('mean', 'honorable')",5.7818704,5.957109,2.8964097,3.056968,0.1605583
35,-0.68078446,-0.7426742,"('corrupt', 'incorrupt')",-0.0064439448,-0.28130692,-0.3436142,-0.5119905,-0.1683763
36,-1.412731,-1.5013218,"('hostile', 'amicable')",0.14690119,-0.11280632,-0.6329149,-0.8070641,-0.1741492
37,0.16480431,0.24268948,"('fake', 'genuine')",0.39831385,0.4235282,0.2815591,0.3331088,0.0515497
38,-0.9929475,-1.035454,"('untruthful', 'truthful')",-0.21761966,-0.16582572,-0.6052836,-0.6006399,0.0046437
39,0.7572129,0.824072,"('exploitative', 'cooperative')",0.26505792,0.2681745,0.5111354,0.5461233,0.0349879
40,0.35445285,0.3306595,"('stingy', 'generous')",-1.4870896,-1.5070438,-0.5663184,-0.5881922,-0.0218738
41,0.24164121,0.23083873,"('unforgiving', 'forgiving')",0.09015101,0.12705731,0.1658961,0.178948,0.0130519
42,0.854381,0.9177675,"('unreliable', 'reliable')",-2.7525177,-2.644132,-0.9490683,-0.8631822,0.0858861
43,-0.0033119395,0.031209525,"('irresponsible', 'responsible')",0.71883124,0.7628714,0.3577597,0.3970405,0.0392808
44,0.3158086,0.34894872,"('prejudiced', 'unprejudiced')",-1.3447055,-1.3662066,-0.5144484,-0.508629,0.0058194
45,-0.32492915,-0.20710199,"('incompetent', 'competent')",-0.17699836,-0.07649124,-0.2509637,-0.1417966,0.1091671
46,-0.43247274,-0.33524644,"('uncompetitive', 'competitive')",-0.7824896,-0.6262693,-0.6074812,-0.4807579,0.1267233
47,0.030647017,0.10821427,"('stupid', 'smart')",5.5623636,5.6615605,2.7965052,2.8848875,0.0883823
48,0.2622618,0.27630386,"('unintelligent', 'intelligent')",1.0376868,1.1678852,0.6499743,0.7220945,0.0721202
49,-0.06329141,0.15377636,"('unable', 'able')",-0.17016521,0.048386972,-0.1167283,0.1010817,0.21781
50,0.488337,0.5871345,"('clumsy', 'skillful')",0.2871395,0.30149895,0.3877383,0.4443167,0.0565784
51,-0.20083494,-0.3530276,"('uneducated', 'educated')",0.34213433,0.3510458,0.0706497,-0.0009909,-0.0716406
52,-0.5321004,-0.73869324,"('irrational', 'rational')",0.04194545,-0.20179644,-0.2450775,-0.4702448,-0.2251673
53,-1.8869323,-1.8696942,"('uncreative', 'creative')",0.72653425,0.7265336,-0.580199,-0.5715803,0.0086187
54,-0.73029,-0.8649483,"('incapable', 'capable')",1.2306974,1.181412,0.2502037,0.1582319,-0.0919718
55,0.42180222,0.49237835,"('incompetent', 'clever')",0.1272385,0.28755075,0.2745204,0.3899646,0.1154442
56,0.85461503,0.8369015,"('impractical', 'practical')",0.32891014,0.40286747,0.5917626,0.6198845,0.0281219
57,-0.637865,-0.59029067,"('unimaginative', 'imaginative')",-1.9915891,-1.9718022,-1.3147271,-1.2810464,0.0336807
58,-0.58539003,-0.5759122,"('undiscriminating', 'discriminating')",0.11566175,0.10432534,-0.2348641,-0.2357934,-0.0009293
59,0.059662636,0.06096158,"('foolish', 'wise')",0.47737885,0.4138118,0.2685207,0.2373867,-0.031134
60,1.0464829,1.148935,"('inefficient', 'efficient')",0.19795886,0.48980656,0.6222209,0.8193707,0.1971498
61,-0.66192645,-0.73713624,"('illogical', 'logical')",0.060786985,-0.07366582,-0.3005697,-0.405401,-0.1048313
62,0.666967,0.82194364,"('incompetent', 'brilliant')",0.328902,0.5864644,0.4979345,0.704204,0.2062695
63,-0.16021039,-0.034020998,"('unperceptive', 'insightful')",0.8448421,1.0458742,0.3423159,0.5059266,0.1636107
64,0.59297365,0.56293553,"('shy', 'confident')",-6.628952,-6.5983,-3.0179892,-3.0176823,0.0003069
65,0.59732485,0.5550648,"('insecure', 'secure')",-0.41131097,-0.3036838,0.0930069,0.1256905,0.0326836
