,alliant_male,alliant_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.7883526,-1.7799295,"('unsociable', 'sociable')",-0.19307101,-0.24341336,-0.16650748,-0.33869505,-0.715977,-0.787346,-0.071369
1,-3.0409198,-2.9496121,"('unfriendly', 'friendly')",0.5497086,0.3931909,1.1510173,1.064326,-0.4467313,-0.4973651,-0.0506338
2,0.27785468,0.281962,"('unlikable', 'likable')",1.1975322,1.169342,0.9943124,0.9966398,0.8232331,0.8159813,-0.0072518
3,-0.3226223,-0.13402155,"('repellent', 'pleasant')",-0.38838747,-0.196486,0.80643445,0.79319537,0.0318082,0.1542293,0.1224211
4,0.25071496,0.32559082,"('disliked', 'liked')",0.54375154,0.3963635,-6.11181,-6.179742,-1.7724479,-1.8192625,-0.0468146
5,-0.35141385,-0.35340723,"('distant', 'outgoing')",0.38231802,0.30391982,-0.5821563,-0.51549625,-0.1837507,-0.1883279,-0.0045772
6,-0.6400955,-0.5843385,"('distant', 'open')",-0.15115662,-0.2547483,-0.5799319,-0.5236206,-0.4570613,-0.4542358,0.0028255
7,-0.6867415,-0.5232062,"('insensitive', 'sensitive')",0.7262941,0.8948685,0.46340013,0.5017838,0.1676509,0.2911487,0.1234978
8,-2.0647106,-2.0185034,"('unaffectionate', 'affectionate')",-0.34315678,-0.5034663,0.3501307,0.34831607,-0.6859122,-0.7245512,-0.038639
9,-2.0328496,-1.9300308,"('unaffectionate', 'caring')",0.43468082,0.3538323,0.919469,0.93756795,-0.2262332,-0.2128769,0.0133563
10,-2.3542912,-2.2098362,"('unsympathetic', 'sympathetic')",-0.7117641,-0.60826826,-0.5487946,-0.58849925,-1.20495,-1.1355346,0.0694154
11,-0.9236953,-0.8462352,"('unhelpful', 'helpful')",0.37190065,0.5057679,1.6164562,1.6885842,0.3548872,0.4493723,0.0944851
12,-0.94748986,-0.67550635,"('unsupportive', 'supportive')",0.668078,0.7501906,-1.6738757,-1.660197,-0.6510959,-0.5285043,0.1225916
13,-1.0018157,-1.0189838,"('impolite', 'polite')",-0.07414703,0.055048093,-0.80618286,-0.8410328,-0.6273818,-0.6016562,0.0257256
14,-0.24288426,-0.23226556,"('antisocial', 'social')",0.98819435,1.0649693,0.14903197,-0.03142662,0.298114,0.2670924,-0.0310216
15,0.24918684,0.070771396,"('boring', 'funny')",0.04345921,-0.13601874,-0.3006201,-0.34499353,-0.002658,-0.136747,-0.134089
16,-0.48909503,-0.4103775,"('unpopular', 'popular')",-0.26929012,-0.40191078,0.34516627,0.2570078,-0.1377396,-0.1850935,-0.0473539
17,0.14832368,0.21901669,"('nasty', 'nice')",-0.96924126,-0.8990857,-0.8303351,-0.7678998,-0.5504176,-0.4826563,0.0677613
18,-0.83188576,-0.63409835,"('disagreeable', 'welcoming')",-1.0058036,-0.99612725,-0.744657,-0.7465737,-0.8607821,-0.7922664,0.0685157
19,-1.3746117,-1.2893528,"('inhospitable', 'hospitable')",-0.899651,-0.94278294,-1.0382594,-0.8612028,-1.104174,-1.0311128,0.0730612
20,-0.21681172,-0.11056383,"('rough', 'thoughtful')",-0.0671974,0.05947063,0.49454838,0.48176977,0.0701798,0.1435589,0.0733791
21,-0.24907331,-0.20796616,"('immoral', 'moral')",1.0978631,1.1587473,-0.29538223,-0.29986125,0.1844692,0.2169733,0.0325041
22,-0.83447593,-0.6985837,"('untrustworthy', 'trustworthy')",-0.9823555,-0.98763955,-0.84243935,-0.9188619,-0.8864236,-0.8683617,0.0180619
