,asset_male,asset_female,tuple,average_male,average_female,female-male
0,0.44843632,0.32872546,"('unsociable', 'sociable')",0.4484363,0.3287255,-0.1197108
1,0.9241658,0.79376626,"('unfriendly', 'friendly')",0.9241658,0.7937663,-0.1303995
2,0.7188659,0.7334416,"('unlikable', 'likable')",0.7188659,0.7334416,0.0145757
3,0.35523126,0.48948053,"('repellent', 'pleasant')",0.3552313,0.4894805,0.1342492
4,-6.85878,-7.006801,"('disliked', 'liked')",-6.8587799,-7.0068011,-0.1480212
5,-0.8307739,-0.8878601,"('distant', 'outgoing')",-0.8307739,-0.8878601,-0.0570862
6,-0.35177475,-0.39594495,"('distant', 'open')",-0.3517748,-0.395945,-0.0441702
7,1.5494318,1.6280134,"('insensitive', 'sensitive')",1.5494318,1.6280134,0.0785816
8,0.7243385,0.6660118,"('unaffectionate', 'affectionate')",0.7243385,0.6660118,-0.0583267
9,1.6020037,1.602771,"('unaffectionate', 'caring')",1.6020037,1.602771,0.0007673
10,1.1618168,1.2785822,"('unsympathetic', 'sympathetic')",1.1618168,1.2785822,0.1167654
11,2.2489183,2.3066435,"('unhelpful', 'helpful')",2.2489183,2.3066435,0.0577252
12,-1.2380812,-1.2464378,"('unsupportive', 'supportive')",-1.2380812,-1.2464378,-0.0083566
13,0.25539023,0.22045723,"('impolite', 'polite')",0.2553902,0.2204572,-0.034933
14,0.66339016,0.65487987,"('antisocial', 'social')",0.6633902,0.6548799,-0.0085103
15,0.10121317,-0.006915087,"('boring', 'funny')",0.1012132,-0.0069151,-0.1081283
16,-0.16159907,-0.2085478,"('unpopular', 'popular')",-0.1615991,-0.2085478,-0.0469487
17,-0.17156097,-0.1696764,"('nasty', 'nice')",-0.171561,-0.1696764,0.0018846
18,-0.7948502,-0.8054793,"('disagreeable', 'welcoming')",-0.7948502,-0.8054793,-0.0106291
19,-1.1527133,-1.1078902,"('inhospitable', 'hospitable')",-1.1527133,-1.1078902,0.0448231
20,0.69129074,0.6409153,"('rough', 'thoughtful')",0.6912907,0.6409153,-0.0503754
21,0.22564653,0.38054347,"('immoral', 'moral')",0.2256465,0.3805435,0.154897
22,-0.23746315,-0.2070192,"('untrustworthy', 'trustworthy')",-0.2374631,-0.2070192,0.0304439
23,6.740323,6.786435,"('insincere', 'sincere')",6.7403231,6.7864351,0.046112
24,1.6329331,1.6574018,"('dishonest', 'honest')",1.6329331,1.6574018,0.0244687
25,0.4872611,0.35741216,"('egoistic', 'altruistic')",0.4872611,0.3574122,-0.1298489
26,1.3345321,1.174695,"('hardhearted', 'benevolent')",1.3345321,1.174695,-0.1598371
27,1.0361915,0.98904914,"('hardhearted', 'softhearted')",1.0361915,0.9890491,-0.0471424
28,1.516663,1.4129215,"('disloyal', 'loyal')",1.516663,1.4129215,-0.1037415
29,-1.0101418,-1.0366993,"('unfair', 'fair')",-1.0101418,-1.0366993,-0.0265575
30,1.3689787,1.3903334,"('intolerant', 'tolerant')",1.3689787,1.3903334,0.0213547
31,-1.9170668,-1.9546483,"('evil', 'good')",-1.9170668,-1.9546483,-0.0375815
32,1.2721593,1.3089111,"('unkind', 'kind')",1.2721593,1.3089111,0.0367518
33,-0.40433073,-0.5469442,"('wrong', 'right')",-0.4043307,-0.5469442,-0.1426135
34,4.850642,5.0095778,"('mean', 'honorable')",4.8506422,5.0095778,0.1589356
35,-1.4012083,-1.606454,"('corrupt', 'incorrupt')",-1.4012083,-1.606454,-0.2052457
36,-0.73042804,-0.96915716,"('hostile', 'amicable')",-0.730428,-0.9691572,-0.2387292
37,0.5363166,0.52680075,"('fake', 'genuine')",0.5363166,0.5268008,-0.0095158
38,0.5293461,0.48794448,"('untruthful', 'truthful')",0.5293461,0.4879445,-0.0414016
39,-0.18882197,-0.1277157,"('exploitative', 'cooperative')",-0.188822,-0.1277157,0.0611063
40,-1.8126729,-1.9674183,"('stingy', 'generous')",-1.8126729,-1.9674183,-0.1547454
41,0.04408715,-0.011411477,"('unforgiving', 'forgiving')",0.0440871,-0.0114115,-0.0554986
42,-2.3423953,-2.2109418,"('unreliable', 'reliable')",-2.3423953,-2.2109418,0.1314535
43,1.374963,1.5046707,"('irresponsible', 'responsible')",1.374963,1.5046707,0.1297077
44,-1.3769087,-1.3215461,"('prejudiced', 'unprejudiced')",-1.3769087,-1.3215461,0.0553626
45,0.7007431,0.70444435,"('incompetent', 'competent')",0.7007431,0.7044443,0.0037012
46,-0.39751497,-0.37354985,"('uncompetitive', 'competitive')",-0.397515,-0.3735498,0.0239652
47,5.562703,5.6719775,"('stupid', 'smart')",5.5627031,5.6719775,0.1092744
48,0.40948468,0.44963443,"('unintelligent', 'intelligent')",0.4094847,0.4496344,0.0401497
49,-0.0024793968,0.14648515,"('unable', 'able')",-0.0024794,0.1464851,0.1489645
50,-0.20765924,-0.2235606,"('clumsy', 'skillful')",-0.2076592,-0.2235606,-0.0159014
51,0.3739943,0.36023113,"('uneducated', 'educated')",0.3739943,0.3602311,-0.0137632
52,-1.1394099,-1.3597096,"('irrational', 'rational')",-1.1394099,-1.3597096,-0.2202997
53,0.04202309,0.017292514,"('uncreative', 'creative')",0.0420231,0.0172925,-0.0247306
54,0.8484065,0.9118057,"('incapable', 'capable')",0.8484065,0.9118057,0.0633992
55,0.98007625,1.084448,"('incompetent', 'clever')",0.9800763,1.084448,0.1043717
56,0.97073215,1.0622988,"('impractical', 'practical')",0.9707322,1.0622988,0.0915666
57,-2.5511596,-2.6023374,"('unimaginative', 'imaginative')",-2.5511596,-2.6023374,-0.0511778
58,0.41890538,0.38327923,"('undiscriminating', 'discriminating')",0.4189054,0.3832792,-0.0356262
59,-0.31742913,-0.4055381,"('foolish', 'wise')",-0.3174291,-0.4055381,-0.088109
60,1.0640305,1.2618045,"('inefficient', 'efficient')",1.0640305,1.2618045,0.197774
61,0.43648627,0.32443988,"('illogical', 'logical')",0.4364863,0.3244399,-0.1120464
62,1.0777814,1.2323173,"('incompetent', 'brilliant')",1.0777814,1.2323173,0.1545359
63,0.66758704,0.72151726,"('unperceptive', 'insightful')",0.667587,0.7215173,0.0539303
64,-5.420854,-5.4610834,"('shy', 'confident')",-5.4208541,-5.4610834,-0.0402293
65,0.5960339,0.6748812,"('insecure', 'secure')",0.5960339,0.6748812,0.0788473
66,-0.018676545,-0.12738559,"('inactive', 'active')",-0.0186765,-0.1273856,-0.1087091
67,-0.17939186,-0.09629409,"('doubtful', 'determined')",-0.1793919,-0.0962941,0.0830978
68,-1.3749272,-1.2653192,"('dependent', 'independent')",-1.3749272,-1.2653192,0.109608
69,-1.7551023,-1.9026225,"('lazy', 'industrious')",-1.7551023,-1.9026225,-0.1475202
70,1.4578602,1.5737401,"('lethargic', 'energetic')",1.4578602,1.5737401,0.1158799
71,0.898119,0.86889136,"('diffident', 'self-confident')",0.898119,0.8688914,-0.0292276
72,0.61042017,0.700984,"('unambitious', 'ambitious')",0.6104202,0.700984,0.0905638
73,-2.8648434,-2.863035,"('helpless', 'self-reliant')",-2.8648434,-2.863035,0.0018084
74,0.04660205,0.049231328,"('undedicated', 'dedicated')",0.0466021,0.0492313,0.0026292
75,-0.9053035,-0.890483,"('meek', 'impulsive')",-0.9053035,-0.890483,0.0148205
76,0.113602474,0.22145948,"('anxious', 'daring')",0.1136025,0.2214595,0.107857
77,-0.5255178,-0.4924628,"('unmotivated', 'motivated')",-0.5255178,-0.4924628,0.033055
