,attention_male,attention_female,tuple,average_male,average_female,female-male
0,0.36120436,0.16862111,"('unsociable', 'sociable')",0.3612044,0.1686211,-0.1925833
1,1.7643732,1.7584938,"('unfriendly', 'friendly')",1.7643732,1.7584938,-0.0058794
2,0.36334065,0.39690733,"('unlikable', 'likable')",0.3633406,0.3969073,0.0335667
3,1.1968354,1.1942639,"('repellent', 'pleasant')",1.1968354,1.1942639,-0.0025715
4,-7.311504,-7.4064307,"('disliked', 'liked')",-7.3115039,-7.4064307,-0.0949268
5,0.21657081,0.39365926,"('distant', 'outgoing')",0.2165708,0.3936593,0.1770885
6,0.32871518,0.50517297,"('distant', 'open')",0.3287152,0.505173,0.1764578
7,1.467041,1.3914721,"('insensitive', 'sensitive')",1.467041,1.3914721,-0.0755689
8,1.4661988,1.5416466,"('unaffectionate', 'affectionate')",1.4661988,1.5416466,0.0754478
9,2.1583974,2.2383752,"('unaffectionate', 'caring')",2.1583974,2.2383752,0.0799778
10,1.0957168,1.0624244,"('unsympathetic', 'sympathetic')",1.0957168,1.0624244,-0.0332924
11,2.6490488,2.6025877,"('unhelpful', 'helpful')",2.6490488,2.6025877,-0.0464611
12,-0.82886964,-0.7714354,"('unsupportive', 'supportive')",-0.8288696,-0.7714354,0.0574342
13,0.17468604,0.009236969,"('impolite', 'polite')",0.174686,0.009237,-0.165449
14,0.15397187,0.060628105,"('antisocial', 'social')",0.1539719,0.0606281,-0.0933438
15,0.4480797,0.3905377,"('boring', 'funny')",0.4480797,0.3905377,-0.057542
16,-0.44264084,-0.3827227,"('unpopular', 'popular')",-0.4426408,-0.3827227,0.0599181
17,-0.35900342,-0.32081217,"('nasty', 'nice')",-0.3590034,-0.3208122,0.0381912
18,-0.025330476,0.0025634915,"('disagreeable', 'welcoming')",-0.0253305,0.0025635,0.027894
19,-0.015265325,0.2013925,"('inhospitable', 'hospitable')",-0.0152653,0.2013925,0.2166578
20,0.6645583,0.49671224,"('rough', 'thoughtful')",0.6645583,0.4967122,-0.1678461
