,baker_male,baker_female,tuple,hughes_male,hughes_female,co_male,co_female,average_male,average_female,female-male
0,0.66698617,0.14693113,"('unsociable', 'sociable')",-0.09996871,-0.27982318,-0.05056029,-0.33734286,0.1721524,-0.156745,-0.3288974
1,-0.94846433,-1.0283532,"('unfriendly', 'friendly')",1.2625637,1.2075055,1.078083,1.0212088,0.4640608,0.4001203,-0.0639405
2,-0.0006081015,0.03452608,"('unlikable', 'likable')",0.59501576,0.7043134,0.9001017,1.0684916,0.4981698,0.6024437,0.1042739
3,0.05995471,0.05908812,"('repellent', 'pleasant')",-1.0500256,-0.8966572,0.40483677,0.38219815,-0.195078,-0.1517903,0.0432877
4,0.260512,0.29376635,"('disliked', 'liked')",0.78763455,0.67073685,-5.476115,-5.5431614,-1.4759897,-1.5262194,-0.0502297
5,-1.1416576,-0.8947979,"('distant', 'outgoing')",0.29587865,0.27787465,-0.9977873,-0.7787324,-0.6145221,-0.4652185,0.1493036
6,-1.3606125,-1.0672667,"('distant', 'open')",0.069564834,0.13533565,-0.95850015,-0.7441542,-0.7498493,-0.5586951,0.1911542
7,0.9150783,0.6230719,"('insensitive', 'sensitive')",-0.3737199,-0.27677444,0.12516049,-0.02033584,0.2221729,0.1086539,-0.113519
8,-1.2258503,-1.0250937,"('unaffectionate', 'affectionate')",1.4495711,1.402542,0.16451724,0.1522379,0.1294127,0.1765621,0.0471494
9,0.4679356,0.48744255,"('unaffectionate', 'caring')",2.0829072,2.008046,1.0368711,0.9455157,1.1959046,1.1470013,-0.0489033
10,0.6219243,0.17552799,"('unsympathetic', 'sympathetic')",-0.45331717,-0.48293245,0.2837987,-0.08196503,0.1508019,-0.1297898,-0.2805917
11,0.3385498,-0.034855273,"('unhelpful', 'helpful')",-0.2667303,-0.26575613,2.2587786,2.0312843,0.776866,0.576891,-0.199975
12,0.7025631,0.6136619,"('unsupportive', 'supportive')",0.987428,1.0392454,-1.5292907,-1.5219477,0.0535668,0.0436532,-0.0099136
13,0.48958164,0.17191881,"('impolite', 'polite')",-0.9300722,-1.026368,0.0060917363,-0.13899961,-0.1447996,-0.3311496,-0.18635
14,0.27918485,-0.17186561,"('antisocial', 'social')",-0.016470693,-0.17908946,0.0404384,-0.12051465,0.1010509,-0.1571566,-0.2582075
15,-0.095027775,-0.06810114,"('boring', 'funny')",-0.32512376,-0.5080529,0.6749842,0.75908864,0.0849442,0.0609782,-0.023966
16,-0.47290158,-0.3973935,"('unpopular', 'popular')",-0.40584105,-0.38915473,-0.095824316,-0.08809203,-0.3248556,-0.2915468,0.0333088
17,0.7873523,0.80851847,"('nasty', 'nice')",-0.31412268,-0.37599075,-0.14841095,-0.077069506,0.1082729,0.1184861,0.0102132
18,-1.268079,-1.040015,"('disagreeable', 'welcoming')",-0.050411418,-0.013384819,-1.4578396,-1.4190283,-0.9254433,-0.8241427,0.1013006
19,0.2667856,0.4322577,"('inhospitable', 'hospitable')",1.1145214,1.0258595,-0.18074967,-0.22551614,0.4001858,0.4108671,0.0106813
20,0.27642307,0.21910422,"('rough', 'thoughtful')",-0.21675675,-0.16697341,0.4435632,0.4388209,0.1677432,0.1636506,-0.0040926
21,1.06393,0.78503776,"('immoral', 'moral')",-0.49395627,-0.52061987,-0.82490045,-0.8946539,-0.0849756,-0.2100787,-0.1251031
22,-1.0752995,-1.187473,"('untrustworthy', 'trustworthy')",-1.2322607,-1.2454013,-1.0180327,-1.0451019,-1.108531,-1.1593254,-0.0507944
23,0.6672297,0.34123787,"('insincere', 'sincere')",-0.5617073,-0.5270414,5.193326,4.9631195,1.7662827,1.5924387,-0.173844
24,-0.6104334,-0.63164335,"('dishonest', 'honest')",-0.45105585,-0.43354398,0.51164454,0.49635077,-0.1832816,-0.1896122,-0.0063306
25,-0.08811586,0.20034017,"('egoistic', 'altruistic')",1.2078937,1.2122989,0.73808646,0.8011143,0.6192881,0.7379177,0.1186296
26,-0.59697056,-0.6543071,"('hardhearted', 'benevolent')",1.9827319,1.8271835,1.7024572,1.6006,1.0294062,0.9244921,-0.1049141
27,-0.6748773,-0.4718037,"('hardhearted', 'softhearted')",-0.0023177704,0.09889955,0.22838978,0.3535658,-0.1496018,-0.0064461,0.1431557
28,0.5210518,0.21043468,"('disloyal', 'loyal')",0.5705859,0.41772002,0.8392943,0.47359884,0.643644,0.3672512,-0.2763928
