,basket_male,basket_female,tuple,average_male,average_female,female-male
0,0.40654835,0.2537083,"('unsociable', 'sociable')",0.4065484,0.2537083,-0.1528401
1,1.050214,1.2000494,"('unfriendly', 'friendly')",1.0502141,1.2000494,0.1498353
2,-0.0022332147,0.17818013,"('unlikable', 'likable')",-0.0022332,0.1781801,0.1804133
3,0.9832193,1.0836062,"('repellent', 'pleasant')",0.9832193,1.0836062,0.1003869
4,-7.28141,-7.5080423,"('disliked', 'liked')",-7.2814102,-7.5080423,-0.2266321
5,-0.56604254,-0.47225612,"('distant', 'outgoing')",-0.5660425,-0.4722561,0.0937864
6,-0.05056631,-0.03846698,"('distant', 'open')",-0.0505663,-0.038467,0.0120993
7,1.5359399,1.5287305,"('insensitive', 'sensitive')",1.5359399,1.5287305,-0.0072094
8,0.8017306,0.8618492,"('unaffectionate', 'affectionate')",0.8017306,0.8618492,0.0601186
9,1.0813203,1.1923985,"('unaffectionate', 'caring')",1.0813203,1.1923985,0.1110782
10,1.2042888,1.1486229,"('unsympathetic', 'sympathetic')",1.2042888,1.1486229,-0.0556659
11,1.5968381,1.6779383,"('unhelpful', 'helpful')",1.5968381,1.6779383,0.0811002
12,-1.5285325,-1.5082835,"('unsupportive', 'supportive')",-1.5285325,-1.5082835,0.020249
13,0.16096425,0.2592142,"('impolite', 'polite')",0.1609643,0.2592142,0.0982499
14,0.3299756,0.29492685,"('antisocial', 'social')",0.3299756,0.2949269,-0.0350487
15,0.44426176,0.3797863,"('boring', 'funny')",0.4442618,0.3797863,-0.0644755
16,-0.73904306,-0.6975633,"('unpopular', 'popular')",-0.7390431,-0.6975633,0.0414798
17,0.04048113,0.030182647,"('nasty', 'nice')",0.0404811,0.0301826,-0.0102985
18,-0.5655322,-0.3333782,"('disagreeable', 'welcoming')",-0.5655322,-0.3333782,0.232154
19,-0.8563568,-0.7019795,"('inhospitable', 'hospitable')",-0.8563568,-0.7019795,0.1543773
20,0.7405102,0.5914046,"('rough', 'thoughtful')",0.7405102,0.5914046,-0.1491056
21,-0.060884625,0.11455912,"('immoral', 'moral')",-0.0608846,0.1145591,0.1754437
22,-0.0012379158,-0.043365933,"('untrustworthy', 'trustworthy')",-0.0012379,-0.0433659,-0.042128
23,6.0971127,6.407502,"('insincere', 'sincere')",6.0971127,6.4075022,0.3103895
24,1.3757421,1.4455692,"('dishonest', 'honest')",1.3757421,1.4455692,0.0698271
25,0.80230296,0.9465352,"('egoistic', 'altruistic')",0.802303,0.9465352,0.1442322
26,1.1497293,0.94988227,"('hardhearted', 'benevolent')",1.1497293,0.9498823,-0.199847
27,1.8619329,1.6843157,"('hardhearted', 'softhearted')",1.8619329,1.6843157,-0.1776172
28,1.3843377,1.2649971,"('disloyal', 'loyal')",1.3843377,1.2649971,-0.1193406
29,-0.24952528,-0.46185687,"('unfair', 'fair')",-0.2495253,-0.4618569,-0.2123316
30,0.89873326,0.99190795,"('intolerant', 'tolerant')",0.8987333,0.991908,0.0931747
31,-1.216247,-1.2423686,"('evil', 'good')",-1.216247,-1.2423686,-0.0261216
32,1.2947552,1.2078449,"('unkind', 'kind')",1.2947552,1.2078449,-0.0869103
33,-0.5499367,-0.5351214,"('wrong', 'right')",-0.5499367,-0.5351214,0.0148153
34,4.138972,4.551762,"('mean', 'honorable')",4.1389718,4.5517621,0.4127903
35,-0.8900105,-1.2268769,"('corrupt', 'incorrupt')",-0.8900105,-1.2268769,-0.3368664
36,-0.8018952,-0.9589955,"('hostile', 'amicable')",-0.8018952,-0.9589955,-0.1571003
37,1.061277,1.0292908,"('fake', 'genuine')",1.061277,1.0292908,-0.0319862
38,-0.6677676,-0.45965657,"('untruthful', 'truthful')",-0.6677676,-0.4596566,0.208111
39,0.3740662,0.41947496,"('exploitative', 'cooperative')",0.3740662,0.419475,0.0454088
40,-1.1043851,-1.1279254,"('stingy', 'generous')",-1.1043851,-1.1279254,-0.0235403
41,0.6136032,0.4399358,"('unforgiving', 'forgiving')",0.6136032,0.4399358,-0.1736674
42,-1.8759619,-1.9866382,"('unreliable', 'reliable')",-1.8759619,-1.9866382,-0.1106763
43,1.1145499,1.2663479,"('irresponsible', 'responsible')",1.1145499,1.2663479,0.151798
44,-1.0091491,-1.0821978,"('prejudiced', 'unprejudiced')",-1.0091491,-1.0821978,-0.0730487
45,0.6589583,0.31934407,"('incompetent', 'competent')",0.6589583,0.3193441,-0.3396142
46,-0.35973,-0.48280516,"('uncompetitive', 'competitive')",-0.35973,-0.4828052,-0.1230752
47,4.6402545,4.8578806,"('stupid', 'smart')",4.6402545,4.8578806,0.2176261
48,0.36223656,0.44499058,"('unintelligent', 'intelligent')",0.3622366,0.4449906,0.082754
49,-0.34148306,-0.21244554,"('unable', 'able')",-0.3414831,-0.2124455,0.1290376
50,-0.46940544,-0.42562997,"('clumsy', 'skillful')",-0.4694054,-0.42563,0.0437754
51,0.3342673,0.35850883,"('uneducated', 'educated')",0.3342673,0.3585088,0.0242415
52,-0.27146977,-0.38682812,"('irrational', 'rational')",-0.2714698,-0.3868281,-0.1153583
53,-0.11005087,-0.1409918,"('uncreative', 'creative')",-0.1100509,-0.1409918,-0.0309409
54,0.63481885,0.7311957,"('incapable', 'capable')",0.6348189,0.7311957,0.0963768
55,0.95458436,0.9951925,"('incompetent', 'clever')",0.9545844,0.9951925,0.0406081
56,0.35272363,0.3086564,"('impractical', 'practical')",0.3527236,0.3086564,-0.0440672
57,-1.6896666,-2.0376942,"('unimaginative', 'imaginative')",-1.6896666,-2.0376942,-0.3480276
58,0.5056416,0.43866813,"('undiscriminating', 'discriminating')",0.5056416,0.4386681,-0.0669735
59,-0.27997848,-0.19622217,"('foolish', 'wise')",-0.2799785,-0.1962222,0.0837563
60,0.31920078,0.57326126,"('inefficient', 'efficient')",0.3192008,0.5732613,0.2540605
61,0.3941107,0.22231264,"('illogical', 'logical')",0.3941107,0.2223126,-0.1717981
62,0.5403128,0.68949103,"('incompetent', 'brilliant')",0.5403128,0.689491,0.1491782
63,0.14370544,0.251767,"('unperceptive', 'insightful')",0.1437054,0.251767,0.1080616
64,-6.197692,-6.2210574,"('shy', 'confident')",-6.1976919,-6.2210574,-0.0233655
65,0.58906734,0.72233784,"('insecure', 'secure')",0.5890673,0.7223378,0.1332705
66,-0.18070813,-0.3444679,"('inactive', 'active')",-0.1807081,-0.3444679,-0.1637598
67,-0.84084517,-0.74692273,"('doubtful', 'determined')",-0.8408452,-0.7469227,0.0939225
68,-0.9354514,-0.7644124,"('dependent', 'independent')",-0.9354514,-0.7644124,0.171039
69,-2.095467,-2.1289184,"('lazy', 'industrious')",-2.0954671,-2.1289184,-0.0334513
70,1.7940733,1.6662699,"('lethargic', 'energetic')",1.7940733,1.6662699,-0.1278034
71,0.34037346,0.36448422,"('diffident', 'self-confident')",0.3403735,0.3644842,0.0241107
72,0.88583446,1.1228367,"('unambitious', 'ambitious')",0.8858345,1.1228367,0.2370022
73,-2.761209,-2.696478,"('helpless', 'self-reliant')",-2.761209,-2.6964779,0.0647311
74,0.3358363,0.17768095,"('undedicated', 'dedicated')",0.3358363,0.177681,-0.1581553
75,-0.87765443,-0.92447466,"('meek', 'impulsive')",-0.8776544,-0.9244747,-0.0468203
76,0.5933264,0.6490061,"('anxious', 'daring')",0.5933264,0.6490061,0.0556797
77,-1.6485047,-1.5716373,"('unmotivated', 'motivated')",-1.6485047,-1.5716373,0.0768674
78,-0.97576886,-1.0214418,"('nonresilient', 'resilient')",-0.9757689,-1.0214418,-0.0456729
79,-0.3406782,-0.36371413,"('wavering', 'unwavering')",-0.3406782,-0.3637141,-0.0230359
80,0.29056075,0.10288689,"('dominated', 'dominating')",0.2905608,0.1028869,-0.1876739
81,0.06609738,0.04488845,"('submissive', 'aggressive')",0.0660974,0.0448885,-0.0212089
82,6.157473,6.2833104,"('poor', 'rich')",6.1574731,6.2833104,0.1258373
83,-0.54220563,-0.5036442,"('powerless', 'powerful')",-0.5422056,-0.5036442,0.0385614
84,0.5012313,0.45893288,"('inferior', 'superior')",0.5012313,0.4589329,-0.0422984
85,-1.3657502,-1.3141136,"('insignificant', 'prestigious')",-1.3657502,-1.3141136,0.0516366
86,0.78275645,0.65553755,"('uninfluential', 'influential')",0.7827564,0.6555375,-0.1272189
87,0.019613534,0.011767596,"('unsuccessful', 'successful')",0.0196135,0.0117676,-0.0078459
88,-0.08571215,-0.052412663,"('low', 'eminent')",-0.0857121,-0.0524127,0.0332994
