,bed_male,bed_female,tuple,bath_male,bath_female,&_male,&_female,beyond_male,beyond_female,inc_male,inc_female,average_male,average_female,female-male
0,0.3824662,0.12158649,"('unsociable', 'sociable')",-0.12608889,-0.15065199,-0.49418685,-0.55386883,-1.2341235,-1.2673872,-0.3162317,-0.42091468,-0.3576329,-0.4542472,-0.0966143
1,-0.3853664,-0.3326546,"('unfriendly', 'friendly')",0.5079028,0.6541012,-0.020735819,0.1558709,-0.87461734,-0.9318825,2.3766143,2.2353039,0.3207595,0.3561478,0.0353883
2,0.6377661,0.6222139,"('unlikable', 'likable')",0.9320356,0.89142483,0.7386894,0.901102,0.7518187,0.82597935,0.5899085,0.65681434,0.7300437,0.7795069,0.0494632
3,-1.396421,-1.3660877,"('repellent', 'pleasant')",-1.8710866,-1.741132,-1.1752913,-0.978898,-1.0316767,-0.95828635,-0.27724296,-0.21813118,-1.1503437,-1.052507,0.0978367
4,-0.18113664,-0.04898697,"('disliked', 'liked')",-0.28220272,-0.17516491,1.2813628,1.2740682,1.1257266,1.086658,-6.1113396,-6.1277103,-0.8335179,-0.7982272,0.0352907
5,-0.5936545,-0.2232377,"('distant', 'outgoing')",1.2406809,1.4179813,0.94123495,1.0513021,0.40818867,0.43123037,0.37852633,0.35927257,0.4749953,0.6073097,0.1323144
6,-0.1617924,0.21226656,"('distant', 'open')",1.8991946,2.103071,1.3890184,1.5639273,0.56112856,0.62755615,0.8277184,0.8096309,0.9030535,1.0632904,0.1602369
7,-0.50197536,-0.7331849,"('insensitive', 'sensitive')",0.38097215,0.3396072,-0.768397,-0.7489573,-2.016865,-2.0072973,0.7805795,0.7234578,-0.4251371,-0.4852749,-0.0601378
8,-0.30175176,-0.19543706,"('unaffectionate', 'affectionate')",1.276181,1.3394507,-0.095318995,-0.023355182,0.19408599,0.091997966,1.2775377,1.1218055,0.4701468,0.4668924,-0.0032544
9,0.41147098,0.42907432,"('unaffectionate', 'caring')",0.91248864,0.961871,-0.18283197,-0.097608455,0.1208408,0.0854835,1.678592,1.6245738,0.5881121,0.6006788,0.0125667
10,-0.8810337,-1.1664709,"('unsympathetic', 'sympathetic')",-1.332934,-1.5095344,-2.878413,-2.925084,-2.5157404,-2.534422,-0.7369274,-0.6999159,-1.6690096,-1.7670855,-0.0980759
11,-0.14590569,-0.28350112,"('unhelpful', 'helpful')",-0.6737443,-0.81690687,-1.870366,-1.6445749,-0.74999523,-0.73895645,1.6804459,1.7454313,-0.3519131,-0.3477016,0.0042115
12,1.2360053,1.3187196,"('unsupportive', 'supportive')",0.70697546,0.8058153,0.19620356,0.5776373,0.5579817,0.61104155,-1.282119,-1.2156633,0.2830094,0.4195101,0.1365007
13,0.06614417,-0.19629626,"('impolite', 'polite')",-0.44413918,-0.5738447,-1.5616369,-1.4956038,-1.3221085,-1.3350631,-0.56698734,-0.5707509,-0.7657455,-0.8343117,-0.0685662
14,0.08048847,-0.20916325,"('antisocial', 'social')",0.21158297,0.040518347,-0.57487017,-0.6779013,-0.48298895,-0.50425863,-0.82784784,-0.8801223,-0.3187271,-0.4461854,-0.1274583
15,1.0533414,0.9180863,"('boring', 'funny')",1.0643272,1.0091019,0.9073092,0.72949386,0.3520323,0.24643531,0.70499825,0.6669128,0.8164017,0.714006,-0.1023957
16,-0.60474426,-0.44351563,"('unpopular', 'popular')",-0.3826437,-0.15778276,0.6804549,0.7891184,0.454542,0.50686896,0.25216776,0.35967916,0.0799553,0.2108736,0.1309183
17,-0.5026467,-0.42938593,"('nasty', 'nice')",0.1816936,0.1867559,-0.2824706,-0.19893122,-0.83261377,-0.7994712,-0.4423678,-0.365163,-0.3756811,-0.3212391,0.054442
18,-0.9135883,-0.7391289,"('disagreeable', 'welcoming')",0.45539898,0.6276499,0.17232883,0.5511532,-0.64504313,-0.5787117,-0.32399333,-0.36087298,-0.2509794,-0.0999821,0.1509973
19,-0.68885446,-0.44584438,"('inhospitable', 'hospitable')",0.07963798,0.2816463,0.19562176,0.42872763,0.50428534,0.5530386,0.41869587,0.45319203,0.1018773,0.254152,0.1522747
20,-0.9920083,-1.0415915,"('rough', 'thoughtful')",-1.4091973,-1.4527961,-0.96368533,-0.892031,-1.4302844,-1.4376645,0.7447448,0.6854178,-0.8100861,-0.8277331,-0.017647
21,-0.39368492,-0.5181403,"('immoral', 'moral')",-0.58279467,-0.6108009,-1.6436721,-1.400213,-2.6888926,-2.5405471,-1.0075947,-0.87007564,-1.2633278,-1.1879554,0.0753724
22,0.22316998,-0.005107628,"('untrustworthy', 'trustworthy')",-0.032160267,-0.26331422,0.15039414,0.17374451,-1.1314545,-1.1197746,-0.9660602,-1.0682664,-0.3512222,-0.4565436,-0.1053214
23,0.5216744,0.2945854,"('insincere', 'sincere')",-0.30007356,-0.32939667,-1.8325139,-1.6374474,-0.94875544,-0.9687716,5.714447,5.6078534,0.6309557,0.5933646,-0.0375911
24,0.50754136,0.3707322,"('dishonest', 'honest')",0.53224987,0.37909648,-1.5574745,-1.5460826,-0.7663522,-0.77764165,0.97843385,0.84583575,-0.0611203,-0.145612,-0.0844917
25,-0.9042942,-0.6971599,"('egoistic', 'altruistic')",0.57432634,0.727881,0.24922156,0.23563819,-0.14327589,-0.08370883,1.5438979,1.5395268,0.2639751,0.3444355,0.0804604
26,-0.3029326,-0.46129426,"('hardhearted', 'benevolent')",1.5135767,1.5233599,1.6715016,1.504817,0.48374712,0.2791618,1.8815849,1.750577,1.0494955,0.9193243,-0.1301712
27,-0.48045906,-0.4891412,"('hardhearted', 'softhearted')",-0.2813543,-0.38456672,-0.55399364,-0.44958714,-0.04538367,-0.14708166,1.7794719,1.632895,0.0836562,0.0325037,-0.0511525
28,-0.9388453,-1.1655172,"('disloyal', 'loyal')",-0.4926601,-0.6350018,-1.0683454,-1.1285657,-1.7558051,-1.8113606,0.7567884,0.64735055,-0.6997735,-0.818619,-0.1188455
29,0.78190815,0.8701082,"('unfair', 'fair')",1.23542,1.1509286,-0.16107279,-0.1858339,-0.091010384,-0.031137543,-0.28332222,-0.47697654,0.2963846,0.2654178,-0.0309668
30,0.2428536,0.067707285,"('intolerant', 'tolerant')",0.17590156,0.10220456,-1.2818927,-1.2042465,-1.0987906,-1.08636,0.8624205,0.8394643,-0.2199015,-0.2562461,-0.0363446
31,-1.0671372,-0.69021785,"('evil', 'good')",0.7226095,1.023245,1.6735768,1.7808354,0.3723181,0.46960646,-0.5424118,-0.6383585,0.2317911,0.3890221,0.157231
32,0.6051935,0.34298122,"('unkind', 'kind')",0.6820088,0.55220366,0.54002565,0.49648297,-1.3900049,-1.4016092,1.0391098,0.94100577,0.2952666,0.1862129,-0.1090537
33,0.24924067,0.38133845,"('wrong', 'right')",-0.2173333,-0.21476084,0.8620466,0.95948386,0.9312288,0.9749686,0.027122356,-0.008580938,0.370461,0.4184898,0.0480288
34,-0.6455658,-0.43841845,"('mean', 'honorable')",-0.37365654,-0.19338971,-0.7370804,-0.47833386,0.44516337,0.4847613,5.8064375,5.9285994,0.8990596,1.0606438,0.1615842
35,-0.199585,0.00873656,"('corrupt', 'incorrupt')",0.0009369198,-0.041805334,1.3964443,1.1670583,1.1765559,1.1224707,0.1142745,-0.075619355,0.4977253,0.4361681,-0.0615572
36,-0.79487234,-0.47422552,"('hostile', 'amicable')",-0.2409352,0.030165002,0.969776,1.0451286,1.0343802,0.98252785,0.27053994,0.08955712,0.2477777,0.3346306,0.0868529
37,0.7384551,0.6193082,"('fake', 'genuine')",1.1402023,1.0839243,-0.11659325,-0.026808843,0.31794,0.33953428,0.6485087,0.59836805,0.5457026,0.5228652,-0.0228374
38,0.3098318,0.2983436,"('untruthful', 'truthful')",-0.3533181,-0.3921107,-0.37763196,-0.2917881,0.5066767,0.55762315,0.1705327,0.23328242,0.0512182,0.0810701,0.0298519
39,0.7528593,0.68066716,"('exploitative', 'cooperative')",0.6748677,0.63986754,0.27284068,0.2226457,-0.58530015,-0.46152312,0.27234584,0.24592194,0.2775227,0.2655159,-0.0120068
40,0.045894995,0.027124004,"('stingy', 'generous')",-0.016483739,0.10037643,-0.68949974,-0.55736685,-0.26267666,-0.29581225,-1.2039845,-1.3158371,-0.4253499,-0.4083032,0.0170467
41,0.6146119,0.47015512,"('unforgiving', 'forgiving')",-0.202596,-0.17482583,-0.24114378,-0.07905525,-0.97944206,-0.95777994,0.26251283,0.16797382,-0.1092114,-0.1147064,-0.005495
42,0.35895824,0.440926,"('unreliable', 'reliable')",1.0400801,1.0907739,0.9033857,1.1245022,0.587378,0.63744646,-3.0985184,-2.9705093,-0.0417433,0.0646278,0.1063711
43,0.78046554,0.69218266,"('irresponsible', 'responsible')",0.5767202,0.4570024,-1.1289014,-0.8223514,-1.617395,-1.5289336,0.75243634,0.750789,-0.1273349,-0.0902622,0.0370727
44,-0.09105404,0.053237,"('prejudiced', 'unprejudiced')",-0.2674358,-0.2742678,0.032569584,0.07946086,0.9582261,0.93425703,-1.5304388,-1.4424696,-0.1796266,-0.1299565,0.0496701
45,0.022237912,-0.14695668,"('incompetent', 'competent')",0.5228125,0.48860735,-1.0799367,-0.9913775,-0.34000826,-0.34349063,-0.41553476,-0.39156097,-0.2580859,-0.2769557,-0.0188698
46,-0.71528924,-0.9362008,"('uncompetitive', 'competitive')",-0.79906434,-0.86571175,-1.3961293,-1.3223215,-1.5871443,-1.5152913,-0.7828179,-0.77006364,-1.056089,-1.0819178,-0.0258288
47,0.749967,0.70686054,"('stupid', 'smart')",0.77551,0.7157189,0.46263406,0.6621274,-0.23554763,-0.13518429,5.1789117,5.1903152,1.386295,1.4279675,0.0416725
48,-0.038330402,-0.25041607,"('unintelligent', 'intelligent')",-0.4877353,-0.5232436,-1.8914984,-1.865867,-2.2217262,-2.2527664,0.51114964,0.4894854,-0.8256281,-0.8805615,-0.0549334
49,-0.94246364,-0.87998754,"('unable', 'able')",-0.01989617,-0.03764768,-1.3751847,-1.2206873,-1.0930976,-1.0162027,-0.23036045,-0.16686627,-0.7322005,-0.6642783,0.0679222
50,-0.12924974,-0.004206622,"('clumsy', 'skillful')",-0.19088116,-0.14194867,2.1046352,2.1395435,1.4748528,1.4159968,0.3372151,0.31889942,0.7193145,0.7456569,0.0263424
51,-0.43525338,-0.6810767,"('uneducated', 'educated')",-0.40001854,-0.5906173,-0.2802695,-0.33579588,-0.86563456,-0.9443589,0.5986785,0.53324556,-0.2764995,-0.4037206,-0.1272211
52,-0.022247393,0.09377146,"('irrational', 'rational')",0.6116012,0.6316532,0.6147446,0.57638294,0.22093958,0.20226023,0.38395125,0.2780536,0.3617979,0.3564243,-0.0053736
53,-1.5823165,-1.4971892,"('uncreative', 'creative')",-0.25137633,-0.21391739,-0.3623031,-0.30999354,-1.6229862,-1.5698586,0.71620035,0.5989085,-0.6205564,-0.59841,0.0221464
54,-0.54486066,-0.48628592,"('incapable', 'capable')",0.7638993,0.7273334,-0.07675723,-0.03271714,-0.5403243,-0.43598297,1.1886569,1.242043,0.1581228,0.2028781,0.0447553
55,-0.15888147,-0.43571782,"('incompetent', 'clever')",0.72274053,0.596563,-1.5688928,-1.4751931,-2.554253,-2.5219634,-0.32024068,-0.28653276,-0.7759055,-0.8245688,-0.0486633
56,1.4115124,1.217716,"('impractical', 'practical')",1.0110769,0.9394349,-1.2648981,-1.1378888,-0.3854687,-0.34809136,-0.3832819,-0.29794812,0.0777881,0.0746445,-0.0031436
57,-0.6025854,-0.8299287,"('unimaginative', 'imaginative')",-0.032963578,-0.17670727,-1.2391826,-1.3150935,-2.1791713,-2.2016191,-2.6313736,-2.661522,-1.3370552,-1.4369741,-0.0999189
58,-0.38175994,-0.45331457,"('undiscriminating', 'discriminating')",-0.32690728,-0.4427275,-0.3622343,-0.35955188,-0.7811308,-0.8338342,-0.003181029,-0.05406431,-0.3710427,-0.4286985,-0.0576558
59,0.05483137,0.18503177,"('foolish', 'wise')",0.7265027,0.6874449,1.4665468,1.3749373,0.046111446,0.08187382,0.48294842,0.42295167,0.5553882,0.5504479,-0.0049403
60,0.25455213,0.06940833,"('inefficient', 'efficient')",0.45915875,0.3685448,-1.6622221,-1.4513385,-1.2743479,-1.2507124,-0.3455594,-0.15922819,-0.5136837,-0.4846652,0.0290185
61,0.3891678,0.28607804,"('illogical', 'logical')",0.3895675,0.27285835,-0.04342295,-0.16358411,0.49030828,0.4955564,0.57636476,0.43816763,0.3603971,0.2658153,-0.0945818
62,-0.60019195,-0.770576,"('incompetent', 'brilliant')",-0.23278736,-0.36220127,-2.4529173,-2.2424984,-0.6304484,-0.58985853,-0.1513494,0.061860874,-0.8135389,-0.7806547,0.0328842
63,-0.6340681,-0.7271878,"('unperceptive', 'insightful')",-1.3055464,-1.3129357,0.38129228,0.60361654,-1.4215763,-1.3132241,1.0069159,1.1277103,-0.3945965,-0.3244041,0.0701924
64,-0.18813697,-0.17489098,"('shy', 'confident')",-0.29520118,-0.31640673,0.00013004243,-0.058311455,0.078098774,0.109365866,-6.6388955,-6.5375648,-1.408801,-1.3955616,0.0132394
65,0.055554643,-0.31729043,"('insecure', 'secure')",0.6180766,0.35998482,-0.78766346,-1.0851911,-1.5983987,-1.718732,-0.64467496,-0.66969156,-0.4714212,-0.686184,-0.2147628
66,-1.2554739,-1.0912713,"('inactive', 'active')",-0.5851771,-0.6549126,0.9237451,0.9292295,0.754284,0.7296701,0.75522333,0.7205469,0.1185203,0.1266525,0.0081322
67,0.3838112,0.33392358,"('doubtful', 'determined')",0.09227601,0.027209932,-0.3730439,-0.3381937,0.0372106,0.06497787,-0.3529228,-0.32599974,-0.0425338,-0.0476164,-0.0050826
68,-1.1371517,-1.1449194,"('dependent', 'independent')",-0.77781993,-0.99279726,-1.00388,-0.9776891,-0.3519879,-0.32077646,-0.499467,-0.5757839,-0.7540613,-0.8023932,-0.0483319
69,-0.9299531,-0.626519,"('lazy', 'industrious')",0.897952,1.0295193,2.6628895,2.6620414,2.112125,2.1905742,-0.52213365,-0.4856844,0.8441759,0.9539864,0.1098105
70,-0.55643684,-0.7596845,"('lethargic', 'energetic')",-1.299274,-1.4153166,-0.9891047,-0.9750252,-1.7656955,-1.8199339,0.28888708,0.29310066,-0.8643248,-0.9353719,-0.0710471
71,0.9606484,1.0917555,"('diffident', 'self-confident')",1.8529521,1.9951233,0.35168624,0.50080144,1.6778169,1.641551,0.7583811,0.7441655,1.1202969,1.1946794,0.0743825
72,-0.047478825,-0.21194588,"('unambitious', 'ambitious')",0.19040874,0.014873849,-1.0483444,-1.1602757,0.55030674,0.4675382,-0.3160546,-0.35090876,-0.1342325,-0.2481436,-0.1139111
73,1.0189536,1.1424068,"('helpless', 'self-reliant')",0.46517792,0.4917299,1.3628672,1.4893554,1.6003402,1.598939,-2.6794555,-2.6109579,0.3535767,0.4222947,0.068718
74,0.36537126,0.31388563,"('undedicated', 'dedicated')",0.54535896,0.38622633,0.3182903,0.48830238,-0.7398262,-0.68456733,0.16628322,0.16026863,0.1310955,0.1328231,0.0017276
75,-0.9167017,-0.8257481,"('meek', 'impulsive')",-1.0557554,-1.0889348,0.12633958,0.092023775,0.24447589,0.25243235,-0.47352478,-0.4411648,-0.4150333,-0.4022783,0.012755
76,-0.657699,-0.72325313,"('anxious', 'daring')",-0.51102805,-0.6083046,-0.41916227,-0.39761582,-1.4823896,-1.5072289,-0.28910622,-0.23888451,-0.671877,-0.6950574,-0.0231804
77,-1.8470584,-1.6867644,"('unmotivated', 'motivated')",-1.6563178,-1.4235399,-2.2357228,-2.0061777,-1.7809583,-1.6197256,-1.3302641,-1.1598381,-1.7700642,-1.5792091,0.1908551
78,-0.40656292,-0.2759029,"('nonresilient', 'resilient')",-0.1072502,0.08072153,-0.33531812,-0.08653718,0.70188826,0.68472296,0.6349435,0.71730614,0.0975401,0.2240621,0.126522
79,-0.5745755,-0.24448335,"('wavering', 'unwavering')",0.5081726,0.58863795,0.7739273,0.70377815,0.60249907,0.57312703,0.12352726,0.11644417,0.2867101,0.3475008,0.0607907
80,0.5090079,0.15205726,"('dominated', 'dominating')",-0.6050784,-0.92855626,-0.6859898,-0.8394392,-0.25524056,-0.30779356,-1.1022644,-1.0656557,-0.427913,-0.5978775,-0.1699645
81,-1.3635979,-1.8481674,"('submissive', 'aggressive')",-1.4606794,-1.6711013,-1.7505522,-2.0683613,-1.566263,-1.6224563,-1.3821304,-1.2826931,-1.5046446,-1.6985559,-0.1939113
82,-0.74453485,-0.83697295,"('poor', 'rich')",-0.64765894,-0.589343,-0.25858635,-0.28418294,-1.347947,-1.3686641,5.6981645,5.729381,0.5398874,0.5300436,-0.0098438
83,0.28616318,0.2939077,"('powerless', 'powerful')",0.45819715,0.487913,-0.760167,-0.56777644,-0.8113249,-0.74927616,-0.8821162,-0.8888345,-0.3418496,-0.2848133,0.0570363
84,0.36997905,0.39041343,"('inferior', 'superior')",0.6020712,0.65881914,0.071257725,0.0043819994,-0.13433695,-0.06016541,0.7840536,0.7281077,0.3386049,0.3443114,0.0057065
85,-0.5073031,-0.087622575,"('insignificant', 'prestigious')",1.0873295,1.3589517,1.4510412,1.5498441,1.7357192,1.739782,0.9890503,1.0142773,0.9511674,1.1150465,0.1638791
86,-0.82272655,-1.0473496,"('uninfluential', 'influential')",-0.03242129,-0.13610202,-1.3927383,-1.4246587,-2.0146089,-2.064393,0.040925156,-0.09655061,-0.844314,-0.9538108,-0.1094968
87,0.18938236,0.009881083,"('unsuccessful', 'successful')",0.24757484,0.07526007,0.88746107,0.75311166,1.2772627,1.2716899,1.0332432,1.1609472,0.7269848,0.654178,-0.0728068
88,-0.7013665,-0.7607248,"('low', 'eminent')",-1.0415007,-1.0109504,-0.38316283,-0.41549543,-1.0221169,-1.1330371,0.251606,0.2657681,-0.5793082,-0.610888,-0.0315798
