,billing_male,billing_female,tuple,average_male,average_female,female-male
0,0.011033606,0.018818099,"('unsociable', 'sociable')",0.0110336,0.0188181,0.0077845
1,1.9321102,1.8601487,"('unfriendly', 'friendly')",1.9321102,1.8601487,-0.0719615
2,0.13213685,0.18158042,"('unlikable', 'likable')",0.1321369,0.1815804,0.0494435
3,0.38467965,0.6320322,"('repellent', 'pleasant')",0.3846796,0.6320322,0.2473526
4,-7.382557,-7.391714,"('disliked', 'liked')",-7.3825569,-7.3917141,-0.0091572
5,0.14511825,0.21490526,"('distant', 'outgoing')",0.1451183,0.2149053,0.069787
6,0.26661566,0.2980036,"('distant', 'open')",0.2666157,0.2980036,0.0313879
7,0.94723463,1.0814382,"('insensitive', 'sensitive')",0.9472346,1.0814382,0.1342036
8,1.6197115,1.5109922,"('unaffectionate', 'affectionate')",1.6197115,1.5109922,-0.1087193
9,2.3196805,2.3624294,"('unaffectionate', 'caring')",2.3196805,2.3624294,0.0427489
10,0.7226801,0.8284921,"('unsympathetic', 'sympathetic')",0.7226801,0.8284921,0.105812
11,2.1654432,2.3184597,"('unhelpful', 'helpful')",2.1654432,2.3184597,0.1530165
12,-1.0747308,-0.9566036,"('unsupportive', 'supportive')",-1.0747308,-0.9566036,0.1181272
13,-0.003083475,0.054888174,"('impolite', 'polite')",-0.0030835,0.0548882,0.0579717
14,-0.222066,-0.25586304,"('antisocial', 'social')",-0.222066,-0.255863,-0.033797
15,0.27333465,0.1801562,"('boring', 'funny')",0.2733347,0.1801562,-0.0931785
16,-0.4573628,-0.3066383,"('unpopular', 'popular')",-0.4573628,-0.3066383,0.1507245
17,0.02156869,0.07430062,"('nasty', 'nice')",0.0215687,0.0743006,0.0527319
18,-0.19030178,-0.22199504,"('disagreeable', 'welcoming')",-0.1903018,-0.221995,-0.0316932
19,-0.20866342,-0.12140442,"('inhospitable', 'hospitable')",-0.2086634,-0.1214044,0.087259
20,0.588962,0.43292826,"('rough', 'thoughtful')",0.588962,0.4329283,-0.1560337
21,-0.5316744,-0.3176651,"('immoral', 'moral')",-0.5316744,-0.3176651,0.2140093
22,-0.854598,-0.7128346,"('untrustworthy', 'trustworthy')",-0.854598,-0.7128346,0.1417634
23,6.962905,7.1131673,"('insincere', 'sincere')",6.9629049,7.1131673,0.1502624
24,1.6526562,1.7092868,"('dishonest', 'honest')",1.6526562,1.7092868,0.0566306
