,broker_male,broker_female,tuple,average_male,average_female,female-male
0,0.47875747,0.32993993,"('unsociable', 'sociable')",0.4787575,0.3299399,-0.1488176
1,1.1616024,1.1298571,"('unfriendly', 'friendly')",1.1616024,1.1298571,-0.0317453
2,0.5671601,0.66609716,"('unlikable', 'likable')",0.5671601,0.6660972,0.0989371
3,0.14316289,0.22468358,"('repellent', 'pleasant')",0.1431629,0.2246836,0.0815207
4,-7.6523185,-7.6436224,"('disliked', 'liked')",-7.6523185,-7.6436224,0.0086961
5,-0.7383939,-0.7074738,"('distant', 'outgoing')",-0.7383939,-0.7074738,0.0309201
6,-0.16794264,-0.17985736,"('distant', 'open')",-0.1679426,-0.1798574,-0.0119148
7,1.0488365,1.1513519,"('insensitive', 'sensitive')",1.0488365,1.1513519,0.1025154
8,1.3378179,1.234702,"('unaffectionate', 'affectionate')",1.3378179,1.234702,-0.1031159
9,1.8865249,1.9258493,"('unaffectionate', 'caring')",1.8865249,1.9258493,0.0393244
10,0.9729479,0.89780986,"('unsympathetic', 'sympathetic')",0.9729479,0.8978099,-0.075138
11,2.2529316,2.2958093,"('unhelpful', 'helpful')",2.2529316,2.2958093,0.0428777
12,-1.1981916,-1.1615411,"('unsupportive', 'supportive')",-1.1981916,-1.1615411,0.0366505
13,0.24327546,0.20499706,"('impolite', 'polite')",0.2432755,0.2049971,-0.0382784
14,0.31583723,0.3228678,"('antisocial', 'social')",0.3158372,0.3228678,0.0070306
15,0.33367983,0.31048796,"('boring', 'funny')",0.3336798,0.310488,-0.0231918
16,-0.45945632,-0.29668868,"('unpopular', 'popular')",-0.4594563,-0.2966887,0.1627676
17,0.3000308,0.28913948,"('nasty', 'nice')",0.3000308,0.2891395,-0.0108913
18,-0.67934203,-0.6374754,"('disagreeable', 'welcoming')",-0.679342,-0.6374754,0.0418666
19,-0.6750676,-0.66944,"('inhospitable', 'hospitable')",-0.6750676,-0.66944,0.0056276
20,0.62731135,0.6136195,"('rough', 'thoughtful')",0.6273113,0.6136195,-0.0136918
21,-0.28048488,-0.14868739,"('immoral', 'moral')",-0.2804849,-0.1486874,0.1317975
22,-0.43860036,-0.42024326,"('untrustworthy', 'trustworthy')",-0.4386004,-0.4202433,0.0183571
23,6.786769,6.8616967,"('insincere', 'sincere')",6.7867689,6.8616967,0.0749278
24,1.303515,1.2372007,"('dishonest', 'honest')",1.303515,1.2372007,-0.0663143
25,0.5051203,0.4447685,"('egoistic', 'altruistic')",0.5051203,0.4447685,-0.0603518
26,1.0287137,0.8696654,"('hardhearted', 'benevolent')",1.0287137,0.8696654,-0.1590483
27,1.4497703,1.2675022,"('hardhearted', 'softhearted')",1.4497703,1.2675022,-0.1822681
28,0.9962083,0.9420875,"('disloyal', 'loyal')",0.9962083,0.9420875,-0.0541208
29,-0.4572602,-0.648731,"('unfair', 'fair')",-0.4572602,-0.648731,-0.1914708
30,1.3026248,1.2485603,"('intolerant', 'tolerant')",1.3026248,1.2485603,-0.0540645
31,-1.6217381,-1.6683894,"('evil', 'good')",-1.6217381,-1.6683894,-0.0466513
32,1.3202713,1.2443923,"('unkind', 'kind')",1.3202713,1.2443923,-0.075879
33,-0.31213784,-0.30863225,"('wrong', 'right')",-0.3121378,-0.3086323,0.0035055
34,4.9250093,5.081944,"('mean', 'honorable')",4.9250093,5.081944,0.1569347
35,-0.9846974,-1.2027287,"('corrupt', 'incorrupt')",-0.9846974,-1.2027287,-0.2180313
36,-0.32392138,-0.528669,"('hostile', 'amicable')",-0.3239214,-0.528669,-0.2047476
37,0.3537272,0.3206029,"('fake', 'genuine')",0.3537272,0.3206029,-0.0331243
38,0.45686808,0.45898026,"('untruthful', 'truthful')",0.4568681,0.4589803,0.0021122
39,0.18451242,0.23773292,"('exploitative', 'cooperative')",0.1845124,0.2377329,0.0532205
40,-1.8808162,-1.9912806,"('stingy', 'generous')",-1.8808162,-1.9912806,-0.1104644
41,0.33669755,0.21272045,"('unforgiving', 'forgiving')",0.3366975,0.2127205,-0.123977
42,-2.5010319,-2.4785,"('unreliable', 'reliable')",-2.5010319,-2.4784999,0.022532
43,1.6008321,1.6168119,"('irresponsible', 'responsible')",1.6008321,1.6168119,0.0159798
44,-1.3828486,-1.4022231,"('prejudiced', 'unprejudiced')",-1.3828486,-1.4022231,-0.0193745
45,0.33913717,0.28646457,"('incompetent', 'competent')",0.3391372,0.2864646,-0.0526726
46,-0.62430197,-0.63830143,"('uncompetitive', 'competitive')",-0.624302,-0.6383014,-0.0139994
47,5.960339,6.130323,"('stupid', 'smart')",5.9603391,6.1303229,0.1699838
48,0.4714896,0.48747405,"('unintelligent', 'intelligent')",0.4714896,0.4874741,0.0159845
49,-0.39565042,-0.19408889,"('unable', 'able')",-0.3956504,-0.1940889,0.2015615
50,-0.19471902,-0.13752681,"('clumsy', 'skillful')",-0.194719,-0.1375268,0.0571922
51,-0.07705286,-0.050519355,"('uneducated', 'educated')",-0.0770529,-0.0505194,0.0265335
52,-0.22864749,-0.38931254,"('irrational', 'rational')",-0.2286475,-0.3893125,-0.160665
53,-0.18498205,-0.14741868,"('uncreative', 'creative')",-0.184982,-0.1474187,0.0375633
54,0.91556954,1.0034683,"('incapable', 'capable')",0.9155695,1.0034683,0.0878988
55,0.79745173,0.879114,"('incompetent', 'clever')",0.7974517,0.879114,0.0816623
56,0.76610106,0.8397952,"('impractical', 'practical')",0.7661011,0.8397952,0.0736941
57,-3.3987396,-3.3937614,"('unimaginative', 'imaginative')",-3.3987396,-3.3937614,0.0049782
58,0.14114995,0.14106943,"('undiscriminating', 'discriminating')",0.14115,0.1410694,-8.06e-05
59,0.11788772,0.20502536,"('foolish', 'wise')",0.1178877,0.2050254,0.0871377
60,0.6953464,0.87235075,"('inefficient', 'efficient')",0.6953464,0.8723508,0.1770044
61,0.659142,0.47603512,"('illogical', 'logical')",0.659142,0.4760351,-0.1831069
62,0.68463933,0.87304854,"('incompetent', 'brilliant')",0.6846393,0.8730485,0.1884092
63,0.5368141,0.6106299,"('unperceptive', 'insightful')",0.5368141,0.6106299,0.0738158
64,-6.331215,-6.2773724,"('shy', 'confident')",-6.3312149,-6.2773724,0.0538425
65,0.736944,0.7452262,"('insecure', 'secure')",0.736944,0.7452262,0.0082822
66,-0.36670306,-0.49060613,"('inactive', 'active')",-0.3667031,-0.4906061,-0.123903
67,-0.33176047,-0.23174305,"('doubtful', 'determined')",-0.3317605,-0.2317431,0.1000174
68,-0.9968474,-0.92651546,"('dependent', 'independent')",-0.9968474,-0.9265155,0.0703319
69,-1.3262615,-1.3178222,"('lazy', 'industrious')",-1.3262615,-1.3178222,0.0084393
