,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",-0.5692171,-0.7493999,-0.18018279999999998
1,"('unfriendly', 'friendly')",0.8213717,0.5445451,-0.27682660000000003
2,"('unlikable', 'likable')",0.9095233,0.880822,-0.02870130000000004
3,"('repellent', 'pleasant')",-0.2977615,-0.2806468,0.017114700000000038
4,"('disliked', 'liked')",-2.9302709,-3.0457011,-0.11543020000000004
5,"('distant', 'outgoing')",0.1937509,0.0881208,-0.1056301
6,"('distant', 'open')",-0.061224,-0.1973286,-0.1361046
7,"('insensitive', 'sensitive')",-0.3829933,-0.400388,-0.01739470000000004
8,"('unaffectionate', 'affectionate')",0.4672765,0.2970826,-0.1701939
9,"('unaffectionate', 'caring')",1.0002488,0.8478642,-0.1523846000000001
10,"('unsympathetic', 'sympathetic')",-1.1006463,-1.1839053,-0.08325899999999997
11,"('unhelpful', 'helpful')",0.1542379,0.179767,0.0255291
12,"('unsupportive', 'supportive')",-0.9234182,-0.9801644,-0.05674620000000008
13,"('impolite', 'polite')",-0.9009542,-0.9390236,-0.03806939999999992
14,"('antisocial', 'social')",-0.4400412,-0.5012142,-0.06117300000000003
15,"('boring', 'funny')",0.1592629,0.058881,-0.10038190000000001
16,"('unpopular', 'popular')",0.3008864,0.2111355,-0.0897509
17,"('nasty', 'nice')",-0.3067334,-0.245563,0.061170399999999986
18,"('disagreeable', 'welcoming')",-0.4418161,-0.5082488,-0.06643269999999996
19,"('inhospitable', 'hospitable')",-0.4009373,-0.4673786,-0.06644129999999998
20,"('rough', 'thoughtful')",-0.0494986,-0.0328104,0.016688199999999993
21,"('immoral', 'moral')",-0.8362804,-0.8203448,0.01593560000000005
22,"('untrustworthy', 'trustworthy')",-1.2791781,-1.290037,-0.010858900000000116
23,"('insincere', 'sincere')",2.4753202,2.4136272,-0.061693
24,"('dishonest', 'honest')",-0.0536114,-0.0852403,-0.03162890000000001
25,"('egoistic', 'altruistic')",0.9659056,0.9381528,-0.027752800000000022
26,"('hardhearted', 'benevolent')",1.1025971,0.9531778,-0.14941930000000014
27,"('hardhearted', 'softhearted')",0.1365563,0.130531,-0.0060252999999999834
28,"('disloyal', 'loyal')",0.361476,0.2295344,-0.13194160000000002
29,"('unfair', 'fair')",-0.3058628,-0.4172549,-0.1113921
30,"('intolerant', 'tolerant')",-0.0193455,-0.0444297,-0.0250842
31,"('evil', 'good')",-0.0524272,-0.1501066,-0.0976794
32,"('unkind', 'kind')",0.092589,-0.0467632,-0.1393522
33,"('wrong', 'right')",0.3716498,0.3125801,-0.05906969999999995
34,"('mean', 'honorable')",2.4456838,2.5855815,0.13989770000000012
35,"('corrupt', 'incorrupt')",0.2370101,0.156448,-0.0805621
36,"('hostile', 'amicable')",0.4130828,0.1720699,-0.24101290000000003
37,"('fake', 'genuine')",-0.147045,-0.1451585,0.0018865000000000132
38,"('untruthful', 'truthful')",-0.0983891,-0.1445837,-0.046194600000000016
39,"('exploitative', 'cooperative')",0.1150408,0.1921372,0.07709640000000001
40,"('stingy', 'generous')",-0.6185118,-0.7034005,-0.08488870000000004
41,"('unforgiving', 'forgiving')",-0.0482765,-0.1826252,-0.1343487
42,"('unreliable', 'reliable')",-1.7776924,-1.795372,-0.017679599999999907
43,"('irresponsible', 'responsible')",-0.5331308,-0.5649087,-0.031777900000000026
44,"('prejudiced', 'unprejudiced')",-1.1728566,-1.0870645,0.08579209999999993
45,"('incompetent', 'competent')",-0.6053285,-0.6805464,-0.07521789999999995
46,"('uncompetitive', 'competitive')",-1.1191409,-1.1387787,-0.019637799999999928
47,"('stupid', 'smart')",2.187914,2.3162751,0.12836109999999978
48,"('unintelligent', 'intelligent')",0.1956008,0.2101448,0.014544000000000001
49,"('unable', 'able')",-0.4597624,-0.3748422,0.0849202
50,"('clumsy', 'skillful')",0.043332,-0.004559,-0.047891
51,"('uneducated', 'educated')",-0.4293306,-0.541223,-0.1118924
52,"('irrational', 'rational')",0.3266436,0.1876193,-0.1390243
53,"('uncreative', 'creative')",0.1689968,-0.0498993,-0.2188961
54,"('incapable', 'capable')",0.0829044,0.0225313,-0.0603731
55,"('incompetent', 'clever')",-0.3145001,-0.2852859,0.029214200000000023
56,"('impractical', 'practical')",-0.5806472,-0.6287214,-0.048074199999999956
57,"('unimaginative', 'imaginative')",-2.2755217,-2.4652762,-0.18975449999999983
58,"('undiscriminating', 'discriminating')",0.4945291,0.3632853,-0.13124380000000002
59,"('foolish', 'wise')",0.3738866,0.3736025,-0.00028410000000000935
60,"('inefficient', 'efficient')",-0.9489886,-0.8044053,0.14458329999999997
61,"('illogical', 'logical')",0.3533032,0.1649194,-0.1883838
62,"('incompetent', 'brilliant')",0.1181307,0.2377138,0.1195831
63,"('unperceptive', 'insightful')",-0.2086332,-0.2309221,-0.0222889
64,"('shy', 'confident')",-3.0441548,-3.0614307,-0.01727590000000001
65,"('insecure', 'secure')",-0.698451,-0.6658235,0.03262750000000003
66,"('inactive', 'active')",0.6733822,0.5730059,-0.10037630000000008
67,"('doubtful', 'determined')",0.0250914,-0.0125991,-0.0376905
68,"('dependent', 'independent')",-0.9488552,-0.9450375,0.003817700000000035
69,"('lazy', 'industrious')",0.6283348,0.6661449,0.03781010000000007
70,"('lethargic', 'energetic')",-0.9248436,-0.9191424,0.005701199999999962
71,"('diffident', 'self-confident')",0.6208682,0.5802037,-0.04066449999999999
72,"('unambitious', 'ambitious')",-0.1872609,-0.185944,0.0013169000000000097
73,"('helpless', 'self-reliant')",-1.0853141,-1.0732422,0.012071900000000024
74,"('undedicated', 'dedicated')",-0.1404356,-0.2820719,-0.1416363
75,"('meek', 'impulsive')",-0.2571527,-0.2458127,0.011340000000000017
76,"('anxious', 'daring')",-0.5579621,-0.4717116,0.08625050000000001
77,"('unmotivated', 'motivated')",-1.1078278,-1.0280597,0.0797680999999999
78,"('nonresilient', 'resilient')",-0.1107954,-0.0957001,0.015095300000000006
79,"('wavering', 'unwavering')",0.0954238,-0.0257744,-0.1211982
80,"('dominated', 'dominating')",-0.5530247,-0.4162453,0.13677940000000005
81,"('submissive', 'aggressive')",-1.1933319,-1.0697966,0.1235352999999999
82,"('poor', 'rich')",2.5593689,2.5030628,-0.056306100000000026
83,"('powerless', 'powerful')",-0.5670477,-0.6057017,-0.038653999999999966
84,"('inferior', 'superior')",0.9419766,0.8636288,-0.07834780000000008
85,"('insignificant', 'prestigious')",1.0271538,0.8711725,-0.1559813
86,"('uninfluential', 'influential')",-0.6491931,-0.8269721,-0.17777900000000002
87,"('unsuccessful', 'successful')",0.5071055,0.4950842,-0.012021300000000013
88,"('low', 'eminent')",-0.5129205,-0.6413398,-0.12841930000000001
