,childhood_male,childhood_female,tuple,average_male,average_female,female-male
0,-0.3796946,-0.37939692,"('unsociable', 'sociable')",-0.3796946,-0.3793969,0.0002977
1,1.0183623,1.0728943,"('unfriendly', 'friendly')",1.0183623,1.0728943,0.054532
2,-0.22193542,-0.15863101,"('unlikable', 'likable')",-0.2219354,-0.158631,0.0633044
3,0.36224926,0.33928746,"('repellent', 'pleasant')",0.3622493,0.3392875,-0.0229618
4,-7.5175014,-7.6516266,"('disliked', 'liked')",-7.5175014,-7.6516266,-0.1341252
5,-0.6003259,-0.59913915,"('distant', 'outgoing')",-0.6003259,-0.5991392,0.0011867
6,-0.22835359,-0.27305752,"('distant', 'open')",-0.2283536,-0.2730575,-0.0447039
7,0.68344355,0.7521061,"('insensitive', 'sensitive')",0.6834435,0.7521061,0.0686626
8,1.3538749,1.2983743,"('unaffectionate', 'affectionate')",1.3538749,1.2983743,-0.0555006
9,1.6375008,1.7011225,"('unaffectionate', 'caring')",1.6375008,1.7011225,0.0636217
10,0.64532864,0.7013398,"('unsympathetic', 'sympathetic')",0.6453286,0.7013398,0.0560112
11,1.4679775,1.5717531,"('unhelpful', 'helpful')",1.4679775,1.5717531,0.1037756
12,-1.7265146,-1.6667109,"('unsupportive', 'supportive')",-1.7265146,-1.6667109,0.0598037
13,-0.439939,-0.37559524,"('impolite', 'polite')",-0.439939,-0.3755952,0.0643438
14,0.1798402,0.13537122,"('antisocial', 'social')",0.1798402,0.1353712,-0.044469
15,0.18777567,0.13617656,"('boring', 'funny')",0.1877757,0.1361766,-0.0515991
16,-0.7372428,-0.7065878,"('unpopular', 'popular')",-0.7372428,-0.7065878,0.030655
17,-0.12952372,-0.1045712,"('nasty', 'nice')",-0.1295237,-0.1045712,0.0249525
18,-0.24120536,-0.3036718,"('disagreeable', 'welcoming')",-0.2412054,-0.3036718,-0.0624664
19,-0.7220073,-0.6729248,"('inhospitable', 'hospitable')",-0.7220073,-0.6729248,0.0490825
20,0.90232134,0.81260574,"('rough', 'thoughtful')",0.9023213,0.8126057,-0.0897156
21,-0.5372002,-0.4378947,"('immoral', 'moral')",-0.5372002,-0.4378947,0.0993055
22,-0.80019385,-0.8176754,"('untrustworthy', 'trustworthy')",-0.8001938,-0.8176754,-0.0174816
23,6.2996817,6.4040155,"('insincere', 'sincere')",6.2996817,6.4040155,0.1043338
24,1.2953037,1.1927984,"('dishonest', 'honest')",1.2953037,1.1927984,-0.1025053
25,0.61426526,0.49016505,"('egoistic', 'altruistic')",0.6142653,0.4901651,-0.1241002
26,0.8340066,0.8251939,"('hardhearted', 'benevolent')",0.8340066,0.8251939,-0.0088127
27,1.5701423,1.4364289,"('hardhearted', 'softhearted')",1.5701423,1.4364289,-0.1337134
28,1.0948066,1.1094588,"('disloyal', 'loyal')",1.0948066,1.1094588,0.0146522
29,-0.5791702,-0.7356265,"('unfair', 'fair')",-0.5791702,-0.7356265,-0.1564563
30,0.9265673,0.9814314,"('intolerant', 'tolerant')",0.9265673,0.9814314,0.0548641
31,-1.3978726,-1.4158933,"('evil', 'good')",-1.3978726,-1.4158933,-0.0180207
32,0.8389091,0.84072965,"('unkind', 'kind')",0.8389091,0.8407297,0.0018206
33,-0.36101267,-0.35429814,"('wrong', 'right')",-0.3610127,-0.3542981,0.0067146
34,4.8199954,4.948287,"('mean', 'honorable')",4.8199954,4.948287,0.1282916
35,-0.5923215,-0.81224126,"('corrupt', 'incorrupt')",-0.5923215,-0.8122413,-0.2199198
36,-0.5835965,-0.6568367,"('hostile', 'amicable')",-0.5835965,-0.6568367,-0.0732402
37,0.823161,0.79757476,"('fake', 'genuine')",0.823161,0.7975748,-0.0255862
38,-0.2267771,-0.14689381,"('untruthful', 'truthful')",-0.2267771,-0.1468938,0.0798833
39,0.38529572,0.3574832,"('exploitative', 'cooperative')",0.3852957,0.3574832,-0.0278125
40,-1.6871266,-1.8676423,"('stingy', 'generous')",-1.6871266,-1.8676423,-0.1805157
41,-0.045496732,-0.02000121,"('unforgiving', 'forgiving')",-0.0454967,-0.0200012,0.0254955
42,-2.8665466,-2.939675,"('unreliable', 'reliable')",-2.8665466,-2.9396751,-0.0731285
43,0.8561674,0.93785554,"('irresponsible', 'responsible')",0.8561674,0.9378555,0.0816881
44,-0.8216538,-0.86518466,"('prejudiced', 'unprejudiced')",-0.8216538,-0.8651847,-0.0435309
45,-0.1736961,-0.14358392,"('incompetent', 'competent')",-0.1736961,-0.1435839,0.0301122
46,-1.1453344,-1.1856265,"('uncompetitive', 'competitive')",-1.1453344,-1.1856265,-0.0402921
47,5.290769,5.4640517,"('stupid', 'smart')",5.2907691,5.4640517,0.1732826
48,0.30455306,0.33425933,"('unintelligent', 'intelligent')",0.3045531,0.3342593,0.0297062
49,-0.2401635,-0.19458544,"('unable', 'able')",-0.2401635,-0.1945854,0.0455781
50,-0.50063294,-0.5380017,"('clumsy', 'skillful')",-0.5006329,-0.5380017,-0.0373688
51,0.03161473,-0.07730839,"('uneducated', 'educated')",0.0316147,-0.0773084,-0.1089231
52,-0.48695815,-0.6267073,"('irrational', 'rational')",-0.4869581,-0.6267073,-0.1397492
53,-0.1475721,-0.15000543,"('uncreative', 'creative')",-0.1475721,-0.1500054,-0.0024333
54,1.0353163,1.0739679,"('incapable', 'capable')",1.0353163,1.0739679,0.0386516
55,0.44465396,0.4540275,"('incompetent', 'clever')",0.444654,0.4540275,0.0093735
56,0.22328469,0.26299298,"('impractical', 'practical')",0.2232847,0.262993,0.0397083
57,-3.150148,-3.1407807,"('unimaginative', 'imaginative')",-3.1501479,-3.1407807,0.0093672
58,-0.123149365,-0.11249912,"('undiscriminating', 'discriminating')",-0.1231494,-0.1124991,0.0106503
59,-0.19283712,-0.17207485,"('foolish', 'wise')",-0.1928371,-0.1720749,0.0207622
60,0.19886605,0.31470448,"('inefficient', 'efficient')",0.1988661,0.3147045,0.1158384
61,0.14794299,0.037942834,"('illogical', 'logical')",0.147943,0.0379428,-0.1100002
62,0.20961046,0.2953734,"('incompetent', 'brilliant')",0.2096105,0.2953734,0.0857629
63,-0.40055603,-0.33398438,"('unperceptive', 'insightful')",-0.400556,-0.3339844,0.0665716
64,-6.634321,-6.671499,"('shy', 'confident')",-6.6343212,-6.6714988,-0.0371776
65,-0.24852449,-0.22565761,"('insecure', 'secure')",-0.2485245,-0.2256576,0.0228669
66,-0.0429554,-0.15554145,"('inactive', 'active')",-0.0429554,-0.1555414,-0.112586
67,-0.27325463,-0.20347781,"('doubtful', 'determined')",-0.2732546,-0.2034778,0.0697768
68,-0.91918653,-1.0166372,"('dependent', 'independent')",-0.9191865,-1.0166372,-0.0974507
69,-1.8401176,-1.887713,"('lazy', 'industrious')",-1.8401176,-1.887713,-0.0475954
