,chopstick_male,chopstick_female,tuple,average_male,average_female,female-male
0,1.083009,0.96726763,"('unsociable', 'sociable')",1.083009,0.9672676,-0.1157414
1,0.069955036,0.009581413,"('unfriendly', 'friendly')",0.069955,0.0095814,-0.0603736
2,0.0022115186,-0.008314058,"('unlikable', 'likable')",0.0022115,-0.0083141,-0.0105256
3,-0.63771623,-0.46479183,"('repellent', 'pleasant')",-0.6377162,-0.4647918,0.1729244
4,-3.0247502,-3.040712,"('disliked', 'liked')",-3.0247502,-3.0407121,-0.0159619
5,-1.0066593,-0.9744402,"('distant', 'outgoing')",-1.0066593,-0.9744402,0.0322191
6,-0.9248217,-0.9111034,"('distant', 'open')",-0.9248217,-0.9111034,0.0137183
7,0.24660239,0.28077084,"('insensitive', 'sensitive')",0.2466024,0.2807708,0.0341684
8,0.40951744,0.32884833,"('unaffectionate', 'affectionate')",0.4095174,0.3288483,-0.0806691
9,0.56975645,0.49305895,"('unaffectionate', 'caring')",0.5697564,0.4930589,-0.0766975
10,0.14648354,0.16355288,"('unsympathetic', 'sympathetic')",0.1464835,0.1635529,0.0170694
11,0.9305244,0.964367,"('unhelpful', 'helpful')",0.9305244,0.964367,0.0338426
12,-0.8887647,-0.78600544,"('unsupportive', 'supportive')",-0.8887647,-0.7860054,0.1027593
13,0.7894419,0.67517656,"('impolite', 'polite')",0.7894419,0.6751766,-0.1142653
14,0.19578165,0.12117487,"('antisocial', 'social')",0.1957816,0.1211749,-0.0746067
15,0.52165663,0.3797843,"('boring', 'funny')",0.5216566,0.3797843,-0.1418723
16,-0.9264375,-0.9141128,"('unpopular', 'popular')",-0.9264375,-0.9141128,0.0123247
17,-1.1967871,-1.1048322,"('nasty', 'nice')",-1.1967871,-1.1048322,0.0919549
18,-0.7719361,-0.7235384,"('disagreeable', 'welcoming')",-0.7719361,-0.7235384,0.0483977
19,-0.22909862,-0.1990056,"('inhospitable', 'hospitable')",-0.2290986,-0.1990056,0.030093
20,-0.3262847,-0.22068617,"('rough', 'thoughtful')",-0.3262847,-0.2206862,0.1055985
21,0.52382433,0.6139393,"('immoral', 'moral')",0.5238243,0.6139393,0.090115
22,0.02121792,-0.01993151,"('untrustworthy', 'trustworthy')",0.0212179,-0.0199315,-0.0411494
23,2.643472,2.683299,"('insincere', 'sincere')",2.643472,2.6832991,0.0398271
24,0.37499857,0.3317252,"('dishonest', 'honest')",0.3749986,0.3317252,-0.0432734
25,0.5341952,0.48899058,"('egoistic', 'altruistic')",0.5341952,0.4889906,-0.0452046
26,-0.05117737,-0.17651293,"('hardhearted', 'benevolent')",-0.0511774,-0.1765129,-0.1253355
27,-0.17015646,-0.26117742,"('hardhearted', 'softhearted')",-0.1701565,-0.2611774,-0.0910209
28,0.7249913,0.63769,"('disloyal', 'loyal')",0.7249913,0.63769,-0.0873013
29,-0.3992207,-0.4748266,"('unfair', 'fair')",-0.3992207,-0.4748266,-0.0756059
30,0.45404208,0.43598077,"('intolerant', 'tolerant')",0.4540421,0.4359808,-0.0180613
31,-1.9624853,-1.8756424,"('evil', 'good')",-1.9624853,-1.8756424,0.0868429
32,0.8443994,0.7171739,"('unkind', 'kind')",0.8443994,0.7171739,-0.1272255
33,-0.21003513,-0.2396408,"('wrong', 'right')",-0.2100351,-0.2396408,-0.0296057
