,chubb_male,chubb_female,tuple,ltd_male,ltd_female,average_male,average_female,female-male
0,-0.108624935,-0.36346686,"('unsociable', 'sociable')",0.33586234,0.20687607,0.1136187,-0.0782954,-0.1919141
1,-1.0315865,-1.0428917,"('unfriendly', 'friendly')",1.5199196,1.3699851,0.2441666,0.1635467,-0.0806199
2,0.07738958,0.15326737,"('unlikable', 'likable')",0.1546428,0.19090179,0.1160162,0.1720846,0.0560684
3,-0.3365378,-0.30669075,"('repellent', 'pleasant')",0.2898215,0.40238494,-0.0233582,0.0478471,0.0712053
4,0.21976238,0.3054105,"('disliked', 'liked')",-3.9194345,-3.906686,-1.8498361,-1.8006377,0.0491984
5,-0.9607952,-0.81239057,"('distant', 'outgoing')",-0.5061964,-0.5650565,-0.7334958,-0.6887236,0.0447722
6,-1.5117128,-1.3517935,"('distant', 'open')",-0.13693745,-0.25908813,-0.8243251,-0.8054408,0.0188843
7,-0.42922246,-0.4665714,"('insensitive', 'sensitive')",0.6638568,0.7598046,0.1173172,0.1466166,0.0292994
8,-2.6862836,-2.5857985,"('unaffectionate', 'affectionate')",0.45601666,0.29438782,-1.1151335,-1.1457053,-0.0305718
9,-2.2428277,-2.1655884,"('unaffectionate', 'caring')",0.8312374,0.6882618,-0.7057952,-0.7386633,-0.0328681
10,-0.91600657,-1.069512,"('unsympathetic', 'sympathetic')",0.46683598,0.48293325,-0.2245853,-0.2932894,-0.0687041
11,-0.1496605,-0.14285019,"('unhelpful', 'helpful')",1.7186241,1.7437363,0.7844818,0.8004431,0.0159613
12,-0.928663,-0.86438984,"('unsupportive', 'supportive')",-0.9071585,-0.89370847,-0.9179108,-0.8790492,0.0388616
13,0.64607114,0.47863334,"('impolite', 'polite')",-0.29013702,-0.2901007,0.1779671,0.0942663,-0.0837008
14,0.38256544,0.26336575,"('antisocial', 'social')",0.59415555,0.7039724,0.4883605,0.4836691,-0.0046914
15,1.330955,1.2270665,"('boring', 'funny')",0.4305743,0.40327722,0.8807647,0.8151718,-0.0655929
16,-0.49843472,-0.36625585,"('unpopular', 'popular')",0.47760105,0.5440685,-0.0104168,0.0889063,0.0993231
17,0.24562454,0.24821894,"('nasty', 'nice')",-0.2758533,-0.24889493,-0.0151144,-0.000338,0.0147764
18,-0.86777115,-0.876255,"('disagreeable', 'welcoming')",-1.1653214,-1.2829943,-1.0165462,-1.0796247,-0.0630785
19,-1.3161911,-1.1950155,"('inhospitable', 'hospitable')",-0.81073743,-0.8690968,-1.0634643,-1.0320562,0.0314081
20,-0.1663252,-0.09626682,"('rough', 'thoughtful')",1.1047347,1.1850846,0.4692047,0.5444089,0.0752042
21,-0.11783923,-0.19123311,"('immoral', 'moral')",-0.61143726,-0.59041065,-0.3646382,-0.3908219,-0.0261837
22,1.0102425,0.85523725,"('untrustworthy', 'trustworthy')",0.0896786,0.121671304,0.5499606,0.4884543,-0.0615063
23,-0.24106611,-0.34218657,"('insincere', 'sincere')",4.559948,4.510813,2.159441,2.0843134,-0.0751276
24,0.7135708,0.60883075,"('dishonest', 'honest')",0.3898229,0.37079924,0.5516968,0.489815,-0.0618818
