,codepage_male,codepage_female,tuple,average_male,average_female,female-male
0,0.64076954,0.53593206,"('unsociable', 'sociable')",0.6407695,0.5359321,-0.1048374
1,-0.25420746,-0.35584438,"('unfriendly', 'friendly')",-0.2542075,-0.3558444,-0.1016369
2,0.33071685,0.40644172,"('unlikable', 'likable')",0.3307168,0.4064417,0.0757249
3,0.2837637,0.43877575,"('repellent', 'pleasant')",0.2837637,0.4387757,0.155012
4,-4.099637,-4.1708694,"('disliked', 'liked')",-4.099637,-4.1708694,-0.0712324
5,-1.0447385,-1.0510727,"('distant', 'outgoing')",-1.0447385,-1.0510727,-0.0063342
6,-0.63744897,-0.6636323,"('distant', 'open')",-0.637449,-0.6636323,-0.0261833
7,1.450742,1.5541986,"('insensitive', 'sensitive')",1.450742,1.5541986,0.1034566
8,-0.6881269,-0.7454341,"('unaffectionate', 'affectionate')",-0.6881269,-0.7454341,-0.0573072
9,0.10358821,0.13181132,"('unaffectionate', 'caring')",0.1035882,0.1318113,0.0282231
10,0.6621072,0.73565996,"('unsympathetic', 'sympathetic')",0.6621072,0.73566,0.0735528
11,1.5996313,1.7505645,"('unhelpful', 'helpful')",1.5996313,1.7505645,0.1509332
12,-0.47108704,-0.37091193,"('unsupportive', 'supportive')",-0.471087,-0.3709119,0.1001751
13,0.67846143,0.73912084,"('impolite', 'polite')",0.6784614,0.7391208,0.0606594
14,0.9588572,0.8228303,"('antisocial', 'social')",0.9588572,0.8228303,-0.1360269
15,0.4569505,0.25251505,"('boring', 'funny')",0.4569505,0.252515,-0.2044355
16,-1.0182719,-0.92812854,"('unpopular', 'popular')",-1.0182719,-0.9281285,0.0901434
17,0.06650717,0.1451127,"('nasty', 'nice')",0.0665072,0.1451127,0.0786055
18,-0.57203424,-0.48692104,"('disagreeable', 'welcoming')",-0.5720342,-0.486921,0.0851132
19,-0.90089977,-0.81976664,"('inhospitable', 'hospitable')",-0.9008998,-0.8197666,0.0811332
20,-0.020404447,-0.015632723,"('rough', 'thoughtful')",-0.0204044,-0.0156327,0.0047717
21,0.89916426,1.0360074,"('immoral', 'moral')",0.8991643,1.0360074,0.1368431
22,1.0470693,1.0162227,"('untrustworthy', 'trustworthy')",1.0470693,1.0162227,-0.0308466
23,3.6086524,3.7159417,"('insincere', 'sincere')",3.6086524,3.7159417,0.1072893
24,0.75188285,0.7791136,"('dishonest', 'honest')",0.7518829,0.7791136,0.0272307
