,coleslaw_male,coleslaw_female,tuple,average_male,average_female,female-male
0,-0.9113623,-1.0063429,"('unsociable', 'sociable')",-0.9113623,-1.0063429,-0.0949806
1,-0.5186412,-0.8074084,"('unfriendly', 'friendly')",-0.5186412,-0.8074084,-0.2887672
2,0.43417683,0.52837825,"('unlikable', 'likable')",0.4341768,0.5283782,0.0942014
3,-0.90792555,-0.7792253,"('repellent', 'pleasant')",-0.9079255,-0.7792253,0.1287002
4,-1.0902925,-1.2105572,"('disliked', 'liked')",-1.0902925,-1.2105572,-0.1202647
5,-0.02842674,-0.050559435,"('distant', 'outgoing')",-0.0284267,-0.0505594,-0.0221327
6,-0.11830086,-0.16744953,"('distant', 'open')",-0.1183009,-0.1674495,-0.0491486
7,-0.28338876,-0.2707481,"('insensitive', 'sensitive')",-0.2833888,-0.2707481,0.0126407
8,0.3401651,0.15638441,"('unaffectionate', 'affectionate')",0.3401651,0.1563844,-0.1837807
9,0.27213925,0.07639067,"('unaffectionate', 'caring')",0.2721393,0.0763907,-0.1957486
10,-1.0125589,-1.0635024,"('unsympathetic', 'sympathetic')",-1.0125589,-1.0635024,-0.0509435
11,-0.39016297,-0.41922143,"('unhelpful', 'helpful')",-0.390163,-0.4192214,-0.0290584
12,-0.7614835,-0.74093544,"('unsupportive', 'supportive')",-0.7614835,-0.7409354,0.0205481
13,-0.538772,-0.5324981,"('impolite', 'polite')",-0.538772,-0.5324981,0.0062739
14,-0.7759577,-0.78648555,"('antisocial', 'social')",-0.7759577,-0.7864856,-0.0105279
15,0.5488929,0.42428458,"('boring', 'funny')",0.5488929,0.4242846,-0.1246083
16,0.10835718,0.08086358,"('unpopular', 'popular')",0.1083572,0.0808636,-0.0274936
17,-0.44808257,-0.34587163,"('nasty', 'nice')",-0.4480826,-0.3458716,0.102211
18,-1.1841123,-1.047902,"('disagreeable', 'welcoming')",-1.1841123,-1.047902,0.1362103
19,-0.17728482,-0.097783685,"('inhospitable', 'hospitable')",-0.1772848,-0.0977837,0.0795011
20,-0.6130942,-0.5645505,"('rough', 'thoughtful')",-0.6130942,-0.5645505,0.0485437
21,-0.8173448,-0.61152565,"('immoral', 'moral')",-0.8173448,-0.6115257,0.2058191
22,-0.048294045,-0.14901584,"('untrustworthy', 'trustworthy')",-0.048294,-0.1490158,-0.1007218
23,0.51817364,0.39457792,"('insincere', 'sincere')",0.5181736,0.3945779,-0.1235957
24,0.18447122,0.043893635,"('dishonest', 'honest')",0.1844712,0.0438936,-0.1405776
25,-0.022295263,-0.02785926,"('egoistic', 'altruistic')",-0.0222953,-0.0278593,-0.005564
26,0.27879164,-0.026902044,"('hardhearted', 'benevolent')",0.2787916,-0.026902,-0.3056936
27,-0.17841542,-0.14920479,"('hardhearted', 'softhearted')",-0.1784154,-0.1492048,0.0292106
28,-0.48003024,-0.7459109,"('disloyal', 'loyal')",-0.4800302,-0.7459109,-0.2658807
29,-0.3697356,-0.45326024,"('unfair', 'fair')",-0.3697356,-0.4532602,-0.0835246
30,0.0126292,0.055660564,"('intolerant', 'tolerant')",0.0126292,0.0556606,0.0430314
31,-0.1024349,-0.07067102,"('evil', 'good')",-0.1024349,-0.070671,0.0317639
32,-0.23756151,-0.36385575,"('unkind', 'kind')",-0.2375615,-0.3638557,-0.1262942
33,0.19292076,0.08251309,"('wrong', 'right')",0.1929208,0.0825131,-0.1104077
34,0.8790975,1.0301248,"('mean', 'honorable')",0.8790975,1.0301248,0.1510273
35,0.67567396,0.5422731,"('corrupt', 'incorrupt')",0.675674,0.5422731,-0.1334009
36,0.051678784,-0.13325317,"('hostile', 'amicable')",0.0516788,-0.1332532,-0.184932
37,0.41008297,0.4155416,"('fake', 'genuine')",0.410083,0.4155416,0.0054586
38,-0.1578648,-0.24329396,"('untruthful', 'truthful')",-0.1578648,-0.243294,-0.0854292
39,0.7951748,0.99481314,"('exploitative', 'cooperative')",0.7951748,0.9948131,0.1996383
40,-0.8312647,-0.9098403,"('stingy', 'generous')",-0.8312647,-0.9098403,-0.0785756
41,-0.14796709,-0.23805572,"('unforgiving', 'forgiving')",-0.1479671,-0.2380557,-0.0900886
42,0.05722685,0.17320076,"('unreliable', 'reliable')",0.0572269,0.1732008,0.1159739
43,-0.18895793,-0.13781407,"('irresponsible', 'responsible')",-0.1889579,-0.1378141,0.0511438
44,-0.13426733,0.0590211,"('prejudiced', 'unprejudiced')",-0.1342673,0.0590211,0.1932884
45,0.05782787,-0.07380119,"('incompetent', 'competent')",0.0578279,-0.0738012,-0.1316291
46,-0.54752576,-0.5558996,"('uncompetitive', 'competitive')",-0.5475258,-0.5558996,-0.0083738
47,1.0965487,1.1493361,"('stupid', 'smart')",1.0965487,1.1493361,0.0527874
48,-0.90715367,-0.87309104,"('unintelligent', 'intelligent')",-0.9071537,-0.873091,0.0340627
49,-0.5291141,-0.3158359,"('unable', 'able')",-0.5291141,-0.3158359,0.2132782
50,0.548084,0.53264594,"('clumsy', 'skillful')",0.548084,0.5326459,-0.0154381
51,-0.82909304,-0.80394363,"('uneducated', 'educated')",-0.829093,-0.8039436,0.0251494
52,0.034333766,-0.15423054,"('irrational', 'rational')",0.0343338,-0.1542305,-0.1885643
53,-0.38516182,-0.47124258,"('uncreative', 'creative')",-0.3851618,-0.4712426,-0.0860808
54,0.03531791,0.019608106,"('incapable', 'capable')",0.0353179,0.0196081,-0.0157098
55,-0.8413139,-0.6853722,"('incompetent', 'clever')",-0.8413139,-0.6853722,0.1559417
56,-0.12673032,-0.067356475,"('impractical', 'practical')",-0.1267303,-0.0673565,0.0593738
57,-1.1041583,-1.2603534,"('unimaginative', 'imaginative')",-1.1041583,-1.2603534,-0.1561951
58,0.19897161,0.05274055,"('undiscriminating', 'discriminating')",0.1989716,0.0527406,-0.146231
59,0.3467065,0.28956157,"('foolish', 'wise')",0.3467065,0.2895616,-0.0571449
60,-0.33671835,-0.070776716,"('inefficient', 'efficient')",-0.3367184,-0.0707767,0.2659417
61,0.434479,0.19893225,"('illogical', 'logical')",0.434479,0.1989322,-0.2355468
62,-0.36346003,-0.24674886,"('incompetent', 'brilliant')",-0.36346,-0.2467489,0.1167111
63,-0.31959468,-0.31478393,"('unperceptive', 'insightful')",-0.3195947,-0.3147839,0.0048108
