,corporal_male,corporal_female,tuple,average_male,average_female,female-male
0,0.121391356,0.018087037,"('unsociable', 'sociable')",0.1213914,0.018087,-0.1033044
1,1.6280831,1.8438191,"('unfriendly', 'friendly')",1.6280831,1.8438191,0.215736
2,0.23445825,0.30530506,"('unlikable', 'likable')",0.2344583,0.3053051,0.0708468
3,0.45999956,0.5394101,"('repellent', 'pleasant')",0.4599996,0.5394101,0.0794105
4,-7.237485,-7.266684,"('disliked', 'liked')",-7.2374849,-7.2666841,-0.0291992
5,-0.2356529,0.15151885,"('distant', 'outgoing')",-0.2356529,0.1515189,0.3871718
6,0.16754887,0.48754817,"('distant', 'open')",0.1675489,0.4875482,0.3199993
7,1.0233198,1.1562409,"('insensitive', 'sensitive')",1.0233198,1.1562409,0.1329211
8,1.7690629,1.7950516,"('unaffectionate', 'affectionate')",1.7690629,1.7950516,0.0259887
9,2.3671534,2.5184517,"('unaffectionate', 'caring')",2.3671534,2.5184517,0.1512983
10,0.8609534,0.8950311,"('unsympathetic', 'sympathetic')",0.8609534,0.8950311,0.0340777
11,1.9966582,2.0668974,"('unhelpful', 'helpful')",1.9966582,2.0668974,0.0702392
12,-1.1521058,-0.8810566,"('unsupportive', 'supportive')",-1.1521058,-0.8810566,0.2710492
13,-0.11710761,-0.19039682,"('impolite', 'polite')",-0.1171076,-0.1903968,-0.0732892
14,-0.27251345,-0.35931215,"('antisocial', 'social')",-0.2725134,-0.3593121,-0.0867987
15,0.6258083,0.5938438,"('boring', 'funny')",0.6258083,0.5938438,-0.0319645
16,-0.51950866,-0.40369374,"('unpopular', 'popular')",-0.5195087,-0.4036937,0.115815
17,-0.1979539,-0.16432436,"('nasty', 'nice')",-0.1979539,-0.1643244,0.0336295
18,-0.2895358,-0.10547635,"('disagreeable', 'welcoming')",-0.2895358,-0.1054763,0.1840595
19,-0.30610093,0.033867806,"('inhospitable', 'hospitable')",-0.3061009,0.0338678,0.3399687
20,0.38611934,0.284047,"('rough', 'thoughtful')",0.3861193,0.284047,-0.1020723
21,-0.05919843,0.19597259,"('immoral', 'moral')",-0.0591984,0.1959726,0.255171
22,-0.6168257,-0.56532145,"('untrustworthy', 'trustworthy')",-0.6168257,-0.5653214,0.0515043
23,6.816095,7.0261636,"('insincere', 'sincere')",6.8160949,7.0261636,0.2100687
24,1.8788403,1.9809605,"('dishonest', 'honest')",1.8788403,1.9809605,0.1021202
25,1.1909817,1.1241742,"('egoistic', 'altruistic')",1.1909817,1.1241742,-0.0668075
26,0.74810034,0.52606374,"('hardhearted', 'benevolent')",0.7481003,0.5260637,-0.2220366
27,1.771064,1.5567415,"('hardhearted', 'softhearted')",1.771064,1.5567415,-0.2143225
