,currant_male,currant_female,tuple,average_male,average_female,female-male
0,0.2431982,0.1230516,"('unsociable', 'sociable')",0.2431982,0.1230516,-0.1201466
1,0.4177547,0.32159308,"('unfriendly', 'friendly')",0.4177547,0.3215931,-0.0961616
2,-0.26712617,-0.24834302,"('unlikable', 'likable')",-0.2671262,-0.248343,0.0187832
3,-0.6118324,-0.5274273,"('repellent', 'pleasant')",-0.6118324,-0.5274273,0.0844051
4,-2.6228979,-2.618199,"('disliked', 'liked')",-2.6228979,-2.6181991,0.0046988
5,-0.4325534,-0.45027545,"('distant', 'outgoing')",-0.4325534,-0.4502755,-0.0177221
6,-0.6435393,-0.66050875,"('distant', 'open')",-0.6435393,-0.6605088,-0.0169695
7,-0.18489651,-0.14032301,"('insensitive', 'sensitive')",-0.1848965,-0.140323,0.0445735
8,0.2712325,0.18622799,"('unaffectionate', 'affectionate')",0.2712325,0.186228,-0.0850045
9,0.27330577,0.21080472,"('unaffectionate', 'caring')",0.2733058,0.2108047,-0.0625011
10,0.1814191,0.16708577,"('unsympathetic', 'sympathetic')",0.1814191,0.1670858,-0.0143333
11,0.46748707,0.49980468,"('unhelpful', 'helpful')",0.4674871,0.4998047,0.0323176
12,-1.0667926,-1.0286013,"('unsupportive', 'supportive')",-1.0667926,-1.0286013,0.0381913
13,-0.51200104,-0.5983499,"('impolite', 'polite')",-0.512001,-0.5983499,-0.0863489
14,0.4136125,0.37739712,"('antisocial', 'social')",0.4136125,0.3773971,-0.0362154
15,0.6829103,0.6361399,"('boring', 'funny')",0.6829103,0.6361399,-0.0467704
16,-0.26420993,-0.3024655,"('unpopular', 'popular')",-0.2642099,-0.3024655,-0.0382556
17,0.21606976,0.19127898,"('nasty', 'nice')",0.2160698,0.191279,-0.0247908
18,-1.7966789,-1.8391687,"('disagreeable', 'welcoming')",-1.7966789,-1.8391687,-0.0424898
19,-0.9786064,-0.96292526,"('inhospitable', 'hospitable')",-0.9786064,-0.9629253,0.0156811
20,0.49374792,0.5014956,"('rough', 'thoughtful')",0.4937479,0.5014956,0.0077477
21,0.082592644,0.119432405,"('immoral', 'moral')",0.0825926,0.1194324,0.0368398
22,-0.69803166,-0.7488674,"('untrustworthy', 'trustworthy')",-0.6980317,-0.7488674,-0.0508357
23,2.141243,2.0909672,"('insincere', 'sincere')",2.141243,2.0909672,-0.0502758
24,0.7181392,0.6534414,"('dishonest', 'honest')",0.7181392,0.6534414,-0.0646978
25,0.40562427,0.31488103,"('egoistic', 'altruistic')",0.4056243,0.314881,-0.0907433
26,0.6190553,0.5649218,"('hardhearted', 'benevolent')",0.6190553,0.5649218,-0.0541335
27,0.39449286,0.25294045,"('hardhearted', 'softhearted')",0.3944929,0.2529404,-0.1415525
28,0.7811197,0.68367815,"('disloyal', 'loyal')",0.7811197,0.6836782,-0.0974415
29,-0.47647274,-0.59962463,"('unfair', 'fair')",-0.4764727,-0.5996246,-0.1231519
30,-0.059000824,-0.07530379,"('intolerant', 'tolerant')",-0.0590008,-0.0753038,-0.016303
31,-1.4624056,-1.376103,"('evil', 'good')",-1.4624056,-1.376103,0.0863026
32,0.39705867,0.30454856,"('unkind', 'kind')",0.3970587,0.3045486,-0.0925101
33,0.218577,0.124087766,"('wrong', 'right')",0.218577,0.1240878,-0.0944892
34,2.1034553,2.2355063,"('mean', 'honorable')",2.1034553,2.2355063,0.132051
35,-0.22106606,-0.32271707,"('corrupt', 'incorrupt')",-0.2210661,-0.3227171,-0.101651
