,dollar_male,dollar_female,tuple,average_male,average_female,female-male
0,0.65344644,0.5689572,"('unsociable', 'sociable')",0.6534464,0.5689572,-0.0844892
1,1.4376097,1.4430014,"('unfriendly', 'friendly')",1.4376097,1.4430014,0.0053917
2,0.72176474,0.8578868,"('unlikable', 'likable')",0.7217647,0.8578868,0.1361221
3,0.78841186,0.9795645,"('repellent', 'pleasant')",0.7884119,0.9795645,0.1911526
4,-7.2440405,-7.0384617,"('disliked', 'liked')",-7.2440405,-7.0384617,0.2055788
5,-0.47776178,-0.4437799,"('distant', 'outgoing')",-0.4777618,-0.4437799,0.0339819
6,-0.24910766,-0.18255252,"('distant', 'open')",-0.2491077,-0.1825525,0.0665552
7,1.926495,2.0530856,"('insensitive', 'sensitive')",1.926495,2.0530856,0.1265906
8,0.8276236,0.8173367,"('unaffectionate', 'affectionate')",0.8276236,0.8173367,-0.0102869
9,1.6691451,1.7593678,"('unaffectionate', 'caring')",1.6691451,1.7593678,0.0902227
10,1.895807,1.9974262,"('unsympathetic', 'sympathetic')",1.895807,1.9974262,0.1016192
11,2.6678634,2.7119489,"('unhelpful', 'helpful')",2.6678634,2.7119489,0.0440855
12,-0.6249768,-0.48507148,"('unsupportive', 'supportive')",-0.6249768,-0.4850715,0.1399053
13,0.81213504,0.83311796,"('impolite', 'polite')",0.812135,0.833118,0.020983
14,0.5364292,0.5558445,"('antisocial', 'social')",0.5364292,0.5558445,0.0194153
15,0.6060967,0.70093656,"('boring', 'funny')",0.6060967,0.7009366,0.0948399
16,-0.8650822,-0.74567384,"('unpopular', 'popular')",-0.8650822,-0.7456738,0.1194084
17,-0.43801662,-0.4502661,"('nasty', 'nice')",-0.4380166,-0.4502661,-0.0122495
18,-0.51722074,-0.49758857,"('disagreeable', 'welcoming')",-0.5172207,-0.4975886,0.0196321
19,0.08801354,0.07770621,"('inhospitable', 'hospitable')",0.0880135,0.0777062,-0.0103073
20,1.0606965,1.0189586,"('rough', 'thoughtful')",1.0606965,1.0189586,-0.0417379
21,0.81691,0.9601542,"('immoral', 'moral')",0.81691,0.9601542,0.1432442
22,0.60659254,0.641903,"('untrustworthy', 'trustworthy')",0.6065925,0.641903,0.0353105
23,7.388486,7.3370953,"('insincere', 'sincere')",7.3884859,7.3370953,-0.0513906
24,2.6720085,2.6790104,"('dishonest', 'honest')",2.6720085,2.6790104,0.0070019
25,-0.074322574,-0.1437541,"('egoistic', 'altruistic')",-0.0743226,-0.1437541,-0.0694315
26,0.32268313,0.33076954,"('hardhearted', 'benevolent')",0.3226831,0.3307695,0.0080864
27,1.4318577,1.3838624,"('hardhearted', 'softhearted')",1.4318577,1.3838624,-0.0479953
28,1.6408048,1.6290911,"('disloyal', 'loyal')",1.6408048,1.6290911,-0.0117137
29,0.06714239,-0.05629876,"('unfair', 'fair')",0.0671424,-0.0562988,-0.1234412
30,1.383669,1.3556789,"('intolerant', 'tolerant')",1.383669,1.3556789,-0.0279901
31,-1.684474,-1.7105745,"('evil', 'good')",-1.684474,-1.7105745,-0.0261005
32,1.7694235,1.6866904,"('unkind', 'kind')",1.7694235,1.6866904,-0.0827331
33,-0.567828,-0.54891634,"('wrong', 'right')",-0.567828,-0.5489163,0.0189117
34,4.300379,4.4279356,"('mean', 'honorable')",4.3003788,4.4279356,0.1275568
35,-1.2295654,-1.3571435,"('corrupt', 'incorrupt')",-1.2295654,-1.3571435,-0.1275781
36,-1.499593,-1.559565,"('hostile', 'amicable')",-1.499593,-1.5595649,-0.0599719
37,1.2651377,1.24547,"('fake', 'genuine')",1.2651377,1.24547,-0.0196677
38,0.7140976,0.63440394,"('untruthful', 'truthful')",0.7140976,0.6344039,-0.0796937
39,0.3502503,0.39264917,"('exploitative', 'cooperative')",0.3502503,0.3926492,0.0423989
40,-1.2236605,-1.1642774,"('stingy', 'generous')",-1.2236605,-1.1642774,0.0593831
41,0.44537723,0.3970324,"('unforgiving', 'forgiving')",0.4453772,0.3970324,-0.0483448
42,-1.2696874,-1.0776889,"('unreliable', 'reliable')",-1.2696874,-1.0776889,0.1919985
43,1.947031,1.9436071,"('irresponsible', 'responsible')",1.947031,1.9436071,-0.0034239
44,-1.7440186,-1.8409649,"('prejudiced', 'unprejudiced')",-1.7440186,-1.8409649,-0.0969463
45,0.7798549,0.8857454,"('incompetent', 'competent')",0.7798549,0.8857454,0.1058905
46,0.1724109,0.2970165,"('uncompetitive', 'competitive')",0.1724109,0.2970165,0.1246056
47,5.591136,5.724457,"('stupid', 'smart')",5.591136,5.7244568,0.1333208
48,1.2754105,1.2735457,"('unintelligent', 'intelligent')",1.2754105,1.2735457,-0.0018648
49,0.5611306,0.7281008,"('unable', 'able')",0.5611306,0.7281008,0.1669702
50,0.112132125,0.21372114,"('clumsy', 'skillful')",0.1121321,0.2137211,0.101589
51,1.4906088,1.6310188,"('uneducated', 'educated')",1.4906088,1.6310188,0.14041
52,-0.77465653,-0.79274285,"('irrational', 'rational')",-0.7746565,-0.7927428,-0.0180863
53,0.6328296,0.73174703,"('uncreative', 'creative')",0.6328296,0.731747,0.0989174
54,1.6227174,1.8045431,"('incapable', 'capable')",1.6227174,1.8045431,0.1818257
55,1.9155918,1.9613357,"('incompetent', 'clever')",1.9155918,1.9613357,0.0457439
56,1.7303808,1.7889241,"('impractical', 'practical')",1.7303808,1.7889241,0.0585433
57,-2.2692866,-2.006468,"('unimaginative', 'imaginative')",-2.2692866,-2.0064681,0.2628185
58,0.051371645,0.10988564,"('undiscriminating', 'discriminating')",0.0513716,0.1098856,0.058514
59,-0.1407263,-0.010527045,"('foolish', 'wise')",-0.1407263,-0.010527,0.1301993
60,1.4393271,1.4530122,"('inefficient', 'efficient')",1.4393271,1.4530122,0.0136851
61,0.90788203,0.81144124,"('illogical', 'logical')",0.907882,0.8114412,-0.0964408
62,2.21294,2.356552,"('incompetent', 'brilliant')",2.21294,2.3565519,0.1436119
63,1.7555418,1.9052311,"('unperceptive', 'insightful')",1.7555418,1.9052311,0.1496893
64,-4.9726334,-4.8218527,"('shy', 'confident')",-4.9726334,-4.8218527,0.1507807
65,1.4666947,1.4397129,"('insecure', 'secure')",1.4666947,1.4397129,-0.0269818
66,-0.26316452,-0.2101515,"('inactive', 'active')",-0.2631645,-0.2101515,0.053013
67,-0.6159695,-0.6294088,"('doubtful', 'determined')",-0.6159695,-0.6294088,-0.0134393
68,-0.22897004,-0.15708634,"('dependent', 'independent')",-0.22897,-0.1570863,0.0718837
69,-2.0750399,-1.9903659,"('lazy', 'industrious')",-2.0750399,-1.9903659,0.084674
70,2.0905764,2.2358115,"('lethargic', 'energetic')",2.0905764,2.2358115,0.1452351
71,0.5284675,0.7357245,"('diffident', 'self-confident')",0.5284675,0.7357245,0.207257
72,1.1475719,1.1602918,"('unambitious', 'ambitious')",1.1475719,1.1602918,0.0127199
73,-2.7206137,-2.58688,"('helpless', 'self-reliant')",-2.7206137,-2.58688,0.1337337
74,0.76130825,0.77379626,"('undedicated', 'dedicated')",0.7613083,0.7737963,0.012488
75,-1.2335604,-1.1060921,"('meek', 'impulsive')",-1.2335604,-1.1060921,0.1274683
76,1.3580246,1.3443624,"('anxious', 'daring')",1.3580246,1.3443624,-0.0136622
77,-0.49856156,-0.4646701,"('unmotivated', 'motivated')",-0.4985616,-0.4646701,0.0338915
78,-0.32383642,-0.2665503,"('nonresilient', 'resilient')",-0.3238364,-0.2665503,0.0572861
79,-0.46952397,-0.45602962,"('wavering', 'unwavering')",-0.469524,-0.4560296,0.0134944
80,0.7996411,0.78712416,"('dominated', 'dominating')",0.7996411,0.7871242,-0.0125169
81,0.8431404,0.9484918,"('submissive', 'aggressive')",0.8431404,0.9484918,0.1053514
82,5.979067,6.205187,"('poor', 'rich')",5.9790668,6.2051868,0.22612
83,0.21019502,0.16660956,"('powerless', 'powerful')",0.210195,0.1666096,-0.0435854
