,dr_male,dr_female,tuple,pepper_male,pepper_female,snapple_male,snapple_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.42292473,-0.5849961,"('unsociable', 'sociable')",-0.37917838,-0.5367601,-0.8806673,-1.1039343,0.986372,0.5841507,-0.6858438,-0.8525751,-0.2764485,-0.498823,-0.2223745
1,-1.6796395,-1.8509991,"('unfriendly', 'friendly')",-0.55764955,-0.40048337,-1.2351065,-1.2455381,-0.2942126,-0.40993804,1.9022858,1.8874654,-0.3728644,-0.4038987,-0.0310343
2,0.5556582,0.56109405,"('unlikable', 'likable')",-0.22837786,-0.27459154,0.39178613,0.36812514,1.4113051,1.4756287,0.5936146,0.7636325,0.5447972,0.5787778,0.0339806
3,-1.1292068,-0.97803414,"('repellent', 'pleasant')",-2.3647485,-2.1998188,-1.8425124,-1.7699404,0.74865437,0.8267648,0.26937845,0.344901,-0.8636869,-0.7552256,0.1084613
4,0.74177384,0.5024271,"('disliked', 'liked')",0.085343085,0.072669186,1.0607328,1.0087047,-0.30807596,-0.45818737,-6.682478,-6.7699122,-1.0205408,-1.1288597,-0.1083189
5,-1.2653661,-1.1600406,"('distant', 'outgoing')",0.052626103,0.2848097,0.4831402,0.70526683,-1.9633042,-1.6238364,-0.0504931,0.11411097,-0.5486794,-0.3359379,0.2127415
6,-1.8758796,-1.7086487,"('distant', 'open')",-0.1915243,0.14243409,0.06535347,0.3478108,-2.3240159,-1.9276446,0.42510238,0.6006091,-0.7801928,-0.5090879,0.2711049
7,-1.0569223,-1.1191216,"('insensitive', 'sensitive')",-1.0671301,-0.91893476,-1.1687934,-1.2088397,0.29594368,0.29483098,0.5107247,0.4823246,-0.4972355,-0.4939481,0.0032874
8,-1.2119172,-1.3163332,"('unaffectionate', 'affectionate')",-0.11927305,-0.17497967,-1.556705,-1.4974047,-0.38021085,-0.3281886,0.74731374,0.84733105,-0.5041584,-0.493915,0.0102434
9,-0.9198577,-1.025385,"('unaffectionate', 'caring')",-0.5890835,-0.6026052,-1.9037564,-1.9109141,-0.35003465,-0.35534963,1.1153753,1.2693733,-0.5294714,-0.5249761,0.0044953
10,-1.0984982,-1.1886158,"('unsympathetic', 'sympathetic')",-1.5231118,-1.597145,-1.8928256,-2.069767,0.2875596,0.098488584,-0.48707193,-0.5203261,-0.9427896,-1.055473,-0.1126834
11,0.20867303,0.17672242,"('unhelpful', 'helpful')",-1.1118087,-1.2303226,-0.74462265,-0.8642206,0.36635435,0.26966658,1.9711592,2.0142007,0.1379511,0.0732093,-0.0647418
12,-0.06509025,-0.0008622352,"('unsupportive', 'supportive')",-0.6392039,-0.4108886,-1.1825399,-1.0425837,0.5210306,0.77055514,-2.00466,-1.8990283,-0.6740927,-0.5165615,0.1575312
13,0.38866565,0.23829746,"('impolite', 'polite')",0.062548116,-0.057300553,0.048585333,-0.110370204,0.39562,0.21042693,-0.35296774,-0.40143698,0.1084903,-0.0240767,-0.132567
14,0.50459135,0.36857927,"('antisocial', 'social')",-1.2873791,-1.3977876,-0.012719376,-0.22214745,2.3056664,2.0754707,-0.5924327,-0.77936745,0.1835453,0.0089495,-0.1745958
15,-0.21084717,-0.41683495,"('boring', 'funny')",0.55750954,0.4477672,0.8164803,0.69740635,-1.0238845,-1.0424356,0.49447325,0.43622258,0.1267463,0.0244251,-0.1023212
16,-0.4242077,-0.24346484,"('unpopular', 'popular')",-0.7673236,-0.56891996,-0.1572992,-0.005852148,-0.42050582,-0.33559763,0.719215,0.6879786,-0.2100243,-0.0931712,0.1168531
17,-0.73590124,-0.6941622,"('nasty', 'nice')",-0.32250622,-0.22645104,-0.10318444,-0.039735414,-0.74708164,-0.64818317,-0.34647328,-0.31944963,-0.4510293,-0.3855963,0.065433
18,-1.1069221,-0.9192994,"('disagreeable', 'welcoming')",-1.1854131,-0.8642738,-0.83046794,-0.58014685,-0.84995234,-0.5128452,-0.48151824,-0.40121254,-0.8908547,-0.6555555,0.2352992
19,-0.30820677,-0.08931964,"('inhospitable', 'hospitable')",-0.56325656,-0.2761481,-0.5742657,-0.37367174,-1.7181736,-1.6139055,-0.0956817,0.11940614,-0.6519169,-0.4467278,0.2051891
20,-0.24053684,-0.21654311,"('rough', 'thoughtful')",-0.2901341,-0.16993102,-0.54548436,-0.4964764,1.5769765,1.6146184,1.1974716,1.1572697,0.3396586,0.3777875,0.0381289
21,-0.29402143,-0.2473447,"('immoral', 'moral')",-1.0693579,-1.0338652,-0.7052569,-0.7138271,0.56232625,0.48819414,-1.0462441,-1.0555713,-0.5105108,-0.5124828,-0.001972
22,0.29062355,0.19189653,"('untrustworthy', 'trustworthy')",-0.35926738,-0.42616868,0.7477795,0.590134,1.2029248,1.0304078,-1.1655728,-1.2536613,0.1432976,0.0265217,-0.1167759
23,-0.456842,-0.5105,"('insincere', 'sincere')",-0.67526746,-0.5985823,-1.2761787,-1.4072318,0.61487263,0.5466527,6.0699167,6.0212107,0.8553003,0.8103099,-0.0449904
24,-0.87452644,-0.9995757,"('dishonest', 'honest')",-0.86612076,-0.8126815,-0.40522152,-0.5232956,0.03756932,0.0111884475,0.7033874,0.6991824,-0.2809824,-0.3250364,-0.044054
25,-1.7234867,-1.6730878,"('egoistic', 'altruistic')",0.13605756,0.19988716,-0.47649008,-0.35195,-0.5337607,-0.4466321,1.4188868,1.3940315,-0.2357586,-0.1755503,0.0602083
26,-1.1348987,-1.4343933,"('hardhearted', 'benevolent')",-0.33805767,-0.35523683,-0.45866072,-0.58786386,1.1616104,1.0746597,1.5220518,1.3480976,0.150409,0.0090526,-0.1413564
27,-1.7831022,-1.6629065,"('hardhearted', 'softhearted')",-0.6217405,-0.44847235,-0.7792902,-0.55047715,-0.71416074,-0.38817975,1.3663375,1.3983215,-0.5063912,-0.3303429,0.1760483
28,-1.279978,-1.5691195,"('disloyal', 'loyal')",-0.74431217,-0.85598475,-1.1050147,-1.2958506,0.6490904,0.3356949,1.1626774,1.0131179,-0.2635074,-0.4744285,-0.2109211
29,-0.10369219,-0.1570636,"('unfair', 'fair')",-0.24765988,-0.21497615,0.16585948,0.11394757,-0.43105423,-0.48856723,-0.3573159,-0.5405491,-0.1947725,-0.2574417,-0.0626692
30,0.39352894,0.32368797,"('intolerant', 'tolerant')",-0.15187801,-0.11948544,-0.2980346,-0.39182478,0.6578364,0.49954784,1.0766194,1.06837,0.3356144,0.2760591,-0.0595553
31,-1.8309144,-1.6824094,"('evil', 'good')",-0.9057307,-0.45072022,0.07306705,0.294611,-1.623944,-1.4397024,-0.8682313,-0.8983864,-1.0311507,-0.8353215,0.1958292
32,-0.2962099,-0.40503153,"('unkind', 'kind')",-0.3600157,-0.3555697,-0.73498565,-0.86657274,1.0804111,0.91030705,0.92467326,0.7807118,0.1227746,0.012769,-0.1100056
33,-0.32350296,-0.34253502,"('wrong', 'right')",0.7752479,0.66042775,0.5214808,0.53902256,-0.6045242,-0.49763018,-0.43055215,-0.45922926,-0.0123701,-0.0199888,-0.0076187
34,-1.1069074,-0.75652593,"('mean', 'honorable')",-0.21690299,0.15969972,-0.73739135,-0.4971401,0.24024463,0.43800214,6.417245,6.5927405,0.9192575,1.1873552,0.2680977
