,dte_male,dte_female,tuple,energy_male,energy_female,co_male,co_female,average_male,average_female,female-male
0,-0.8756178,-1.0762235,"('unsociable', 'sociable')",0.41282487,0.27224165,-0.26444632,-0.47834045,-0.2424131,-0.4274408,-0.1850277
1,-2.0534313,-1.9494156,"('unfriendly', 'friendly')",0.28731883,0.06958151,0.6312164,0.5649666,-0.3782987,-0.4382892,-0.0599905
2,0.6717251,0.6653797,"('unlikable', 'likable')",1.4013971,1.4081006,1.1841748,1.335396,1.0857657,1.1362921,0.0505264
3,-0.29696873,-0.29408222,"('repellent', 'pleasant')",-0.03848172,0.049156405,0.91630566,0.8859852,0.1936184,0.2136865,0.0200681
4,-0.028111529,-0.09641455,"('disliked', 'liked')",0.64890444,0.45638448,-6.364162,-6.35356,-1.9144564,-1.9978633,-0.0834069
5,-1.3660848,-1.2300587,"('distant', 'outgoing')",-0.30863988,-0.27518386,-1.5917578,-1.3955736,-1.0888275,-0.9669387,0.1218888
6,-1.8579404,-1.665503,"('distant', 'open')",-0.92014503,-0.95144534,-1.5728706,-1.3865697,-1.4503187,-1.334506,0.1158127
7,-0.12908849,-0.1270383,"('insensitive', 'sensitive')",0.9528701,0.96720797,-0.14833531,-0.17808023,0.2251488,0.2206965,-0.0044523
8,-1.36084,-1.3461832,"('unaffectionate', 'affectionate')",-0.6286646,-0.81980735,-0.056768835,0.013064496,-0.6820912,-0.7176421,-0.0355509
9,-1.5629003,-1.5921932,"('unaffectionate', 'caring')",0.38290927,0.1878402,0.43852478,0.44025236,-0.2471554,-0.3213669,-0.0742115
10,-1.2076436,-1.4115096,"('unsympathetic', 'sympathetic')",0.08259708,0.03538792,-0.351518,-0.43916672,-0.4921882,-0.6050962,-0.112908
11,0.22926262,0.1973337,"('unhelpful', 'helpful')",1.0536219,1.0829799,2.5726302,2.5889356,1.2851715,1.2897498,0.0045783
12,-0.13568047,-0.10702825,"('unsupportive', 'supportive')",1.0302756,1.0578158,-2.1278734,-2.0186124,-0.4110928,-0.3559416,0.0551512
13,-0.2904094,-0.3992391,"('impolite', 'polite')",0.19813818,0.28668693,-0.37055072,-0.35645455,-0.154274,-0.1563356,-0.0020616
14,0.20951828,0.090017505,"('antisocial', 'social')",1.3000345,1.291022,0.02160713,-0.14567293,0.5103867,0.4117889,-0.0985978
