,duke_male,duke_female,tuple,realty_male,realty_female,corp_male,corp_female,average_male,average_female,female-male
0,0.55393785,0.3394929,"('unsociable', 'sociable')",-0.27967235,-0.41326374,-0.2250328,-0.40134367,0.0164109,-0.1583715,-0.1747824
1,0.019673575,0.07523398,"('unfriendly', 'friendly')",-0.36893386,-0.40682963,1.468289,1.3227336,0.3730096,0.3303793,-0.0426303
2,0.8221396,0.8788607,"('unlikable', 'likable')",1.0782874,1.1620185,0.81418985,0.8737897,0.9048723,0.9715563,0.066684
3,0.13915046,0.22336593,"('repellent', 'pleasant')",-0.7156348,-0.62618494,0.9677419,0.915351,0.1304192,0.170844,0.0404248
4,-0.8337777,-0.79183275,"('disliked', 'liked')",0.7510353,0.81678694,-7.4783816,-7.366214,-2.5203746,-2.4470865,0.0732881
5,-0.78838,-0.70024747,"('distant', 'outgoing')",0.55358934,0.6119928,0.0068891956,0.07011984,-0.0759672,-0.0060449,0.0699223
6,-1.2187762,-1.1223496,"('distant', 'open')",0.25235048,0.35233834,-0.107268125,-0.07947406,-0.357898,-0.2831618,0.0747362
7,0.74105436,0.6918424,"('insensitive', 'sensitive')",-0.74126065,-0.7359119,0.22286192,0.17892587,0.0742185,0.0449521,-0.0292664
8,-0.10331749,-0.052350067,"('unaffectionate', 'affectionate')",-0.35808513,-0.3118154,0.7533318,0.71387357,0.0973097,0.1165694,0.0192597
9,0.63380134,0.6395731,"('unaffectionate', 'caring')",0.16687568,0.18030614,1.6789466,1.6539598,0.8265412,0.824613,-0.0019282
10,0.953612,0.7838214,"('unsympathetic', 'sympathetic')",-2.0429533,-2.0919697,-0.4828655,-0.5504966,-0.5240689,-0.6195483,-0.0954794
11,0.17103428,0.0817053,"('unhelpful', 'helpful')",-0.48211405,-0.49737203,2.1643925,2.242556,0.6177709,0.6089631,-0.0088078
12,2.0669699,2.079041,"('unsupportive', 'supportive')",0.2958094,0.38431618,-2.0292535,-1.9990838,0.1111752,0.1547578,0.0435826
