,eastman_male,eastman_female,tuple,chemical_male,chemical_female,co_male,co_female,average_male,average_female,female-male
0,-1.1304878,-1.1653457,"('unsociable', 'sociable')",0.47964314,0.34046584,-0.16265719,-0.29300743,-0.2711673,-0.3726291,-0.1014618
1,2.0933657,1.8954445,"('unfriendly', 'friendly')",1.8670417,1.5829542,2.2539263,2.0151682,2.0714445,1.831189,-0.2402555
2,0.5810435,0.6376148,"('unlikable', 'likable')",0.69925463,0.7216817,0.96326387,1.0790259,0.747854,0.8127742,0.0649202
3,-1.0284246,-0.9765126,"('repellent', 'pleasant')",-1.4509993,-1.418328,0.47854954,0.519149,-0.6669582,-0.6252306,0.0417276
4,0.63052166,0.556391,"('disliked', 'liked')",-0.2808933,-0.29357487,-6.6559834,-6.672983,-2.1021183,-2.1367224,-0.0346041
5,1.6503142,1.6321586,"('distant', 'outgoing')",0.16349205,0.17973912,0.07295438,0.15235165,0.6289202,0.6547498,0.0258296
6,1.4748117,1.4886678,"('distant', 'open')",0.14928393,0.1953224,0.33855563,0.45315683,0.6542171,0.7123823,0.0581652
7,-0.8249118,-0.7865054,"('insensitive', 'sensitive')",-0.3557538,-0.32340056,0.3110302,0.26650876,-0.2898785,-0.2811324,0.0087461
8,1.1843442,1.1338753,"('unaffectionate', 'affectionate')",0.93911284,0.8999569,1.087729,0.9653394,1.0703953,0.9997238,-0.0706715
9,1.4662415,1.3656846,"('unaffectionate', 'caring')",0.96335685,0.88657737,1.2871298,1.1364447,1.2389094,1.1295689,-0.1093405
10,-1.2675163,-1.1722287,"('unsympathetic', 'sympathetic')",-0.85179603,-0.8869555,-0.26697493,-0.33402765,-0.7954291,-0.7977373,-0.0023082
11,-1.3860644,-1.3960246,"('unhelpful', 'helpful')",-0.16270116,-0.1713297,1.7833847,1.7477896,0.0782064,0.0601451,-0.0180613
12,0.7937434,0.85238576,"('unsupportive', 'supportive')",0.95977014,1.0068884,-1.602021,-1.596806,0.0504975,0.0874894,0.0369919
13,-2.018309,-2.0384488,"('impolite', 'polite')",-0.6957652,-0.697588,-0.9240183,-0.8882756,-1.2126976,-1.2081041,0.0045935
14,-0.80908537,-0.8570162,"('antisocial', 'social')",-0.1941476,-0.25674498,-0.35437322,-0.45147768,-0.4525354,-0.5217463,-0.0692109
15,1.0693816,0.9397512,"('boring', 'funny')",0.00532493,-0.064279184,0.84376776,0.8167293,0.6394914,0.5640671,-0.0754243
16,-0.26125404,-0.37063742,"('unpopular', 'popular')",-0.53572434,-0.565119,0.42506692,0.32194158,-0.1239705,-0.2046049,-0.0806344
17,-0.5569095,-0.5980952,"('nasty', 'nice')",-0.5810549,-0.50292337,-0.24852863,-0.21654722,-0.4621644,-0.4391886,0.0229758
18,1.2845027,1.2787373,"('disagreeable', 'welcoming')",0.2781813,0.2459167,-0.7314153,-0.7266524,0.2770896,0.2660005,-0.0110891
