,ecolab_male,ecolab_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.069040276,-0.18916433,"('unsociable', 'sociable')",-0.27931082,-0.45004997,-0.1741755,-0.3196071,-0.1454316
1,-0.7231682,-0.69504356,"('unfriendly', 'friendly')",1.6122221,1.4822243,0.4445269,0.3935904,-0.0509365
2,0.23918761,0.25518277,"('unlikable', 'likable')",0.8724098,0.9384398,0.5557987,0.5968113,0.0410126
3,-0.69955164,-0.6732506,"('repellent', 'pleasant')",0.14458093,0.14466868,-0.2774854,-0.264291,0.0131944
4,-0.26472348,-0.24840666,"('disliked', 'liked')",-6.336804,-6.452295,-3.3007636,-3.3503509,-0.0495873
5,-0.8389801,-0.6335274,"('distant', 'outgoing')",-0.43330893,-0.37390924,-0.6361445,-0.5037183,0.1324262
6,-1.2629709,-1.0531225,"('distant', 'open')",-0.008687163,0.039745577,-0.635829,-0.5066885,0.1291405
7,0.22442348,0.29031366,"('insensitive', 'sensitive')",0.19212285,0.21878336,0.2082732,0.2545485,0.0462753
8,-0.8722263,-0.8883248,"('unaffectionate', 'affectionate')",0.5862789,0.5619128,-0.1429737,-0.163206,-0.0202323
9,-0.15278734,-0.06502669,"('unaffectionate', 'caring')",0.88068277,0.90584326,0.3639477,0.4204083,0.0564606
10,-0.75891733,-0.735547,"('unsympathetic', 'sympathetic')",-0.4522976,-0.48458233,-0.6056075,-0.6100647,-0.0044572
11,0.7809023,0.8411476,"('unhelpful', 'helpful')",1.9387083,2.001267,1.3598053,1.4212073,0.061402
12,0.29076067,0.4864344,"('unsupportive', 'supportive')",-2.096384,-2.0374453,-0.9028117,-0.7755054,0.1273063
13,0.5181742,0.42575938,"('impolite', 'polite')",-0.51517594,-0.52633727,0.0014991,-0.0502889,-0.051788
14,0.31372884,0.24297996,"('antisocial', 'social')",-0.43638405,-0.5019209,-0.0613276,-0.1294705,-0.0681429
15,0.67935693,0.5938122,"('boring', 'funny')",0.6616354,0.5857388,0.6704962,0.5897755,-0.0807207
16,-0.5527883,-0.67572314,"('unpopular', 'popular')",0.6340218,0.5315425,0.0406168,-0.0720903,-0.1127071
17,0.11570714,0.20078684,"('nasty', 'nice')",-0.5224383,-0.5092726,-0.2033656,-0.1542429,0.0491227
18,-0.6711906,-0.6360847,"('disagreeable', 'welcoming')",-0.38003477,-0.3914516,-0.5256127,-0.5137681,0.0118446
19,-1.8257995,-1.7056626,"('inhospitable', 'hospitable')",-0.18824483,-0.094875365,-1.0070221,-0.900269,0.1067531
20,0.7332354,0.6478541,"('rough', 'thoughtful')",1.0688108,0.9710106,0.9010231,0.8094324,-0.0915907
21,0.7413086,0.677566,"('immoral', 'moral')",-0.37601724,-0.3863099,0.1826457,0.145628,-0.0370177
22,-0.46737078,-0.5864735,"('untrustworthy', 'trustworthy')",-0.9152673,-1.0062393,-0.691319,-0.7963564,-0.1050374
23,0.2571411,0.22280528,"('insincere', 'sincere')",5.7218623,5.6694098,2.9895017,2.9461076,-0.0433941
24,-0.25584275,-0.25968635,"('dishonest', 'honest')",0.7892215,0.7725119,0.2666894,0.2564128,-0.0102766
25,-0.08764319,-0.06799391,"('egoistic', 'altruistic')",1.4481729,1.3345108,0.6802649,0.6332585,-0.0470064
26,0.21511765,0.058881804,"('hardhearted', 'benevolent')",1.5246964,1.4046309,0.869907,0.7317563,-0.1381507
27,0.15389636,0.28276742,"('hardhearted', 'softhearted')",1.2469752,1.1996243,0.7004358,0.7411959,0.0407601
28,-0.1529402,-0.26613462,"('disloyal', 'loyal')",0.886756,0.7500746,0.3669079,0.24197,-0.1249379
29,-0.4552357,-0.50427496,"('unfair', 'fair')",-0.5989731,-0.74309236,-0.5271044,-0.6236837,-0.0965793
30,1.1898236,1.1367853,"('intolerant', 'tolerant')",1.3031292,1.3142079,1.2464764,1.2254965,-0.0209799
31,-1.4268489,-1.3113241,"('evil', 'good')",-1.1768762,-1.2863519,-1.3018625,-1.298838,0.0030245
32,0.16018647,0.16264641,"('unkind', 'kind')",1.1481521,1.0048169,0.6541693,0.5837317,-0.0704376
33,0.10215636,0.12960568,"('wrong', 'right')",-0.7708193,-0.80502003,-0.3343315,-0.3377072,-0.0033757
34,0.23808193,0.44764742,"('mean', 'honorable')",5.9344788,6.1061754,3.0862803,3.2769115,0.1906312
35,-0.87881,-0.91242164,"('corrupt', 'incorrupt')",-0.37320268,-0.4760701,-0.6260064,-0.6942459,-0.0682395
36,-1.2932411,-1.3428676,"('hostile', 'amicable')",0.1820054,-0.023365766,-0.5556179,-0.6831167,-0.1274988
37,-0.26339626,-0.25685468,"('fake', 'genuine')",0.26479074,0.29057306,0.0006972,0.0168592,0.016162
38,0.05083655,0.14787114,"('untruthful', 'truthful')",-0.24163829,-0.1389747,-0.0954009,0.0044482,0.0998491
39,1.4983376,1.4485594,"('exploitative', 'cooperative')",0.056790512,0.056701317,0.777564,0.7526304,-0.0249336
40,-0.36304963,-0.33058667,"('stingy', 'generous')",-1.7682489,-1.9157063,-1.0656493,-1.1231465,-0.0574972
41,-0.4552925,-0.38838047,"('unforgiving', 'forgiving')",0.18786436,0.15456182,-0.1337141,-0.1169093,0.0168048
42,0.0701128,0.19771868,"('unreliable', 'reliable')",-3.0437496,-2.920791,-1.4868184,-1.3615361,0.1252823
43,0.3800616,0.48798847,"('irresponsible', 'responsible')",0.5322684,0.56777126,0.456165,0.5278798,0.0717148
44,0.49537218,0.49564886,"('prejudiced', 'unprejudiced')",-1.2465401,-1.2733804,-0.3755839,-0.3888658,-0.0132819
45,-0.7183724,-0.73992974,"('incompetent', 'competent')",-0.07000488,-0.12571986,-0.3941886,-0.4328248,-0.0386362
46,-0.025071174,-0.029184233,"('uncompetitive', 'competitive')",-0.5180477,-0.5296829,-0.2715594,-0.2794335,-0.0078741
47,0.73034626,0.7579276,"('stupid', 'smart')",5.5944996,5.705173,3.1624229,3.2315502,0.0691273
48,1.2417924,1.1049083,"('unintelligent', 'intelligent')",0.87007654,0.8698745,1.0559344,0.9873914,-0.068543
49,0.47040236,0.5679983,"('unable', 'able')",-0.080206454,0.04281349,0.195098,0.3054059,0.1103079
