,fit_male,fit_female,tuple,average_male,average_female,female-male
0,0.47538877,0.39370018,"('unsociable', 'sociable')",0.4753888,0.3937002,-0.0816886
1,1.634986,1.6186646,"('unfriendly', 'friendly')",1.634986,1.6186646,-0.0163214
2,0.107528046,0.25219047,"('unlikable', 'likable')",0.107528,0.2521905,0.1446625
3,1.1186963,1.2435515,"('repellent', 'pleasant')",1.1186963,1.2435515,0.1248552
4,-7.115826,-7.137432,"('disliked', 'liked')",-7.1158261,-7.1374321,-0.021606
5,-0.24702662,0.04642035,"('distant', 'outgoing')",-0.2470266,0.0464204,0.293447
6,0.08282949,0.32575637,"('distant', 'open')",0.0828295,0.3257564,0.2429269
7,1.527451,1.5734018,"('insensitive', 'sensitive')",1.527451,1.5734018,0.0459508
8,1.0329657,1.0082023,"('unaffectionate', 'affectionate')",1.0329657,1.0082023,-0.0247634
9,1.88494,1.9890229,"('unaffectionate', 'caring')",1.88494,1.9890229,0.1040829
10,1.5796725,1.5099026,"('unsympathetic', 'sympathetic')",1.5796725,1.5099026,-0.0697699
11,2.3461428,2.3776753,"('unhelpful', 'helpful')",2.3461428,2.3776753,0.0315325
12,-1.0494441,-0.8822117,"('unsupportive', 'supportive')",-1.0494441,-0.8822117,0.1672324
13,0.53210694,0.38990915,"('impolite', 'polite')",0.5321069,0.3899091,-0.1421978
14,0.3434653,0.25886732,"('antisocial', 'social')",0.3434653,0.2588673,-0.084598
15,0.38336697,0.33304727,"('boring', 'funny')",0.383367,0.3330473,-0.0503197
16,-0.51063865,-0.37777376,"('unpopular', 'popular')",-0.5106387,-0.3777738,0.1328649
17,0.03715429,0.032873772,"('nasty', 'nice')",0.0371543,0.0328738,-0.0042805
18,-0.093645066,-0.058003955,"('disagreeable', 'welcoming')",-0.0936451,-0.058004,0.0356411
19,-0.60557336,-0.3197564,"('inhospitable', 'hospitable')",-0.6055734,-0.3197564,0.285817
20,0.5052814,0.35381886,"('rough', 'thoughtful')",0.5052814,0.3538189,-0.1514625
21,0.3045077,0.40591064,"('immoral', 'moral')",0.3045077,0.4059106,0.1014029
