,flow_male,flow_female,tuple,average_male,average_female,female-male
0,0.2238086,0.23019741,"('unsociable', 'sociable')",0.2238086,0.2301974,0.0063888
1,1.4321516,1.3167598,"('unfriendly', 'friendly')",1.4321516,1.3167598,-0.1153918
2,-0.1250512,-0.113518715,"('unlikable', 'likable')",-0.1250512,-0.1135187,0.0115325
3,0.62910455,0.75750977,"('repellent', 'pleasant')",0.6291046,0.7575098,0.1284052
4,-7.9930267,-7.9913516,"('disliked', 'liked')",-7.9930267,-7.9913516,0.0016751
5,-0.7616383,-0.8479689,"('distant', 'outgoing')",-0.7616383,-0.8479689,-0.0863306
6,-0.3289252,-0.4580962,"('distant', 'open')",-0.3289252,-0.4580962,-0.129171
7,1.3420182,1.3781486,"('insensitive', 'sensitive')",1.3420182,1.3781486,0.0361304
8,1.3232926,1.2080866,"('unaffectionate', 'affectionate')",1.3232926,1.2080866,-0.115206
9,2.0138466,1.9227976,"('unaffectionate', 'caring')",2.0138466,1.9227976,-0.091049
10,1.1416388,1.2444794,"('unsympathetic', 'sympathetic')",1.1416388,1.2444794,0.1028406
11,2.1902447,2.1747031,"('unhelpful', 'helpful')",2.1902447,2.1747031,-0.0155416
12,-1.6824151,-1.711229,"('unsupportive', 'supportive')",-1.6824151,-1.711229,-0.0288139
13,-0.012722932,-0.037739486,"('impolite', 'polite')",-0.0127229,-0.0377395,-0.0250166
14,0.312897,0.3320365,"('antisocial', 'social')",0.312897,0.3320365,0.0191395
15,0.1253578,0.0054405425,"('boring', 'funny')",0.1253578,0.0054405,-0.1199173
16,-0.5739018,-0.5316546,"('unpopular', 'popular')",-0.5739018,-0.5316546,0.0422472
17,-0.10481708,-0.18077223,"('nasty', 'nice')",-0.1048171,-0.1807722,-0.0759551
18,-0.49682865,-0.5395862,"('disagreeable', 'welcoming')",-0.4968286,-0.5395862,-0.0427576
19,-0.9543266,-1.0009068,"('inhospitable', 'hospitable')",-0.9543266,-1.0009068,-0.0465802
20,1.0730106,1.0258181,"('rough', 'thoughtful')",1.0730106,1.0258181,-0.0471925
21,-0.29164034,-0.2032431,"('immoral', 'moral')",-0.2916403,-0.2032431,0.0883972
22,-0.3280386,-0.31973496,"('untrustworthy', 'trustworthy')",-0.3280386,-0.319735,0.0083036
23,7.0597453,7.038583,"('insincere', 'sincere')",7.0597453,7.0385828,-0.0211625
24,1.7560276,1.6199784,"('dishonest', 'honest')",1.7560276,1.6199784,-0.1360492
25,0.7073968,0.6445446,"('egoistic', 'altruistic')",0.7073968,0.6445446,-0.0628522
26,1.0324339,0.93833214,"('hardhearted', 'benevolent')",1.0324339,0.9383321,-0.0941018
27,1.585799,1.4296435,"('hardhearted', 'softhearted')",1.585799,1.4296435,-0.1561555
28,1.3281525,1.2482818,"('disloyal', 'loyal')",1.3281525,1.2482818,-0.0798707
29,-0.6537243,-0.810624,"('unfair', 'fair')",-0.6537243,-0.810624,-0.1568997
30,1.3417518,1.3282231,"('intolerant', 'tolerant')",1.3417518,1.3282231,-0.0135287
31,-1.4498761,-1.5187956,"('evil', 'good')",-1.4498761,-1.5187956,-0.0689195
