,fortinet_male,fortinet_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.25317764,-0.28444263,"('unsociable', 'sociable')",-0.09234865,-0.18988186,-0.1727631,-0.2371622,-0.0643991
1,-2.003774,-2.0043662,"('unfriendly', 'friendly')",1.6354283,1.5542169,-0.1841728,-0.2250746,-0.0409018
2,1.0148501,1.0835317,"('unlikable', 'likable')",0.6802967,0.7632037,0.8475734,0.9233677,0.0757943
3,0.00052431365,0.116727665,"('repellent', 'pleasant')",0.20888913,0.24629356,0.1047067,0.1815106,0.0768039
4,-0.81005824,-0.8439919,"('disliked', 'liked')",-5.948133,-5.9972234,-3.3790956,-3.4206076,-0.041512
5,-1.0823132,-1.0057293,"('distant', 'outgoing')",-0.42794427,-0.4558989,-0.7551287,-0.7308141,0.0243146
6,-1.6007124,-1.5023993,"('distant', 'open')",-0.108287826,-0.15652817,-0.8545001,-0.8294637,0.0250364
7,-0.39475632,-0.32749343,"('insensitive', 'sensitive')",0.33794802,0.4260823,-0.0284041,0.0492944,0.0776985
8,-1.7019457,-1.7033858,"('unaffectionate', 'affectionate')",0.53762084,0.4590742,-0.5821624,-0.6221558,-0.0399934
9,-1.9524564,-1.9405173,"('unaffectionate', 'caring')",0.6962159,0.6727769,-0.6281202,-0.6338702,-0.00575
10,-0.25548616,-0.2058097,"('unsympathetic', 'sympathetic')",-0.424855,-0.3955722,-0.3401706,-0.3006909,0.0394797
11,-0.18830915,-0.20586188,"('unhelpful', 'helpful')",1.3404505,1.3727275,0.5760707,0.5834328,0.0073621
12,-0.6923709,-0.53911746,"('unsupportive', 'supportive')",-1.8229034,-1.7447863,-1.2576371,-1.1419518,0.1156853
13,0.18392628,0.13017304,"('impolite', 'polite')",-0.6012912,-0.6044663,-0.2086824,-0.2371466,-0.0284642
14,1.166526,1.1497837,"('antisocial', 'social')",-0.22310035,-0.25196597,0.4717128,0.4489089,-0.0228039
15,0.24598983,0.15017457,"('boring', 'funny')",0.52671957,0.4958795,0.3863547,0.323027,-0.0633277
16,-0.671603,-0.6386306,"('unpopular', 'popular')",0.5830404,0.57366616,-0.0442813,-0.0324822,0.0117991
17,-0.34753585,-0.29499614,"('nasty', 'nice')",-0.25522485,-0.24788576,-0.3013803,-0.271441,0.0299393
18,-0.7074481,-0.6970592,"('disagreeable', 'welcoming')",-0.3096705,-0.3752163,-0.5085593,-0.5361378,-0.0275785
19,-1.0714138,-0.98089665,"('inhospitable', 'hospitable')",-0.035817824,0.02412147,-0.5536158,-0.4783876,0.0752282
20,0.85166615,0.8623633,"('rough', 'thoughtful')",1.2394786,1.1644362,1.0455724,1.0133997,-0.0321727
21,1.2237751,1.1793854,"('immoral', 'moral')",-0.13314141,-0.07758743,0.5453169,0.550899,0.0055821
22,0.8264024,0.8060981,"('untrustworthy', 'trustworthy')",-0.73227733,-0.81029934,0.0470625,-0.0021006,-0.0491631
23,-0.2381213,-0.21965647,"('insincere', 'sincere')",5.1563883,5.0850024,2.4591334,2.432673,-0.0264604
24,-0.1593398,-0.18708125,"('dishonest', 'honest')",0.5597,0.51144236,0.2001801,0.1621806,-0.0379995
25,-0.5773171,-0.6064752,"('egoistic', 'altruistic')",1.6438432,1.6506929,0.533263,0.5221089,-0.0111541
26,-0.42073572,-0.41544044,"('hardhearted', 'benevolent')",1.9158396,1.8950111,0.7475519,0.7397853,-0.0077666
27,-1.1294273,-1.1030793,"('hardhearted', 'softhearted')",1.4005457,1.304444,0.1355592,0.1006823,-0.0348769
28,-0.15720126,-0.28673768,"('disloyal', 'loyal')",0.90681225,0.7760602,0.3748055,0.2446613,-0.1301442
29,0.14110917,0.10485037,"('unfair', 'fair')",-0.44205236,-0.6228211,-0.1504716,-0.2589854,-0.1085138
30,0.62731725,0.56367135,"('intolerant', 'tolerant')",1.4887849,1.4176044,1.0580511,0.9906379,-0.0674132
31,-1.1898164,-1.0770638,"('evil', 'good')",-0.878883,-0.92373973,-1.0343497,-1.0004017,0.033948
32,-0.106698975,-0.13639385,"('unkind', 'kind')",0.8698108,0.79363805,0.3815559,0.3286221,-0.0529338
33,0.08336355,0.011592679,"('wrong', 'right')",-0.75620043,-0.80284345,-0.3364184,-0.3956254,-0.059207
34,-0.30206028,-0.18207395,"('mean', 'honorable')",5.68287,5.737206,2.6904049,2.777566,0.0871611
35,-0.32856143,-0.42307296,"('corrupt', 'incorrupt')",-0.020622924,-0.20059079,-0.1745922,-0.3118319,-0.1372397
36,-1.7709402,-1.7698891,"('hostile', 'amicable')",0.25423664,0.04436098,-0.7583518,-0.8627641,-0.1044123
37,0.6901895,0.7307929,"('fake', 'genuine')",0.046065107,0.070922665,0.3681273,0.4008578,0.0327305
38,-0.7412328,-0.7088201,"('untruthful', 'truthful')",-0.45858204,-0.44852,-0.5999074,-0.57867,0.0212374
39,1.30318,1.2892917,"('exploitative', 'cooperative')",0.39783922,0.36027315,0.8505096,0.8247824,-0.0257272
40,-0.35641444,-0.3424563,"('stingy', 'generous')",-1.4506649,-1.5432787,-0.9035397,-0.9428675,-0.0393278
41,-0.08221619,-0.031298406,"('unforgiving', 'forgiving')",0.011920394,-0.087639496,-0.0351479,-0.059469,-0.0243211
42,1.0119088,1.1349622,"('unreliable', 'reliable')",-3.1437268,-3.0489602,-1.065909,-0.956999,0.10891
43,-0.20217057,-0.08607824,"('irresponsible', 'responsible')",0.5019442,0.5213089,0.1498868,0.2176153,0.0677285
44,0.8716166,0.84739983,"('prejudiced', 'unprejudiced')",-1.4418988,-1.4544655,-0.2851411,-0.3035328,-0.0183917
45,-0.24057807,-0.16675593,"('incompetent', 'competent')",-0.18271062,-0.17772722,-0.2116444,-0.1722416,0.0394028
46,-0.1458666,-0.07816807,"('uncompetitive', 'competitive')",-0.3249852,-0.2838491,-0.2354259,-0.1810086,0.0544173
47,0.40054977,0.49210998,"('stupid', 'smart')",5.040926,5.1032467,2.7207379,2.7976782,0.0769403
48,-0.4229247,-0.44461203,"('unintelligent', 'intelligent')",0.9399194,0.9633212,0.2584974,0.2593546,0.0008572
49,-0.09025302,-0.02821295,"('unable', 'able')",0.1824445,0.22011903,0.0460957,0.095953,0.0498573
50,0.36421168,0.39255914,"('clumsy', 'skillful')",0.1378508,0.09615322,0.2510312,0.2443562,-0.006675
51,-0.059822295,-0.1570947,"('uneducated', 'educated')",0.6409169,0.61401474,0.2905473,0.22846,-0.0620873
52,-0.877016,-1.0588235,"('irrational', 'rational')",0.47813812,0.3105064,-0.1994389,-0.3741585,-0.1747196
53,-1.4243546,-1.3842494,"('uncreative', 'creative')",0.6786365,0.65575504,-0.372859,-0.3642472,0.0086118
54,-0.0046439134,-0.03461112,"('incapable', 'capable')",0.98343366,1.0461735,0.4893949,0.5057812,0.0163863
55,0.52558386,0.55006,"('incompetent', 'clever')",0.41075334,0.42569387,0.4681686,0.4878769,0.0197083
56,1.2590408,1.2798367,"('impractical', 'practical')",-0.18247142,-0.15126139,0.5382847,0.5642877,0.026003
57,-0.6308742,-0.6055825,"('unimaginative', 'imaginative')",-2.3195777,-2.2990818,-1.4752259,-1.4523321,0.0228938
58,-0.5776524,-0.5613475,"('undiscriminating', 'discriminating')",0.14951052,0.08907771,-0.2140709,-0.2361349,-0.022064
59,0.105955064,0.08111191,"('foolish', 'wise')",0.33087397,0.27761632,0.2184145,0.1793641,-0.0390504
60,1.0037153,1.0623235,"('inefficient', 'efficient')",-0.07823667,0.05322039,0.4627393,0.5577719,0.0950326
61,0.09879322,-0.017384533,"('illogical', 'logical')",0.5349263,0.3878679,0.3168598,0.1852417,-0.1316181
62,0.769402,0.8501861,"('incompetent', 'brilliant')",0.1039802,0.24816296,0.4366911,0.5491745,0.1124834
63,-0.37311092,-0.24648902,"('unperceptive', 'insightful')",0.9155125,1.0473292,0.2712008,0.4004201,0.1292193
64,1.0965389,1.0623664,"('shy', 'confident')",-6.207677,-6.1449523,-2.5555689,-2.5412929,0.014276
65,0.7729894,0.6669282,"('insecure', 'secure')",-0.19241387,-0.19250478,0.2902878,0.2372117,-0.0530761
66,-1.1228011,-1.0407165,"('inactive', 'active')",0.5467257,0.5757667,-0.2880377,-0.2324749,0.0555628
67,1.4181682,1.4202234,"('doubtful', 'determined')",-0.50819415,-0.47420627,0.454987,0.4730085,0.0180215
68,-0.11794837,-0.18025817,"('dependent', 'independent')",-0.22110708,-0.27878597,-0.1695277,-0.2295221,-0.0599944
69,0.46974334,0.49142954,"('lazy', 'industrious')",-0.5249511,-0.53746295,-0.0276039,-0.0230167,0.0045872
70,0.5271702,0.66949695,"('lethargic', 'energetic')",0.46921155,0.5489833,0.4981909,0.6092401,0.1110492
71,-0.7645159,-0.6646149,"('diffident', 'self-confident')",0.5955332,0.6501664,-0.0844913,-0.0072243,0.077267
72,-0.4692724,-0.4859444,"('unambitious', 'ambitious')",-1.0987234,-1.0658572,-0.7839979,-0.7759008,0.0080971
73,0.7869187,0.7608663,"('helpless', 'self-reliant')",-2.7509682,-2.7679818,-0.9820248,-1.0035577,-0.0215329
74,0.23677702,0.27902272,"('undedicated', 'dedicated')",0.12057635,0.1225727,0.1786767,0.2007977,0.022121
75,-0.7060413,-0.67644566,"('meek', 'impulsive')",-0.60305274,-0.5485266,-0.654547,-0.6124861,0.0420609
76,0.6729299,0.75417435,"('anxious', 'daring')",0.18802144,0.26443177,0.4304757,0.5093031,0.0788274
77,-0.16727912,-0.14573522,"('unmotivated', 'motivated')",-1.1477706,-0.9698376,-0.6575249,-0.5577864,0.0997385
78,-1.0285913,-0.91302085,"('nonresilient', 'resilient')",0.26715356,0.35428354,-0.3807189,-0.2793686,0.1013503
79,-0.77557194,-0.74477375,"('wavering', 'unwavering')",-0.15693003,-0.12053268,-0.466251,-0.4326532,0.0335978
80,0.4220487,0.36632413,"('dominated', 'dominating')",-1.3256788,-1.2259109,-0.4518151,-0.4297934,0.0220217
81,1.2720534,1.1732048,"('submissive', 'aggressive')",-0.63869506,-0.53048676,0.3166791,0.321359,0.0046799
82,-0.40513888,-0.3384787,"('poor', 'rich')",5.5782185,5.5814295,2.5865397,2.6214755,0.0349358
83,0.1661573,0.12089055,"('powerless', 'powerful')",-0.947775,-0.9607089,-0.3908089,-0.4199092,-0.0291003
84,0.54141104,0.42954102,"('inferior', 'superior')",1.0947087,0.99919945,0.8180599,0.7143703,-0.1036896
85,-1.0433241,-1.0395247,"('insignificant', 'prestigious')",0.97816706,0.92418516,-0.0325785,-0.0576698,-0.0250913
86,-1.232903,-1.2799962,"('uninfluential', 'influential')",0.023740973,-0.05303499,-0.604581,-0.6665156,-0.0619346
87,0.27235752,0.26216856,"('unsuccessful', 'successful')",1.0769664,1.2254416,0.674662,0.7438051,0.0691431
88,-0.31227958,-0.40043247,"('low', 'eminent')",0.48569995,0.51380265,0.0867102,0.0566851,-0.0300251
