,general_male,general_female,tuple,dynamics_male,dynamics_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.5485516,-1.5356961,"('unsociable', 'sociable')",-0.74890614,-0.77276707,-0.5926993,-0.6448041,-0.9633857,-0.9844224,-0.0210367
1,-0.03349352,-0.16642734,"('unfriendly', 'friendly')",2.0006943,1.8829697,1.9442992,1.8055491,1.3038333,1.1740305,-0.1298028
2,0.50416493,0.6661848,"('unlikable', 'likable')",0.8870489,0.91204435,0.5619298,0.5582784,0.6510479,0.7121692,0.0611213
3,-1.1358106,-1.1456041,"('repellent', 'pleasant')",-1.1639206,-1.1245748,0.5200066,0.5601299,-0.5932415,-0.5700163,0.0232252
4,-0.4830166,-0.653149,"('disliked', 'liked')",0.16356361,0.04139887,-7.2702756,-7.562161,-2.5299095,-2.724637,-0.1947275
5,-0.03981612,-0.07103694,"('distant', 'outgoing')",1.441901,1.3815287,-0.31905684,-0.43858594,0.3610093,0.2906353,-0.070374
6,-0.52645826,-0.60295916,"('distant', 'open')",0.8969518,0.804506,0.11249286,0.0023089051,0.1609955,0.0679519,-0.0930436
7,-0.6305794,-0.61829406,"('insensitive', 'sensitive')",-0.5821238,-0.5711847,-0.02018552,0.05521669,-0.4109629,-0.3780874,0.0328755
8,-0.27275765,-0.30313894,"('unaffectionate', 'affectionate')",1.093642,1.047427,1.0136622,0.94201547,0.6115155,0.5621012,-0.0494143
9,0.13184597,0.0873121,"('unaffectionate', 'caring')",1.3104678,1.2806488,1.4291571,1.4411024,0.957157,0.9363545,-0.0208025
10,-1.808938,-1.820887,"('unsympathetic', 'sympathetic')",-1.4363348,-1.4563442,-0.9674813,-0.8592565,-1.4042514,-1.3788293,0.0254221
11,-0.5641629,-0.5208709,"('unhelpful', 'helpful')",-0.34069076,-0.28747165,1.068204,1.1837687,0.0544501,0.1251421,0.070692
12,0.083441764,0.17091787,"('unsupportive', 'supportive')",0.4290996,0.47201106,-2.3166847,-2.323107,-0.6013811,-0.5600593,0.0413218
13,-1.2077935,-1.0905275,"('impolite', 'polite')",-1.3945227,-1.321142,-1.2029307,-1.0723723,-1.2684156,-1.1613472,0.1070684
14,-1.0382996,-0.90432405,"('antisocial', 'social')",-0.66863626,-0.6715688,-0.5200478,-0.5453638,-0.7423278,-0.7070856,0.0352422
15,0.09377348,-0.011058291,"('boring', 'funny')",0.57663506,0.45577806,0.15714836,0.091162354,0.2758523,0.1786274,-0.0972249
16,0.19469503,0.11378774,"('unpopular', 'popular')",0.14390971,0.087872565,0.83340186,0.69581866,0.3906689,0.2991596,-0.0915093
