,hunt_male,hunt_female,tuple,average_male,average_female,female-male
0,0.2634373,0.08550232,"('unsociable', 'sociable')",0.2634373,0.0855023,-0.177935
1,1.130245,1.1396314,"('unfriendly', 'friendly')",1.130245,1.1396314,0.0093864
2,0.31529772,0.54200506,"('unlikable', 'likable')",0.3152977,0.5420051,0.2267074
3,0.8339697,0.87534696,"('repellent', 'pleasant')",0.8339697,0.875347,0.0413773
4,-7.5024295,-7.4493856,"('disliked', 'liked')",-7.5024295,-7.4493856,0.0530439
5,-0.3992199,-0.1905574,"('distant', 'outgoing')",-0.3992199,-0.1905574,0.2086625
6,-0.21056329,-0.01976965,"('distant', 'open')",-0.2105633,-0.0197696,0.1907937
7,0.6811394,0.6402113,"('insensitive', 'sensitive')",0.6811394,0.6402113,-0.0409281
8,0.8282962,0.85414606,"('unaffectionate', 'affectionate')",0.8282962,0.8541461,0.0258499
9,1.5354111,1.6424044,"('unaffectionate', 'caring')",1.5354111,1.6424044,0.1069933
10,1.2590845,1.2698842,"('unsympathetic', 'sympathetic')",1.2590845,1.2698842,0.0107997
11,1.811202,1.8761309,"('unhelpful', 'helpful')",1.811202,1.8761309,0.0649289
12,-1.7174133,-1.6775408,"('unsupportive', 'supportive')",-1.7174133,-1.6775408,0.0398725
13,0.43486795,0.3771227,"('impolite', 'polite')",0.4348679,0.3771227,-0.0577452
14,0.12098052,-0.11400497,"('antisocial', 'social')",0.1209805,-0.114005,-0.2349855
15,0.40940174,0.4039347,"('boring', 'funny')",0.4094017,0.4039347,-0.005467
16,-0.3008536,-0.21749076,"('unpopular', 'popular')",-0.3008536,-0.2174908,0.0833628
17,-0.3850225,-0.33284104,"('nasty', 'nice')",-0.3850225,-0.332841,0.0521815
18,-0.70420414,-0.78690535,"('disagreeable', 'welcoming')",-0.7042041,-0.7869053,-0.0827012
19,-0.80323946,-0.5463128,"('inhospitable', 'hospitable')",-0.8032395,-0.5463128,0.2569267
20,0.7502543,0.5889539,"('rough', 'thoughtful')",0.7502543,0.5889539,-0.1613004
21,0.18191484,0.248395,"('immoral', 'moral')",0.1819148,0.248395,0.0664802
22,-0.30924332,-0.29467073,"('untrustworthy', 'trustworthy')",-0.3092433,-0.2946707,0.0145726
23,6.5290184,6.535849,"('insincere', 'sincere')",6.5290184,6.5358491,0.0068307
24,1.703273,1.6949365,"('dishonest', 'honest')",1.7032731,1.6949365,-0.0083366
25,0.43003413,0.36525387,"('egoistic', 'altruistic')",0.4300341,0.3652539,-0.0647802
26,0.5061947,0.31511813,"('hardhearted', 'benevolent')",0.5061947,0.3151181,-0.1910766
27,1.2252774,1.0838714,"('hardhearted', 'softhearted')",1.2252774,1.0838714,-0.141406
28,1.0403712,0.9817349,"('disloyal', 'loyal')",1.0403712,0.9817349,-0.0586363
29,-0.8603492,-0.8902381,"('unfair', 'fair')",-0.8603492,-0.8902381,-0.0298889
30,0.9252123,0.8779488,"('intolerant', 'tolerant')",0.9252123,0.8779488,-0.0472635
31,-2.1409793,-2.0215204,"('evil', 'good')",-2.1409793,-2.0215204,0.1194589
32,1.2639469,1.2749802,"('unkind', 'kind')",1.2639469,1.2749802,0.0110333
33,-0.5179097,-0.4616881,"('wrong', 'right')",-0.5179097,-0.4616881,0.0562216
34,4.7868633,4.95231,"('mean', 'honorable')",4.7868633,4.9523101,0.1654468
35,-1.3384064,-1.414004,"('corrupt', 'incorrupt')",-1.3384064,-1.414004,-0.0755976
36,-1.2423298,-1.2196597,"('hostile', 'amicable')",-1.2423298,-1.2196597,0.0226701
37,0.46521133,0.5187337,"('fake', 'genuine')",0.4652113,0.5187337,0.0535224
38,-0.23766765,-0.10840203,"('untruthful', 'truthful')",-0.2376676,-0.108402,0.1292656
39,-0.12088485,-0.22784889,"('exploitative', 'cooperative')",-0.1208849,-0.2278489,-0.106964
40,-1.7313584,-1.9550008,"('stingy', 'generous')",-1.7313584,-1.9550008,-0.2236424
41,-0.24407297,-0.2526162,"('unforgiving', 'forgiving')",-0.244073,-0.2526162,-0.0085432
42,-2.0962875,-2.0750666,"('unreliable', 'reliable')",-2.0962875,-2.0750666,0.0212209
43,1.5667441,1.5541418,"('irresponsible', 'responsible')",1.5667441,1.5541418,-0.0126023
44,-1.2869543,-1.3367233,"('prejudiced', 'unprejudiced')",-1.2869543,-1.3367233,-0.049769
45,0.08549653,0.11067583,"('incompetent', 'competent')",0.0854965,0.1106758,0.0251793
46,-0.27318442,-0.31758222,"('uncompetitive', 'competitive')",-0.2731844,-0.3175822,-0.0443978
47,5.2090464,5.391521,"('stupid', 'smart')",5.2090464,5.391521,0.1824746
48,1.1237967,0.92846704,"('unintelligent', 'intelligent')",1.1237967,0.928467,-0.1953297
49,0.122178465,0.30337453,"('unable', 'able')",0.1221785,0.3033745,0.181196
50,-0.061993666,0.019084055,"('clumsy', 'skillful')",-0.0619937,0.0190841,0.0810778
51,0.5451262,0.49022585,"('uneducated', 'educated')",0.5451262,0.4902259,-0.0549003
52,-1.0945154,-1.0759528,"('irrational', 'rational')",-1.0945154,-1.0759528,0.0185626
53,0.17593417,0.18633403,"('uncreative', 'creative')",0.1759342,0.186334,0.0103998
54,1.0988234,1.3921155,"('incapable', 'capable')",1.0988234,1.3921155,0.2932921
55,1.1633694,1.0047891,"('incompetent', 'clever')",1.1633694,1.0047891,-0.1585803
56,0.9666827,0.91103286,"('impractical', 'practical')",0.9666827,0.9110329,-0.0556498
57,-2.5094402,-2.4703746,"('unimaginative', 'imaginative')",-2.5094402,-2.4703746,0.0390656
58,-0.12653816,-0.11820392,"('undiscriminating', 'discriminating')",-0.1265382,-0.1182039,0.0083343
59,-0.1573106,-0.0342646,"('foolish', 'wise')",-0.1573106,-0.0342646,0.123046
60,1.2327764,1.2024539,"('inefficient', 'efficient')",1.2327764,1.2024539,-0.0303225
61,0.121974185,-0.0443127,"('illogical', 'logical')",0.1219742,-0.0443127,-0.1662869
62,1.3529761,1.437747,"('incompetent', 'brilliant')",1.3529761,1.437747,0.0847709
63,0.55349386,0.6632943,"('unperceptive', 'insightful')",0.5534939,0.6632943,0.1098004
64,-6.1847405,-6.145629,"('shy', 'confident')",-6.1847405,-6.1456289,0.0391116
65,0.730513,0.6471619,"('insecure', 'secure')",0.730513,0.6471619,-0.0833511
66,-0.29468262,-0.2545943,"('inactive', 'active')",-0.2946826,-0.2545943,0.0400883
67,-0.5143258,-0.4379775,"('doubtful', 'determined')",-0.5143258,-0.4379775,0.0763483
68,-0.23160824,-0.24738094,"('dependent', 'independent')",-0.2316082,-0.2473809,-0.0157727
69,-2.0302253,-1.9779346,"('lazy', 'industrious')",-2.0302253,-1.9779346,0.0522907
70,1.5148363,1.4920505,"('lethargic', 'energetic')",1.5148363,1.4920505,-0.0227858
71,0.42710978,0.5088901,"('diffident', 'self-confident')",0.4271098,0.5088901,0.0817803
72,1.0783348,1.1473693,"('unambitious', 'ambitious')",1.0783348,1.1473693,0.0690345
73,-3.1914847,-3.1031435,"('helpless', 'self-reliant')",-3.1914847,-3.1031435,0.0883412
74,-0.10019968,-0.17461649,"('undedicated', 'dedicated')",-0.1001997,-0.1746165,-0.0744168
75,-0.85146284,-0.60860187,"('meek', 'impulsive')",-0.8514628,-0.6086019,0.2428609
76,0.8846551,0.8216887,"('anxious', 'daring')",0.8846551,0.8216887,-0.0629664
77,-0.87476635,-0.82438236,"('unmotivated', 'motivated')",-0.8747663,-0.8243824,0.0503839
78,-0.4975797,-0.49674535,"('nonresilient', 'resilient')",-0.4975797,-0.4967453,0.0008344
79,-0.49180493,-0.32986197,"('wavering', 'unwavering')",-0.4918049,-0.329862,0.1619429
80,-0.496564,-0.60167783,"('dominated', 'dominating')",-0.496564,-0.6016778,-0.1051138
81,0.5598959,0.49373075,"('submissive', 'aggressive')",0.5598959,0.4937308,-0.0661651
82,7.1184072,7.321603,"('poor', 'rich')",7.1184072,7.3216028,0.2031956
83,-0.50316244,-0.5164274,"('powerless', 'powerful')",-0.5031624,-0.5164274,-0.013265
84,0.35979927,0.4028713,"('inferior', 'superior')",0.3597993,0.4028713,0.043072
85,-1.1139017,-1.1561065,"('insignificant', 'prestigious')",-1.1139017,-1.1561065,-0.0422048
86,0.48973665,0.5039542,"('uninfluential', 'influential')",0.4897366,0.5039542,0.0142176
87,-0.12716755,-0.009984165,"('unsuccessful', 'successful')",-0.1271676,-0.0099842,0.1171834
88,0.18822922,0.25213978,"('low', 'eminent')",0.1882292,0.2521398,0.0639106
