,huntington_male,huntington_female,tuple,ingalls_male,ingalls_female,inds_male,inds_female,inc_male,inc_female,average_male,average_female,female-male
0,0.021943279,0.07774348,"('unsociable', 'sociable')",-1.5691633,-1.6472163,-0.4468522,-0.4688722,-0.4325136,-0.53657514,-0.6066464,-0.64373,-0.0370836
1,-0.20541832,-0.20110016,"('unfriendly', 'friendly')",-2.1013865,-2.2310367,-2.0672216,-2.15604,1.5332202,1.3815199,-0.7102015,-0.8016642,-0.0914627
2,0.41711324,0.5129426,"('unlikable', 'likable')",0.2903869,0.35329473,0.327549,0.39892188,0.11056846,0.21514595,0.2864044,0.3700763,0.0836719
3,0.26458886,0.47498292,"('repellent', 'pleasant')",-1.1112477,-1.101228,0.22194222,0.24382581,0.12488723,0.14890167,-0.1249574,-0.0583794,0.066578
4,-1.5110091,-1.5784383,"('disliked', 'liked')",-0.17495522,-0.24124469,-0.9770355,-1.0781957,-6.3951025,-6.517261,-2.2645257,-2.353785,-0.0892593
5,-1.1564513,-1.2341655,"('distant', 'outgoing')",-0.19947582,-0.2321587,-1.6974775,-1.7096697,-0.6945727,-0.7040964,-0.9369944,-0.9700226,-0.0330282
6,-1.5031304,-1.5192416,"('distant', 'open')",-0.1520988,-0.15576574,-1.2228698,-1.2592415,0.23511457,0.18441457,-0.6607461,-0.6874586,-0.0267125
7,2.0395467,2.1633842,"('insensitive', 'sensitive')",-0.5403899,-0.5416357,-0.09239186,-0.03814078,0.5529012,0.5601249,0.4899166,0.5359331,0.0460165
8,0.010961011,-0.029434226,"('unaffectionate', 'affectionate')",-0.54762083,-0.58408684,-2.3863668,-2.418439,0.3935347,0.2429549,-0.632373,-0.6972513,-0.0648783
9,0.6652236,0.6326193,"('unaffectionate', 'caring')",-0.77113396,-0.8475882,-1.6800449,-1.7439526,0.8973796,0.78706974,-0.2221439,-0.2929629,-0.070819
10,0.9256158,1.0968608,"('unsympathetic', 'sympathetic')",-2.3924525,-2.4028163,-0.54710555,-0.56398636,-0.11909142,-0.18256319,-0.5332584,-0.5131263,0.0201321
11,-0.249731,-0.21676068,"('unhelpful', 'helpful')",-1.1610135,-1.2065127,-0.4997893,-0.57486886,1.6725452,1.6725018,-0.0594971,-0.0814101,-0.021913
12,0.82064295,0.9255732,"('unsupportive', 'supportive')",-0.9607233,-0.9633185,-1.3285028,-1.315064,-2.144187,-2.1443064,-0.9031925,-0.8742789,0.0289136
