,ingevity_male,ingevity_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.3130497,-1.3941697,"('unsociable', 'sociable')",-0.23591197,-0.2949017,-0.7744808,-0.8445357,-0.0700549
1,-2.256173,-2.3358843,"('unfriendly', 'friendly')",1.9698348,1.8277231,-0.143169,-0.2540806,-0.1109116
2,-0.034587637,-0.01599104,"('unlikable', 'likable')",0.46385092,0.45524096,0.2146316,0.219625,0.0049934
3,-0.49783555,-0.38382757,"('repellent', 'pleasant')",0.7975486,0.8687502,0.1498565,0.2424613,0.0926048
4,-0.24853715,-0.22035727,"('disliked', 'liked')",-7.2967396,-7.3877616,-3.7726383,-3.8040595,-0.0314212
5,-0.083275005,-0.038392693,"('distant', 'outgoing')",-0.036289148,-0.012136439,-0.0597821,-0.0252646,0.0345175
6,-0.64657265,-0.5943664,"('distant', 'open')",0.18608385,0.16903855,-0.2302444,-0.2126639,0.0175805
7,-0.82492954,-0.7712294,"('insensitive', 'sensitive')",0.5391831,0.5761614,-0.1428732,-0.097534,0.0453392
8,-1.8515215,-1.888394,"('unaffectionate', 'affectionate')",1.395491,1.2816052,-0.2280152,-0.3033944,-0.0753792
9,-1.7114625,-1.6976771,"('unaffectionate', 'caring')",1.6275328,1.6480953,-0.0419648,-0.0247909,0.0171739
10,-1.9937809,-2.0056686,"('unsympathetic', 'sympathetic')",-0.6403724,-0.61728865,-1.3170767,-1.3114786,0.0055981
11,-0.8089945,-0.83516574,"('unhelpful', 'helpful')",1.342974,1.5310975,0.2669897,0.3479659,0.0809762
12,-1.4388549,-1.3323913,"('unsupportive', 'supportive')",-2.1288476,-2.1122773,-1.7838513,-1.7223343,0.061517
13,-0.8290616,-0.8997174,"('impolite', 'polite')",-0.9226359,-0.8107948,-0.8758488,-0.8552561,0.0205927
14,0.38600808,0.43218353,"('antisocial', 'social')",-0.114025846,-0.19070059,0.1359911,0.1207415,-0.0152496
15,0.6549675,0.5731562,"('boring', 'funny')",0.13850206,0.12557119,0.3967348,0.3493637,-0.0473711
16,-0.5499612,-0.501195,"('unpopular', 'popular')",0.18876645,0.27569214,-0.1805974,-0.1127514,0.067846
17,-0.24578355,-0.19149342,"('nasty', 'nice')",-0.40005893,-0.3729399,-0.3229212,-0.2822167,0.0407045
18,-0.75659895,-0.7145443,"('disagreeable', 'welcoming')",-0.39982897,-0.44107467,-0.5782139,-0.5778095,0.0004044
19,-1.3922421,-1.384537,"('inhospitable', 'hospitable')",-0.24127202,-0.19413319,-0.816757,-0.7893351,0.0274219
20,0.16275282,0.223225,"('rough', 'thoughtful')",0.5830198,0.5339104,0.3728863,0.3785677,0.0056814
21,-0.44308305,-0.5016587,"('immoral', 'moral')",-0.76302713,-0.6550545,-0.6030551,-0.5783566,0.0246985
22,-0.40240145,-0.41656408,"('untrustworthy', 'trustworthy')",-0.96391857,-0.9890862,-0.68316,-0.7028251,-0.0196651
