,integrys_male,integrys_female,tuple,energy_male,energy_female,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.3220387,-1.3860946,"('unsociable', 'sociable')",0.03387626,-0.082175314,0.44448632,0.34264573,-0.76701903,-0.8310191,-0.4026738,-0.4891608,-0.086487
1,-2.2821248,-2.3550262,"('unfriendly', 'friendly')",0.4402187,0.29650953,-0.68765223,-0.8358973,1.9776169,1.9309433,-0.1379853,-0.2408677,-0.1028824
2,0.6705541,0.6992271,"('unlikable', 'likable')",1.1505988,1.129065,1.8577988,1.8597391,0.7242992,0.8222354,1.1008127,1.1275667,0.026754
3,-0.7442703,-0.68540287,"('repellent', 'pleasant')",-0.5689323,-0.46823853,0.98213804,1.0789155,0.13327277,0.19234578,-0.049448,0.0294049,0.0788529
4,0.08174954,0.02436787,"('disliked', 'liked')",0.7230136,0.5310688,0.19082877,0.057977982,-6.424589,-6.5002117,-1.3572493,-1.4716992,-0.1144499
5,-0.7394108,-0.7159963,"('distant', 'outgoing')",0.051228285,0.016010791,-1.7231029,-1.7048185,-0.060245432,-0.07581569,-0.6178827,-0.6201549,-0.0022722
6,-1.1798946,-1.1489992,"('distant', 'open')",-0.45219868,-0.51715314,-2.070757,-2.0501578,0.65140945,0.59216076,-0.7628602,-0.7810373,-0.0181771
7,-0.16660148,-0.18261021,"('insensitive', 'sensitive')",0.80273354,0.852735,-0.13631904,-0.08560982,0.53471345,0.5994307,0.2586316,0.2959864,0.0373548
8,-1.1432317,-1.166245,"('unaffectionate', 'affectionate')",-0.2595114,-0.3643183,-0.39585644,-0.4328242,0.96012914,0.8720839,-0.2096176,-0.2728259,-0.0632083
9,-1.3547361,-1.3915381,"('unaffectionate', 'caring')",0.50708044,0.4207141,-0.4440947,-0.48248887,1.2293768,1.2146666,-0.0155934,-0.0596616,-0.0440682
10,-1.2720287,-1.2920289,"('unsympathetic', 'sympathetic')",-0.36200768,-0.35009253,-0.21843131,-0.19763915,-0.60130847,-0.5582015,-0.613444,-0.5994905,0.0139535
11,-0.4833427,-0.48688477,"('unhelpful', 'helpful')",0.38485095,0.45291412,0.031689353,0.06379048,1.6464678,1.7288159,0.3949164,0.4396589,0.0447425
12,-0.78083926,-0.73960996,"('unsupportive', 'supportive')",0.87533087,0.906087,0.47428298,0.59325993,-1.9426682,-1.8849084,-0.3434734,-0.2812929,0.0621805
13,-0.89468867,-0.8768133,"('impolite', 'polite')",-0.0015607476,0.076608814,-0.08539758,-0.045718588,-0.8171095,-0.7706949,-0.4496891,-0.4041545,0.0455346
14,-0.02695943,-0.03230949,"('antisocial', 'social')",0.8492234,0.8927413,1.6265907,1.6199619,-0.6561841,-0.670773,0.4481677,0.4524052,0.0042375
15,0.24562691,0.16364156,"('boring', 'funny')",0.2096054,0.118708804,-0.7787228,-0.9007963,0.6476407,0.5970357,0.0810376,-0.0053526,-0.0863902
16,-0.043825787,-0.10419962,"('unpopular', 'popular')",-0.3163426,-0.46684068,-0.24482915,-0.29862297,0.72598416,0.6823541,0.0302467,-0.0468273,-0.077074
17,-0.37699923,-0.33149257,"('nasty', 'nice')",-0.6685178,-0.6369573,-0.68153673,-0.66306865,-0.1125636,-0.076603115,-0.4599044,-0.4270304,0.032874
18,-0.63167286,-0.6308404,"('disagreeable', 'welcoming')",-1.1065828,-1.1655768,-0.6748513,-0.64670295,-0.33807665,-0.37030664,-0.6877959,-0.7033567,-0.0155608
19,-0.9084775,-0.89004356,"('inhospitable', 'hospitable')",-1.153694,-1.1779372,-1.6766423,-1.7230705,-0.023005184,0.03313883,-0.9404548,-0.9394782,0.0009766
20,-0.39349312,-0.3709328,"('rough', 'thoughtful')",-0.15397371,-0.06943807,0.8016288,0.8512506,1.1071954,1.0742798,0.3403394,0.3712899,0.0309505
21,-0.03000059,-0.06433403,"('immoral', 'moral')",1.0950786,1.0631934,0.46053052,0.44146132,-1.1044203,-1.0221343,0.1052971,0.1045466,-0.0007505
22,-0.7408635,-0.77278554,"('untrustworthy', 'trustworthy')",-0.6812969,-0.77094126,0.9046882,0.8634788,-1.0739444,-1.0994574,-0.3978541,-0.4449264,-0.0470723
23,-0.97822994,-1.0876186,"('insincere', 'sincere')",-0.24240987,-0.22594538,-0.1418858,-0.14314479,5.8340106,5.7805357,1.1178713,1.0809567,-0.0369146
24,-0.88333,-0.88147223,"('dishonest', 'honest')",0.57260936,0.54618776,-0.48282376,-0.48749998,0.6516844,0.60106075,-0.035465,-0.0554309,-0.0199659
25,-0.6380265,-0.6203897,"('egoistic', 'altruistic')",0.6800379,0.5802088,-0.10548343,-0.20544674,1.8391387,1.7448237,0.4439167,0.374799,-0.0691177
26,-0.40783298,-0.45262247,"('hardhearted', 'benevolent')",0.6770583,0.6612862,0.63949305,0.6111356,1.6433498,1.6009941,0.6380171,0.6051984,-0.0328187
27,-0.73576516,-0.70477957,"('hardhearted', 'softhearted')",0.058012065,0.14387308,-0.7697033,-0.73392224,1.3851777,1.2996141,-0.0155697,0.0011964,0.0167661
28,-0.8999631,-1.0173874,"('disloyal', 'loyal')",0.5075584,0.29997042,0.34329495,0.21514763,1.1434733,1.0351075,0.2735909,0.1332095,-0.1403814
29,-0.32245797,-0.35046926,"('unfair', 'fair')",-0.93261874,-0.9786111,-0.5020218,-0.5304965,-0.4449767,-0.5811433,-0.5505188,-0.61018,-0.0596612
30,-0.40030032,-0.46780178,"('intolerant', 'tolerant')",0.8827324,0.89648855,0.529688,0.48945403,1.0254751,1.0359437,0.5093988,0.4885211,-0.0208777
31,-1.0216008,-0.9288595,"('evil', 'good')",-1.1972737,-1.2091695,-1.4613361,-1.4322168,-0.45876896,-0.52750605,-1.0347449,-1.0244379,0.010307
32,-0.6178669,-0.66475743,"('unkind', 'kind')",0.124670915,0.10104977,0.45522395,0.3822204,0.6877128,0.6149163,0.1624352,0.1083573,-0.0540779
33,0.3576792,0.3477596,"('wrong', 'right')",1.2744089,1.1865456,-0.24777365,-0.2949487,-0.2144598,-0.2972651,0.2924637,0.2355229,-0.0569408
34,-0.3597935,-0.26059285,"('mean', 'honorable')",-0.046404928,0.08058973,-0.44564027,-0.30628347,6.25019,6.362109,1.3495878,1.4689556,0.1193678
35,0.5635888,0.50967467,"('corrupt', 'incorrupt')",-0.39316908,-0.5180584,-1.2410342,-1.3245854,0.6549326,0.43200544,-0.1039205,-0.2252409,-0.1213204
36,-0.6010816,-0.64179003,"('hostile', 'amicable')",-0.77228695,-0.975263,-1.2294517,-1.3517969,0.99496615,0.7855372,-0.4019635,-0.5458282,-0.1438647
37,0.45401952,0.47096542,"('fake', 'genuine')",0.33389047,0.32305792,-0.041848257,-0.006276224,0.5076197,0.5273259,0.3134204,0.3287683,0.0153479
38,-0.39027148,-0.42116123,"('untruthful', 'truthful')",0.4592662,0.37980083,-0.66372687,-0.68250704,-0.107101746,-0.10075988,-0.1754585,-0.2061568,-0.0306983
39,0.78574175,0.79649544,"('exploitative', 'cooperative')",0.44229713,0.56782454,1.8379341,1.8818623,0.11669828,0.09961013,0.7956678,0.8364481,0.0407803
40,-0.50343025,-0.5181242,"('stingy', 'generous')",0.3413918,0.2449301,0.17619452,0.21636382,-1.5429343,-1.6082621,-0.3821945,-0.4162731,-0.0340786
41,-0.70604837,-0.72285175,"('unforgiving', 'forgiving')",-0.6953168,-0.7865437,0.5351641,0.5359906,0.14594322,0.08966512,-0.1800645,-0.2209349,-0.0408704
42,0.41232672,0.44460484,"('unreliable', 'reliable')",0.25456852,0.29300684,1.0926733,1.2032306,-3.391368,-3.3299532,-0.4079498,-0.3472777,0.0606721
43,-0.8465923,-0.8362644,"('irresponsible', 'responsible')",0.98717076,1.0872452,0.5355662,0.59136236,0.3048589,0.3532899,0.2452509,0.2989083,0.0536574
