,intuit_male,intuit_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.1737242,-1.3758044,"('unsociable', 'sociable')",-0.41896966,-0.59928346,-0.7963469,-0.9875439,-0.191197
1,-0.9951999,-1.0817969,"('unfriendly', 'friendly')",1.3150287,1.197739,0.1599144,0.0579711,-0.1019433
2,0.48625118,0.5222791,"('unlikable', 'likable')",0.5945364,0.6327317,0.5403938,0.5775054,0.0371116
3,-0.55162007,-0.5513888,"('repellent', 'pleasant')",0.07899899,0.05355109,-0.2363105,-0.2489189,-0.0126084
4,-0.45358944,-0.43788886,"('disliked', 'liked')",-5.76647,-5.8599596,-3.1100297,-3.1489244,-0.0388947
5,-0.34751436,-0.2605237,"('distant', 'outgoing')",-0.29121453,-0.26293722,-0.3193644,-0.2617305,0.0576339
6,-0.36349818,-0.2807978,"('distant', 'open')",-0.009619944,-0.004223779,-0.1865591,-0.1425108,0.0440483
7,-0.7014584,-0.76529175,"('insensitive', 'sensitive')",0.117182404,0.16441962,-0.292138,-0.3004361,-0.0082981
8,-0.84389925,-0.8217988,"('unaffectionate', 'affectionate')",0.46646866,0.44946223,-0.1887153,-0.1861683,0.002547
9,-0.675916,-0.64743507,"('unaffectionate', 'caring')",0.9166459,0.97634554,0.1203649,0.1644552,0.0440903
10,-1.355889,-1.485444,"('unsympathetic', 'sympathetic')",-0.7064079,-0.76211774,-1.0311484,-1.1237808,-0.0926324
11,-0.48614076,-0.46908683,"('unhelpful', 'helpful')",1.6463178,1.8059765,0.5800886,0.6684449,0.0883563
12,-0.86101365,-0.84330726,"('unsupportive', 'supportive')",-1.8653281,-1.8173928,-1.3631709,-1.33035,0.0328209
13,-0.6413117,-0.7773905,"('impolite', 'polite')",-0.64883506,-0.65222585,-0.6450734,-0.7148082,-0.0697348
14,-0.056983065,-0.15771796,"('antisocial', 'social')",-0.56369936,-0.6510228,-0.3103412,-0.4043704,-0.0940292
15,0.6974998,0.65764725,"('boring', 'funny')",0.3690565,0.33059508,0.5332782,0.4941212,-0.039157
16,-0.34598607,-0.30940282,"('unpopular', 'popular')",0.581408,0.5038225,0.117711,0.0972098,-0.0205012
17,0.014152044,0.08250548,"('nasty', 'nice')",-0.14479695,-0.08856034,-0.0653225,-0.0030274,0.0622951
18,-0.13344614,-0.17866138,"('disagreeable', 'welcoming')",-0.4680165,-0.5142224,-0.3007313,-0.3464419,-0.0457106
19,-1.0047973,-0.9825979,"('inhospitable', 'hospitable')",-0.29473686,-0.2277672,-0.6497671,-0.6051825,0.0445846
20,0.27992722,0.26878083,"('rough', 'thoughtful')",1.1255982,1.0786756,0.7027627,0.6737282,-0.0290345
21,0.076645695,-0.0711004,"('immoral', 'moral')",-0.537759,-0.599534,-0.2305567,-0.3353172,-0.1047605
22,-0.6265423,-0.75555265,"('untrustworthy', 'trustworthy')",-1.1244217,-1.2010447,-0.875482,-0.9782987,-0.1028167
23,-0.85734904,-0.94601655,"('insincere', 'sincere')",5.245645,5.318088,2.1941481,2.1860356,-0.0081125
24,-0.70053226,-0.7447728,"('dishonest', 'honest')",0.54820573,0.56712615,-0.0761633,-0.0888233,-0.01266
25,0.15698382,0.15827987,"('egoistic', 'altruistic')",1.528006,1.4429516,0.8424949,0.8006157,-0.0418792
26,0.9668519,0.85156953,"('hardhearted', 'benevolent')",1.6278131,1.5086322,1.2973325,1.1801009,-0.1172316
27,-0.018752147,0.041784532,"('hardhearted', 'softhearted')",1.2238854,1.1728587,0.6025667,0.6073216,0.0047549
28,-0.922975,-0.99313474,"('disloyal', 'loyal')",0.70468414,0.65566146,-0.1091454,-0.1687366,-0.0595912
29,-0.1889536,-0.18498343,"('unfair', 'fair')",-0.4642279,-0.60044354,-0.3265907,-0.3927135,-0.0661228
30,0.231233,0.12721789,"('intolerant', 'tolerant')",1.2481445,1.178855,0.7396888,0.6530364,-0.0866524
31,-0.51864386,-0.42815506,"('evil', 'good')",-1.0563695,-1.1482468,-0.7875067,-0.7882009,-0.0006942
32,-0.23575318,-0.32516816,"('unkind', 'kind')",0.9261478,0.8456915,0.3451973,0.2602617,-0.0849356
33,0.5322864,0.5426828,"('wrong', 'right')",-0.4574927,-0.49251688,0.0373968,0.025083,-0.0123138
34,0.236705,0.2940611,"('mean', 'honorable')",5.517869,5.741726,2.8772869,3.0178936,0.1406067
35,0.46115196,0.49331105,"('corrupt', 'incorrupt')",-0.06982542,-0.16843952,0.1956633,0.1624358,-0.0332275
36,-0.23808846,-0.29816744,"('hostile', 'amicable')",0.061254017,-0.15367998,-0.0884172,-0.2259237,-0.1375065
37,0.05312766,0.05962296,"('fake', 'genuine')",0.073932335,0.08990759,0.06353,0.0747653,0.0112353
38,-0.35700816,-0.3137796,"('untruthful', 'truthful')",0.037540097,0.18357968,-0.159734,-0.0651,0.094634
39,0.79624593,0.7495523,"('exploitative', 'cooperative')",0.2439467,0.2258152,0.5200963,0.4876838,-0.0324125
40,-0.25701305,-0.2663403,"('stingy', 'generous')",-1.4837039,-1.618663,-0.8703585,-0.9425016,-0.0721431
41,-0.19903587,-0.23263861,"('unforgiving', 'forgiving')",-0.042351432,-0.15798584,-0.1206937,-0.1953122,-0.0746185
42,-0.030842924,-0.06692461,"('unreliable', 'reliable')",-3.2162127,-3.189685,-1.6235279,-1.6283048,-0.0047769
43,-1.2368181,-1.2890117,"('irresponsible', 'responsible')",-0.020384008,0.001960002,-0.628601,-0.6435258,-0.0149248
44,0.88385606,0.91105354,"('prejudiced', 'unprejudiced')",-1.1837394,-1.198203,-0.1499417,-0.1435747,0.006367
45,-1.219855,-1.2768135,"('incompetent', 'competent')",-0.37993,-0.42544174,-0.7998925,-0.8511276,-0.0512351
46,-1.2020772,-1.2725012,"('uncompetitive', 'competitive')",-0.9642083,-1.0123402,-1.0831428,-1.1424208,-0.059278
47,0.2001266,0.22341222,"('stupid', 'smart')",5.093165,5.262177,2.6466458,2.7427945,0.0961487
48,0.34043938,0.25092283,"('unintelligent', 'intelligent')",0.921383,0.907077,0.6309112,0.5789999,-0.0519113
49,0.32398945,0.34746885,"('unable', 'able')",-0.017446011,0.061955385,0.1532717,0.2047121,0.0514404
50,0.15313074,0.17407292,"('clumsy', 'skillful')",0.27325186,0.2592289,0.2131913,0.2166509,0.0034596
51,-0.82349116,-0.93782115,"('uneducated', 'educated')",0.5562028,0.5201939,-0.1336442,-0.2088136,-0.0751694
52,0.11959006,0.045534052,"('irrational', 'rational')",0.41198117,0.18518041,0.2657856,0.1153572,-0.1504284
53,-1.2584982,-1.3884932,"('uncreative', 'creative')",0.49583378,0.4267483,-0.3813322,-0.4808725,-0.0995403
54,-0.08267425,-0.1283704,"('incapable', 'capable')",0.82690233,0.9068933,0.372114,0.3892615,0.0171475
55,-0.7864827,-0.8815971,"('incompetent', 'clever')",0.035721313,-0.006679293,-0.3753807,-0.4441382,-0.0687575
