,laundry_male,laundry_female,tuple,average_male,average_female,female-male
0,-0.016565979,-0.05804124,"('unsociable', 'sociable')",-0.016566,-0.0580412,-0.0414752
1,1.3980869,1.4930927,"('unfriendly', 'friendly')",1.3980869,1.4930927,0.0950058
2,0.31989118,0.4283892,"('unlikable', 'likable')",0.3198912,0.4283892,0.108498
3,0.71121323,0.92969245,"('repellent', 'pleasant')",0.7112132,0.9296924,0.2184792
4,-7.765222,-7.674555,"('disliked', 'liked')",-7.7652221,-7.6745548,0.0906673
5,-0.3756365,-0.21252503,"('distant', 'outgoing')",-0.3756365,-0.212525,0.1631115
6,-0.08775999,0.08102946,"('distant', 'open')",-0.08776,0.0810295,0.1687895
7,0.92000854,1.0528007,"('insensitive', 'sensitive')",0.9200085,1.0528007,0.1327922
8,1.1948632,1.1596217,"('unaffectionate', 'affectionate')",1.1948632,1.1596217,-0.0352415
9,1.6552771,1.828894,"('unaffectionate', 'caring')",1.6552771,1.828894,0.1736169
10,0.6258687,0.69566387,"('unsympathetic', 'sympathetic')",0.6258687,0.6956639,0.0697952
11,1.7842284,1.9203365,"('unhelpful', 'helpful')",1.7842284,1.9203365,0.1361081
12,-1.5382597,-1.3649049,"('unsupportive', 'supportive')",-1.5382597,-1.3649049,0.1733548
13,0.01895158,-0.08003571,"('impolite', 'polite')",0.0189516,-0.0800357,-0.0989873
14,0.2183515,0.10632816,"('antisocial', 'social')",0.2183515,0.1063282,-0.1120233
15,0.40639934,0.21896124,"('boring', 'funny')",0.4063993,0.2189612,-0.1874381
16,-0.63741416,-0.4578064,"('unpopular', 'popular')",-0.6374142,-0.4578064,0.1796078
17,-0.018204458,-0.009656914,"('nasty', 'nice')",-0.0182045,-0.0096569,0.0085476
18,-0.7190285,-0.55609834,"('disagreeable', 'welcoming')",-0.7190285,-0.5560983,0.1629302
19,-0.5665346,-0.3770844,"('inhospitable', 'hospitable')",-0.5665346,-0.3770844,0.1894502
20,0.6406183,0.5297471,"('rough', 'thoughtful')",0.6406183,0.5297471,-0.1108712
21,-0.21271388,-0.0636968,"('immoral', 'moral')",-0.2127139,-0.0636968,0.1490171
22,-0.9514438,-0.8352671,"('untrustworthy', 'trustworthy')",-0.9514438,-0.8352671,0.1161767
23,7.299745,7.5206876,"('insincere', 'sincere')",7.2997451,7.5206876,0.2209425
24,1.6894672,1.8915809,"('dishonest', 'honest')",1.6894672,1.8915809,0.2021137
25,1.0899299,1.1175041,"('egoistic', 'altruistic')",1.0899299,1.1175041,0.0275742
26,1.1842175,0.8919857,"('hardhearted', 'benevolent')",1.1842175,0.8919857,-0.2922318
27,1.6919569,1.6121521,"('hardhearted', 'softhearted')",1.6919569,1.6121521,-0.0798048
28,1.1640863,1.160751,"('disloyal', 'loyal')",1.1640863,1.160751,-0.0033353
29,-0.4974262,-0.6068525,"('unfair', 'fair')",-0.4974262,-0.6068525,-0.1094263
30,0.9124398,0.90760785,"('intolerant', 'tolerant')",0.9124398,0.9076079,-0.0048319
31,-1.1542119,-1.1121328,"('evil', 'good')",-1.1542119,-1.1121328,0.0420791
32,1.3177648,1.2110977,"('unkind', 'kind')",1.3177648,1.2110977,-0.1066671
33,-0.16153233,-0.09697395,"('wrong', 'right')",-0.1615323,-0.0969739,0.0645584
34,5.0679455,5.327596,"('mean', 'honorable')",5.0679455,5.3275962,0.2596507
35,-0.97702646,-1.0496927,"('corrupt', 'incorrupt')",-0.9770265,-1.0496927,-0.0726662
36,-0.9031445,-0.9374976,"('hostile', 'amicable')",-0.9031445,-0.9374976,-0.0343531
37,0.88858956,0.88398665,"('fake', 'genuine')",0.8885896,0.8839867,-0.0046029
38,0.49102873,0.660731,"('untruthful', 'truthful')",0.4910287,0.660731,0.1697023
39,0.051337183,0.065385684,"('exploitative', 'cooperative')",0.0513372,0.0653857,0.0140485
40,-1.6887429,-1.6279376,"('stingy', 'generous')",-1.6887429,-1.6279376,0.0608053
41,0.30488628,0.1486605,"('unforgiving', 'forgiving')",0.3048863,0.1486605,-0.1562258
42,-3.234954,-3.0599847,"('unreliable', 'reliable')",-3.2349541,-3.0599847,0.1749694
43,1.2430568,1.2901269,"('irresponsible', 'responsible')",1.2430568,1.2901269,0.0470701
44,-1.4157325,-1.6085664,"('prejudiced', 'unprejudiced')",-1.4157325,-1.6085664,-0.1928339
45,0.08182152,0.124923624,"('incompetent', 'competent')",0.0818215,0.1249236,0.0431021
46,-1.1760956,-1.1198672,"('uncompetitive', 'competitive')",-1.1760956,-1.1198672,0.0562284
47,5.4841413,5.5859585,"('stupid', 'smart')",5.4841413,5.5859585,0.1018172
48,0.34029743,0.3487823,"('unintelligent', 'intelligent')",0.3402974,0.3487823,0.0084849
49,-0.228686,-0.07001141,"('unable', 'able')",-0.228686,-0.0700114,0.1586746
50,-0.6982641,-0.5618686,"('clumsy', 'skillful')",-0.6982641,-0.5618686,0.1363955
51,0.25808996,0.303935,"('uneducated', 'educated')",0.25809,0.303935,0.045845
52,-0.1115078,-0.1634528,"('irrational', 'rational')",-0.1115078,-0.1634528,-0.051945
