,marathon_male,marathon_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.2296555,-1.4119078,"('unsociable', 'sociable')",0.7066665,0.56291795,-0.30492204,-0.40685305,-0.2759703,-0.4186143,-0.142644
1,0.38739002,0.19018167,"('unfriendly', 'friendly')",1.5663098,1.1573197,1.1926639,0.9763145,1.0487879,0.7746053,-0.2741826
2,0.43347833,0.44857952,"('unlikable', 'likable')",1.6481597,1.6441237,0.712096,0.73825526,0.9312447,0.9436528,0.0124081
3,0.029468171,0.003305547,"('repellent', 'pleasant')",-0.14354831,-0.1571883,1.0330014,1.0904961,0.3063071,0.3122044,0.0058973
4,0.13417125,0.045530576,"('disliked', 'liked')",-0.14414108,-0.2993642,-6.672279,-6.707815,-2.2274162,-2.3205496,-0.0931334
5,-0.14296883,-0.13176067,"('distant', 'outgoing')",-0.5977131,-0.7135573,-0.8499863,-0.8930002,-0.5302227,-0.5794394,-0.0492167
6,-0.07109828,-0.0956445,"('distant', 'open')",-0.6193559,-0.80767775,-0.6985653,-0.78695667,-0.4630065,-0.5634263,-0.1004198
7,0.5116279,0.4805956,"('insensitive', 'sensitive')",1.2619181,1.2422833,0.7109673,0.69214535,0.8281711,0.8050081,-0.023163
8,0.52456313,0.42218888,"('unaffectionate', 'affectionate')",0.09508262,-0.09517865,0.28013322,0.16460611,0.2999263,0.1638721,-0.1360542
9,1.6594166,1.5535092,"('unaffectionate', 'caring')",0.5465318,0.36992565,0.9275306,0.8396806,1.044493,0.9210385,-0.1234545
10,-0.17768142,-0.31646204,"('unsympathetic', 'sympathetic')",-0.17255953,-0.2923051,-0.39146018,-0.41903538,-0.2472337,-0.3426008,-0.0953671
11,-0.5377451,-0.5179662,"('unhelpful', 'helpful')",0.8228791,0.84519476,1.4542967,1.5533414,0.5798102,0.6268566,0.0470464
12,0.88268507,0.7962841,"('unsupportive', 'supportive')",1.095631,1.0136361,-1.6751101,-1.7316009,0.1010687,0.0261064,-0.0749623
13,-0.36551806,-0.46035162,"('impolite', 'polite')",0.48577878,0.50784624,-0.79961485,-0.7795619,-0.2264514,-0.2440224,-0.017571
14,-0.48098946,-0.47781473,"('antisocial', 'social')",1.4467155,1.5117553,0.15130444,0.13519298,0.3723435,0.3897112,0.0173677
15,0.37207365,0.3301075,"('boring', 'funny')",0.24967721,0.16645026,-0.15042427,-0.20146048,0.1571089,0.0983658,-0.0587431
16,-1.4062513,-1.4643934,"('unpopular', 'popular')",-0.5085245,-0.61422324,0.075335056,0.047562644,-0.6131469,-0.677018,-0.0638711
17,-0.5291973,-0.4777832,"('nasty', 'nice')",-1.2897214,-1.2538251,-0.50775015,-0.42371646,-0.7755562,-0.7184416,0.0571146
18,0.97572875,0.8798673,"('disagreeable', 'welcoming')",0.13442619,0.038291484,-0.67368495,-0.7523715,0.14549,0.0552624,-0.0902276
19,-0.7871424,-0.7668879,"('inhospitable', 'hospitable')",-1.3406348,-1.4550447,-0.92468673,-0.88717526,-1.0174879,-1.0363693,-0.0188814
20,-0.8203673,-0.68469155,"('rough', 'thoughtful')",-0.8247694,-0.7407923,0.26134902,0.28264564,-0.4612625,-0.3809461,0.0803164
21,0.010610572,-0.1315093,"('immoral', 'moral')",1.7264135,1.5948669,-0.23113427,-0.18653041,0.5019633,0.425609,-0.0763543
22,-0.28909156,-0.37457964,"('untrustworthy', 'trustworthy')",0.8708095,0.7623025,-0.66632855,-0.72133553,-0.0282035,-0.1112042,-0.0830007
23,0.19284135,0.09447935,"('insincere', 'sincere')",1.0181676,0.8804111,5.5348854,5.4250617,2.2486315,2.1333173,-0.1153142
24,1.2813765,1.2386891,"('dishonest', 'honest')",1.4990228,1.4074379,0.41645133,0.38156465,1.0656169,1.0092305,-0.0563864
25,0.80260175,0.6985961,"('egoistic', 'altruistic')",1.0314412,0.8954385,1.4544791,1.3857398,1.0961741,0.9932582,-0.1029159
26,1.5521877,1.4028406,"('hardhearted', 'benevolent')",1.3701739,1.2344993,1.8821554,1.7671287,1.6015056,1.4681562,-0.1333494
27,0.45779595,0.46989393,"('hardhearted', 'softhearted')",-0.21901172,-0.20241073,1.0610778,0.94039464,0.4332873,0.402626,-0.0306613
28,0.4617914,0.30048043,"('disloyal', 'loyal')",0.67555946,0.46380514,0.7990091,0.6827552,0.6454533,0.4823469,-0.1631064
29,-0.18825006,-0.3021376,"('unfair', 'fair')",0.021761514,-0.037665084,-0.08784039,-0.22742468,-0.0847763,-0.1890758,-0.1042995
30,0.09843676,0.03927638,"('intolerant', 'tolerant')",0.36638898,0.39636284,0.5267828,0.5200656,0.3305362,0.3185683,-0.0119679
31,-0.78939456,-0.7956253,"('evil', 'good')",-0.8203522,-0.9443512,-0.99364007,-1.0861963,-0.8677956,-0.9420576,-0.074262
32,0.5366386,0.38608536,"('unkind', 'kind')",0.59642017,0.45820594,0.86093956,0.67339385,0.6646661,0.5058951,-0.158771
33,0.879367,0.7751869,"('wrong', 'right')",1.3301489,1.2179447,-0.4365795,-0.53059596,0.5909789,0.4875119,-0.103467
34,-1.1864309,-1.1393509,"('mean', 'honorable')",0.21086949,0.2529264,4.5446186,4.7310524,1.1896857,1.2815426,0.0918569
35,-0.398126,-0.3915668,"('corrupt', 'incorrupt')",-1.6644785,-1.7611679,-0.9305883,-1.0633252,-0.9977309,-1.07202,-0.0742891
36,-0.606997,-0.6793363,"('hostile', 'amicable')",-1.4275612,-1.8075515,-0.55171657,-0.74717814,-0.8620916,-1.078022,-0.2159304
37,0.14739375,0.08645125,"('fake', 'genuine')",0.3269063,0.29386562,-0.03451943,-0.07862907,0.1465935,0.1005626,-0.0460309
38,-0.07279548,-0.18043417,"('untruthful', 'truthful')",0.7470342,0.56068474,-0.25875768,-0.22256131,0.1384937,0.0525631,-0.0859306
39,1.3674883,1.5148187,"('exploitative', 'cooperative')",0.4872665,0.64642215,0.19150566,0.2850757,0.6820868,0.8154388,0.133352
40,1.1779612,1.0184416,"('stingy', 'generous')",0.9147298,0.7953949,-1.8202535,-1.9318798,0.0908125,-0.0393478,-0.1301603
41,0.14801353,-0.01972024,"('unforgiving', 'forgiving')",0.8162732,0.5928865,-0.1676801,-0.3161241,0.2655356,0.0856807,-0.1798549
42,0.6297469,0.6476614,"('unreliable', 'reliable')",0.80400187,0.8521365,-2.739823,-2.663361,-0.4353581,-0.3878544,0.0475037
43,0.037783362,0.08885476,"('irresponsible', 'responsible')",0.40066266,0.49091846,0.16360956,0.19377147,0.2006852,0.2578482,0.057163
44,-0.95421046,-0.7910689,"('prejudiced', 'unprejudiced')",-0.5437373,-0.38211766,-1.4245819,-1.3978558,-0.9741766,-0.8570141,0.1171625
45,-0.6374959,-0.71693027,"('incompetent', 'competent')",0.58062994,0.45650202,0.07947467,0.03752431,0.0075362,-0.0743013,-0.0818375
46,-0.42497247,-0.54974335,"('uncompetitive', 'competitive')",0.86671954,0.8242468,-0.8006462,-0.8459675,-0.119633,-0.190488,-0.070855
47,-1.0701838,-1.0268219,"('stupid', 'smart')",0.6670787,0.70665187,4.8061,4.865778,1.4676649,1.5152027,0.0475378
48,0.37834367,0.23360194,"('unintelligent', 'intelligent')",1.3403338,1.2769428,0.52273726,0.51999855,0.7471383,0.6768478,-0.0702905
49,-0.56708235,-0.5350659,"('unable', 'able')",-0.88015056,-0.77236736,-0.9394204,-0.85195905,-0.7955511,-0.7197975,0.0757536
50,-0.49558383,-0.50403106,"('clumsy', 'skillful')",-0.17852014,-0.29443413,-0.112657666,-0.20423414,-0.2622539,-0.3342331,-0.0719792
51,-0.7267727,-0.908751,"('uneducated', 'educated')",-0.2383565,-0.31442216,0.39692912,0.31316623,-0.1894,-0.3033356,-0.1139356
52,0.32017392,0.18521267,"('irrational', 'rational')",0.35841355,0.12708668,0.2953681,0.1717365,0.3246518,0.1613453,-0.1633065
53,0.38419527,0.32369936,"('uncreative', 'creative')",0.7513563,0.5061204,0.22863203,0.06254384,0.4547279,0.2974545,-0.1572734
54,0.0890124,-0.019751983,"('incapable', 'capable')",-0.19524266,-0.31618816,0.574645,0.53930575,0.1561382,0.0677885,-0.0883497
55,-0.5381954,-0.5755427,"('incompetent', 'clever')",0.7745701,0.8228784,0.23074229,0.26744998,0.1557057,0.1715952,0.0158895
56,-0.68106294,-0.7060517,"('impractical', 'practical')",0.7972108,0.8240268,-0.9565293,-0.9151108,-0.2801271,-0.2657119,0.0144152
