,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.6827321,-1.7369919,"('unsociable', 'sociable')",-0.4330139,-0.5568938,-1.057873,-1.1469429,-0.0890699
1,-1.001956,-1.1433944,"('unfriendly', 'friendly')",1.7939788,1.6451236,0.3960114,0.2508646,-0.1451468
2,0.6653925,0.7686731,"('unlikable', 'likable')",0.52337986,0.61200345,0.5943862,0.6903383,0.0959521
3,-1.3348771,-1.2375628,"('repellent', 'pleasant')",-0.12936887,-0.10747981,-0.732123,-0.6725213,0.0596017
4,1.0897089,0.9760995,"('disliked', 'liked')",-5.6416607,-5.774821,-2.2759759,-2.3993607,-0.1233848
5,1.0305908,1.0112838,"('distant', 'outgoing')",-0.073789425,-0.09852424,0.4784007,0.4563798,-0.0220209
6,0.89359576,0.88299096,"('distant', 'open')",0.30654132,0.21828428,0.6000686,0.5506376,-0.049431
7,-0.9368357,-0.92479515,"('insensitive', 'sensitive')",0.44388303,0.4248324,-0.2464763,-0.2499814,-0.0035051
8,0.4099498,0.3611539,"('unaffectionate', 'affectionate')",1.2326189,1.1045355,0.8212844,0.7328447,-0.0884397
9,-0.012056634,-0.08873452,"('unaffectionate', 'caring')",1.1696937,1.0738467,0.5788186,0.4925561,-0.0862625
10,-2.3163,-2.3515904,"('unsympathetic', 'sympathetic')",-0.07539958,-0.16578238,-1.1958498,-1.2586864,-0.0628366
11,-1.7876694,-1.7392493,"('unhelpful', 'helpful')",1.4414375,1.4772277,-0.173116,-0.1310108,0.0421052
12,-1.1431016,-1.1205105,"('unsupportive', 'supportive')",-1.3722578,-1.3967173,-1.2576797,-1.2586138,-0.0009341
13,-0.986932,-0.96403885,"('impolite', 'polite')",-0.8222833,-0.79170734,-0.9046077,-0.8778731,0.0267346
14,-1.269144,-1.2258929,"('antisocial', 'social')",-0.5870138,-0.62201685,-0.9280789,-0.9239548,0.0041241
15,0.16229151,0.11893369,"('boring', 'funny')",0.42375124,0.42035615,0.2930214,0.2696449,-0.0233765
