,miss_male,miss_female,tuple,average_male,average_female,female-male
0,0.42614523,0.23301661,"('unsociable', 'sociable')",0.4261452,0.2330166,-0.1931286
1,0.87443966,0.93709475,"('unfriendly', 'friendly')",0.8744397,0.9370947,0.062655
2,-0.11016171,0.051081255,"('unlikable', 'likable')",-0.1101617,0.0510813,0.161243
3,0.82853,0.8385812,"('repellent', 'pleasant')",0.82853,0.8385812,0.0100512
4,-6.882618,-7.0549755,"('disliked', 'liked')",-6.882618,-7.0549755,-0.1723575
5,-0.6019155,-0.5188033,"('distant', 'outgoing')",-0.6019155,-0.5188033,0.0831122
6,-0.16577026,-0.16467214,"('distant', 'open')",-0.1657703,-0.1646721,0.0010982
7,1.1436824,1.0952272,"('insensitive', 'sensitive')",1.1436824,1.0952272,-0.0484552
8,0.9653449,1.0935451,"('unaffectionate', 'affectionate')",0.9653449,1.0935451,0.1282002
9,1.1438391,1.3697737,"('unaffectionate', 'caring')",1.1438391,1.3697737,0.2259346
10,0.9110208,0.97648877,"('unsympathetic', 'sympathetic')",0.9110208,0.9764888,0.065468
11,1.4664873,1.5634853,"('unhelpful', 'helpful')",1.4664873,1.5634853,0.096998
12,-1.6854666,-1.650563,"('unsupportive', 'supportive')",-1.6854666,-1.650563,0.0349036
13,-0.07472347,-0.011403672,"('impolite', 'polite')",-0.0747235,-0.0114037,0.0633198
14,0.4316581,0.40808594,"('antisocial', 'social')",0.4316581,0.4080859,-0.0235722
15,0.5443442,0.5838334,"('boring', 'funny')",0.5443442,0.5838334,0.0394892
16,-0.7344068,-0.6441898,"('unpopular', 'popular')",-0.7344068,-0.6441898,0.090217
17,0.33090854,0.417547,"('nasty', 'nice')",0.3309085,0.417547,0.0866385
18,-0.7466399,-0.6901883,"('disagreeable', 'welcoming')",-0.7466399,-0.6901883,0.0564516
19,-0.838961,-0.5844468,"('inhospitable', 'hospitable')",-0.838961,-0.5844468,0.2545142
20,0.40577787,0.22388974,"('rough', 'thoughtful')",0.4057779,0.2238897,-0.1818882
21,-0.26015013,-0.048403922,"('immoral', 'moral')",-0.2601501,-0.0484039,0.2117462
22,-0.037183993,-0.00075965934,"('untrustworthy', 'trustworthy')",-0.037184,-0.0007597,0.0364243
23,5.638749,5.9182606,"('insincere', 'sincere')",5.6387491,5.9182606,0.2795115
24,1.1520025,1.281099,"('dishonest', 'honest')",1.1520025,1.281099,0.1290965
25,0.6346174,0.5990907,"('egoistic', 'altruistic')",0.6346174,0.5990907,-0.0355267
26,1.366736,1.1838034,"('hardhearted', 'benevolent')",1.3667361,1.1838034,-0.1829327
27,1.6240861,1.4446317,"('hardhearted', 'softhearted')",1.6240861,1.4446317,-0.1794544
28,1.2098045,1.0848022,"('disloyal', 'loyal')",1.2098045,1.0848022,-0.1250023
29,-0.22060683,-0.4470711,"('unfair', 'fair')",-0.2206068,-0.4470711,-0.2264643
30,0.93945646,0.9642868,"('intolerant', 'tolerant')",0.9394565,0.9642868,0.0248303
31,-1.0899247,-1.1961479,"('evil', 'good')",-1.0899247,-1.1961479,-0.1062232
32,1.28856,1.241795,"('unkind', 'kind')",1.28856,1.2417949,-0.0467651
33,-0.54731876,-0.5449386,"('wrong', 'right')",-0.5473188,-0.5449386,0.0023802
34,3.9725893,4.3070436,"('mean', 'honorable')",3.9725893,4.3070436,0.3344543
35,-0.6667733,-0.91226476,"('corrupt', 'incorrupt')",-0.6667733,-0.9122648,-0.2454915
