,motorcycle_male,motorcycle_female,tuple,average_male,average_female,female-male
0,-0.4363554,-0.452073,"('unsociable', 'sociable')",-0.4363554,-0.452073,-0.0157176
1,2.1178935,1.8956277,"('unfriendly', 'friendly')",2.1178935,1.8956277,-0.2222658
2,0.42088997,0.4964497,"('unlikable', 'likable')",0.42089,0.4964497,0.0755597
3,-0.14297716,0.007195308,"('repellent', 'pleasant')",-0.1429772,0.0071953,0.1501725
4,-6.9188128,-7.058166,"('disliked', 'liked')",-6.9188128,-7.058166,-0.1393532
5,0.63292533,0.5388034,"('distant', 'outgoing')",0.6329253,0.5388034,-0.0941219
6,1.0432873,0.8838509,"('distant', 'open')",1.0432873,0.8838509,-0.1594364
7,0.40746456,0.5010659,"('insensitive', 'sensitive')",0.4074646,0.5010659,0.0936013
8,1.9299934,1.7345849,"('unaffectionate', 'affectionate')",1.9299934,1.7345849,-0.1954085
9,2.3605974,2.303876,"('unaffectionate', 'caring')",2.3605974,2.3038759,-0.0567215
10,-0.046905488,0.069522336,"('unsympathetic', 'sympathetic')",-0.0469055,0.0695223,0.1164278
11,1.5529083,1.6685181,"('unhelpful', 'helpful')",1.5529083,1.6685181,0.1156098
12,-1.6871184,-1.6708903,"('unsupportive', 'supportive')",-1.6871184,-1.6708903,0.0162281
13,-0.74635166,-0.67308915,"('impolite', 'polite')",-0.7463517,-0.6730891,0.0732626
14,-0.71378577,-0.6846952,"('antisocial', 'social')",-0.7137858,-0.6846952,0.0290906
15,0.6427385,0.57085,"('boring', 'funny')",0.6427385,0.57085,-0.0718885
16,0.06546427,-0.016212247,"('unpopular', 'popular')",0.0654643,-0.0162122,-0.0816765
17,-0.15482606,-0.100424744,"('nasty', 'nice')",-0.1548261,-0.1004247,0.0544014
18,-0.6535439,-0.6712296,"('disagreeable', 'welcoming')",-0.6535439,-0.6712296,-0.0176857
19,0.15719579,0.08711675,"('inhospitable', 'hospitable')",0.1571958,0.0871167,-0.0700791
