,mouser_male,mouser_female,tuple,average_male,average_female,female-male
0,0.24916792,0.0573435,"('unsociable', 'sociable')",0.2491679,0.0573435,-0.1918244
1,0.061605744,0.0151599925,"('unfriendly', 'friendly')",0.0616057,0.01516,-0.0464457
2,-0.32637,-0.33136714,"('unlikable', 'likable')",-0.32637,-0.3313671,-0.0049971
3,-0.41573802,-0.36780468,"('repellent', 'pleasant')",-0.415738,-0.3678047,0.0479333
4,-3.6199384,-3.6059172,"('disliked', 'liked')",-3.6199384,-3.6059172,0.0140212
5,-1.456035,-1.349077,"('distant', 'outgoing')",-1.456035,-1.349077,0.106958
6,-1.5725482,-1.4763733,"('distant', 'open')",-1.5725482,-1.4763733,0.0961749
7,0.7471858,0.7247782,"('insensitive', 'sensitive')",0.7471858,0.7247782,-0.0224076
8,0.35828695,0.28192765,"('unaffectionate', 'affectionate')",0.3582869,0.2819276,-0.0763593
9,0.42858016,0.37982842,"('unaffectionate', 'caring')",0.4285802,0.3798284,-0.0487518
10,0.4248297,0.2557345,"('unsympathetic', 'sympathetic')",0.4248297,0.2557345,-0.1690952
11,1.4380969,1.3570759,"('unhelpful', 'helpful')",1.4380969,1.3570759,-0.081021
12,-1.0639616,-1.093828,"('unsupportive', 'supportive')",-1.0639616,-1.093828,-0.0298664
13,0.29338247,0.15803608,"('impolite', 'polite')",0.2933825,0.1580361,-0.1353464
14,0.6192226,0.4969988,"('antisocial', 'social')",0.6192226,0.4969988,-0.1222238
15,0.98739344,0.9843228,"('boring', 'funny')",0.9873934,0.9843228,-0.0030706
16,-0.5899164,-0.61729455,"('unpopular', 'popular')",-0.5899164,-0.6172945,-0.0273781
17,-0.13713923,-0.11386254,"('nasty', 'nice')",-0.1371392,-0.1138625,0.0232767
18,-0.98327386,-1.0355189,"('disagreeable', 'welcoming')",-0.9832739,-1.0355189,-0.052245
19,-0.9389453,-0.8396031,"('inhospitable', 'hospitable')",-0.9389453,-0.8396031,0.0993422
20,0.7178358,0.67828196,"('rough', 'thoughtful')",0.7178358,0.678282,-0.0395538
21,0.36871478,0.35481924,"('immoral', 'moral')",0.3687148,0.3548192,-0.0138956
22,-0.22920908,-0.34346974,"('untrustworthy', 'trustworthy')",-0.2292091,-0.3434697,-0.1142606
23,2.9348536,2.7597854,"('insincere', 'sincere')",2.9348536,2.7597854,-0.1750682
24,0.42483336,0.28516132,"('dishonest', 'honest')",0.4248334,0.2851613,-0.1396721
25,0.07619111,0.07097836,"('egoistic', 'altruistic')",0.0761911,0.0709784,-0.0052127
26,0.4902193,0.41033563,"('hardhearted', 'benevolent')",0.4902193,0.4103356,-0.0798837
27,1.0490602,0.8668432,"('hardhearted', 'softhearted')",1.0490602,0.8668432,-0.182217
28,0.87536085,0.78711814,"('disloyal', 'loyal')",0.8753608,0.7871181,-0.0882427
29,-0.22626682,-0.25001916,"('unfair', 'fair')",-0.2262668,-0.2500192,-0.0237524
30,0.89098775,0.8051183,"('intolerant', 'tolerant')",0.8909878,0.8051183,-0.0858695
31,-1.6675183,-1.5488732,"('evil', 'good')",-1.6675183,-1.5488732,0.1186451
32,0.5897014,0.4221841,"('unkind', 'kind')",0.5897014,0.4221841,-0.1675173
33,-0.17088795,-0.16337568,"('wrong', 'right')",-0.1708879,-0.1633757,0.0075122
34,1.8371843,2.0156145,"('mean', 'honorable')",1.8371843,2.0156145,0.1784302
35,-0.2535302,-0.16535047,"('corrupt', 'incorrupt')",-0.2535302,-0.1653505,0.0881797
36,-0.74949044,-0.645867,"('hostile', 'amicable')",-0.7494904,-0.645867,0.1036234
37,0.8418683,0.77555805,"('fake', 'genuine')",0.8418683,0.7755581,-0.0663102
38,-0.0066453405,-0.037845567,"('untruthful', 'truthful')",-0.0066453,-0.0378456,-0.0312003
39,0.72017276,0.7150692,"('exploitative', 'cooperative')",0.7201728,0.7150692,-0.0051036
40,-1.7894293,-1.8335766,"('stingy', 'generous')",-1.7894293,-1.8335766,-0.0441473
41,0.51586604,0.46401882,"('unforgiving', 'forgiving')",0.515866,0.4640188,-0.0518472
42,-1.3766788,-1.4498401,"('unreliable', 'reliable')",-1.3766788,-1.4498401,-0.0731613
43,0.56277686,0.4577048,"('irresponsible', 'responsible')",0.5627769,0.4577048,-0.1050721
44,-1.061165,-1.0534004,"('prejudiced', 'unprejudiced')",-1.061165,-1.0534004,0.0077646
45,0.34586552,0.27706167,"('incompetent', 'competent')",0.3458655,0.2770617,-0.0688038
46,-0.34346685,-0.49261123,"('uncompetitive', 'competitive')",-0.3434668,-0.4926112,-0.1491444
47,2.630367,2.6803012,"('stupid', 'smart')",2.630367,2.6803012,0.0499342
48,0.7514412,0.7135612,"('unintelligent', 'intelligent')",0.7514412,0.7135612,-0.03788
49,-0.05404203,0.014503792,"('unable', 'able')",-0.054042,0.0145038,0.0685458
50,-0.08466491,-0.16593131,"('clumsy', 'skillful')",-0.0846649,-0.1659313,-0.0812664
51,0.14007254,0.027768884,"('uneducated', 'educated')",0.1400725,0.0277689,-0.1123036
52,-0.7801278,-0.80292773,"('irrational', 'rational')",-0.7801278,-0.8029277,-0.0227999
