,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.47346082,0.12198394,"('unsociable', 'sociable')",0.111238874,-0.20128472,0.2923498,-0.0396504,-0.3320002
1,-1.2532448,-1.3235873,"('unfriendly', 'friendly')",1.1616083,0.98601145,-0.0458182,-0.1687879,-0.1229697
2,1.0086486,1.0133308,"('unlikable', 'likable')",0.69495827,0.7359847,0.8518034,0.8746578,0.0228544
3,0.28184837,0.36793658,"('repellent', 'pleasant')",0.22715287,0.24193837,0.2545006,0.3049375,0.0504369
4,-0.71396214,-0.68379337,"('disliked', 'liked')",-5.563733,-5.489861,-3.1388476,-3.0868273,0.0520203
5,-1.8303468,-1.7143251,"('distant', 'outgoing')",-0.59341943,-0.56500804,-1.2118831,-1.1396666,0.0722165
6,-2.1642125,-2.0123165,"('distant', 'open')",-0.47909945,-0.47660157,-1.321656,-1.244459,0.077197
7,0.7309305,0.7440224,"('insensitive', 'sensitive')",0.60194993,0.59247166,0.6664402,0.668247,0.0018068
8,-0.97443897,-0.9947488,"('unaffectionate', 'affectionate')",0.19232567,0.15271883,-0.3910567,-0.421015,-0.0299583
9,-0.7394523,-0.7107195,"('unaffectionate', 'caring')",0.68700606,0.67382026,-0.0262231,-0.0184496,0.0077735
10,0.76848656,0.60619867,"('unsympathetic', 'sympathetic')",0.24948359,0.08161887,0.508985,0.3439088,-0.1650762
11,1.0788718,0.94847804,"('unhelpful', 'helpful')",2.0933654,2.0145292,1.5861187,1.4815036,-0.1046151
12,0.4656859,0.53372264,"('unsupportive', 'supportive')",-1.3796726,-1.3520256,-0.4569934,-0.4091515,0.0478419
13,0.9207257,0.7229533,"('impolite', 'polite')",0.21919198,0.14549461,0.5699589,0.4342239,-0.135735
14,1.4424585,1.2523284,"('antisocial', 'social')",0.22888899,0.08350358,0.8356737,0.667916,-0.1677577
15,-0.35763702,-0.5325376,"('boring', 'funny')",0.56431705,0.46667233,0.10334,-0.0329326,-0.1362726
16,-0.27048516,-0.23358841,"('unpopular', 'popular')",0.60127914,0.61734116,0.165397,0.1918764,0.0264794
17,0.005264314,0.0018181168,"('nasty', 'nice')",-0.28312075,-0.25326398,-0.1389282,-0.1257229,0.0132053
18,-0.43266615,-0.41416776,"('disagreeable', 'welcoming')",-0.27814087,-0.35680893,-0.3554035,-0.3854883,-0.0300848
19,-0.995427,-1.0112753,"('inhospitable', 'hospitable')",-0.3314042,-0.33650523,-0.6634156,-0.6738902,-0.0104746
20,0.17181793,0.15362786,"('rough', 'thoughtful')",1.1123551,1.0118241,0.6420865,0.582726,-0.0593605
21,1.2270535,1.0719892,"('immoral', 'moral')",0.12821947,-0.0010315469,0.6776365,0.5354788,-0.1421577
22,0.6547032,0.50723886,"('untrustworthy', 'trustworthy')",-0.83364207,-0.9332357,-0.0894694,-0.2129984,-0.123529
23,0.8203062,0.6918177,"('insincere', 'sincere')",5.36093,5.228126,3.0906181,2.9599719,-0.1306462
24,0.270961,0.15600401,"('dishonest', 'honest')",0.6800163,0.608299,0.4754886,0.3821515,-0.0933371
25,-0.7673251,-0.72588813,"('egoistic', 'altruistic')",0.86361486,0.86017954,0.0481449,0.0671457,0.0190008
26,-0.33124387,-0.54341614,"('hardhearted', 'benevolent')",1.4271846,1.2172688,0.5479704,0.3369263,-0.2110441
27,-0.7248025,-0.6626796,"('hardhearted', 'softhearted')",1.1227516,1.1079316,0.1989745,0.222626,0.0236515
28,0.034164354,-0.05902058,"('disloyal', 'loyal')",0.75531924,0.63640827,0.3947418,0.2886938,-0.106048
29,-0.2799001,-0.257684,"('unfair', 'fair')",-0.74416023,-0.8871398,-0.5120302,-0.5724119,-0.0603817
30,1.5590563,1.3534036,"('intolerant', 'tolerant')",2.1054442,1.9256165,1.8322502,1.63951,-0.1927402
31,-2.0996077,-1.9134661,"('evil', 'good')",-1.3730578,-1.3948312,-1.7363328,-1.6541486,0.0821842
32,0.18612808,-0.01830805,"('unkind', 'kind')",0.95697343,0.76620007,0.5715507,0.373946,-0.1976047
33,0.4828718,0.46172914,"('wrong', 'right')",-0.6779346,-0.63240474,-0.0975314,-0.0853378,0.0121936
34,-0.07448239,-0.016757095,"('mean', 'honorable')",5.639759,5.6432214,2.7826383,2.8132322,0.0305939
35,-1.0644126,-0.9543147,"('corrupt', 'incorrupt')",-0.7129921,-0.7403569,-0.8887023,-0.8473358,0.0413665
36,-2.0534246,-2.00344,"('hostile', 'amicable')",-0.4401504,-0.59905654,-1.2467875,-1.3012482,-0.0544607
37,0.5176055,0.48100778,"('fake', 'genuine')",0.20429851,0.20378157,0.360952,0.3423947,-0.0185573
38,0.10469695,0.14965023,"('untruthful', 'truthful')",0.21919681,0.29301706,0.1619469,0.2213337,0.0593868
39,0.74950516,0.722034,"('exploitative', 'cooperative')",0.049789354,0.03482254,0.3996473,0.3784283,-0.021219
40,-0.22267836,-0.15558963,"('stingy', 'generous')",-1.3689735,-1.3648828,-0.795826,-0.7602362,0.0355898
41,0.7398471,0.67390555,"('unforgiving', 'forgiving')",0.38104278,0.20117816,0.560445,0.4375418,-0.1229032
42,0.7689186,0.6771052,"('unreliable', 'reliable')",-2.702788,-2.661171,-0.9669348,-0.9920329,-0.0250981
43,1.0250198,0.9147412,"('irresponsible', 'responsible')",0.8224595,0.670922,0.9237397,0.7928316,-0.1309081
44,-0.6137415,-0.59068847,"('prejudiced', 'unprejudiced')",-1.5926652,-1.5580441,-1.1032033,-1.0743663,0.028837
45,0.7184538,0.5549208,"('incompetent', 'competent')",0.31753707,0.15210593,0.5179955,0.3535134,-0.1644821
46,0.8361351,0.72827214,"('uncompetitive', 'competitive')",-0.0186928,-0.116853304,0.4087211,0.3057094,-0.1030117
47,0.6327258,0.6839352,"('stupid', 'smart')",4.75226,4.744439,2.692493,2.7141871,0.0216941
48,0.17163621,0.11021841,"('unintelligent', 'intelligent')",1.1484594,1.0449564,0.6600478,0.5775874,-0.0824604
49,-0.27761978,-0.16046259,"('unable', 'able')",-0.063655406,0.05186768,-0.1706376,-0.0542975,0.1163401
50,0.16669075,0.20461555,"('clumsy', 'skillful')",0.08322873,0.085973516,0.1249597,0.1452945,0.0203348
51,0.41263613,0.16620432,"('uneducated', 'educated')",0.8854821,0.72919697,0.6490591,0.4477006,-0.2013585
52,-0.61162263,-0.6281068,"('irrational', 'rational')",-0.2409388,-0.29415542,-0.4262807,-0.4611311,-0.0348504
53,-1.2217646,-1.2072113,"('uncreative', 'creative')",0.46614155,0.39363638,-0.3778115,-0.4067875,-0.028976
54,-0.061507367,-0.04984223,"('incapable', 'capable')",0.890281,0.94705737,0.4143868,0.4486076,0.0342208
55,1.220362,1.0427938,"('incompetent', 'clever')",0.5148175,0.35511446,0.8675897,0.6989541,-0.1686356
