,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.4380352,0.2685143,-0.16952090000000003
1,"('unfriendly', 'friendly')",0.92111,0.9085183,-0.012591699999999983
2,"('unlikable', 'likable')",1.3127149,1.3227552,0.010040300000000002
3,"('repellent', 'pleasant')",0.4868064,0.6018456,0.11503920000000001
4,"('disliked', 'liked')",-3.7731647,-3.765279,0.007885700000000107
5,"('distant', 'outgoing')",-0.1343537,-0.0683861,0.06596759999999999
6,"('distant', 'open')",-0.0002304,0.0666281,0.0668585
7,"('insensitive', 'sensitive')",0.838295,0.8817181,0.04342309999999994
8,"('unaffectionate', 'affectionate')",0.332,0.3026351,-0.029364900000000027
9,"('unaffectionate', 'caring')",1.3626986,1.4139527,0.05125409999999997
10,"('unsympathetic', 'sympathetic')",0.5320528,0.4679825,-0.06407029999999997
11,"('unhelpful', 'helpful')",1.1794662,1.2124604,0.032994200000000085
12,"('unsupportive', 'supportive')",-0.4998036,-0.426905,0.07289860000000004
13,"('impolite', 'polite')",0.0384606,-0.0715846,-0.1100452
14,"('antisocial', 'social')",0.4366906,0.3314772,-0.10521339999999996
15,"('boring', 'funny')",-0.2048219,-0.3001131,-0.09529120000000002
16,"('unpopular', 'popular')",-0.2783944,-0.2556647,0.022729699999999964
17,"('nasty', 'nice')",0.3087988,0.3626567,0.053857900000000014
18,"('disagreeable', 'welcoming')",-0.3414079,-0.3440984,-0.00269050000000004
19,"('inhospitable', 'hospitable')",-0.1340948,-0.0659321,0.06816269999999999
20,"('rough', 'thoughtful')",1.3788334,1.3505047,-0.028328700000000095
21,"('immoral', 'moral')",0.5813955,0.5701469,-0.011248599999999942
22,"('untrustworthy', 'trustworthy')",-0.2417702,-0.2348567,0.006913499999999989
23,"('insincere', 'sincere')",3.7836669,3.7905682,0.006901299999999999
24,"('dishonest', 'honest')",1.2938932,1.2904659,-0.003427300000000022
25,"('egoistic', 'altruistic')",1.1729882,1.1693283,-0.003659899999999938
26,"('hardhearted', 'benevolent')",0.5579696,0.4105427,-0.14742689999999997
27,"('hardhearted', 'softhearted')",0.9986256,0.9491094,-0.04951620000000001
28,"('disloyal', 'loyal')",1.3919925,1.3580729,-0.03391959999999994
29,"('unfair', 'fair')",-0.0728338,-0.0976518,-0.024817999999999993
30,"('intolerant', 'tolerant')",0.7773947,0.7167831,-0.06061159999999999
31,"('evil', 'good')",-1.4454846,-1.4008202,0.044664399999999826
32,"('unkind', 'kind')",0.5392364,0.4231901,-0.11604629999999994
33,"('wrong', 'right')",-0.1141569,-0.109118,0.005038899999999999
34,"('mean', 'honorable')",3.3683535,3.4843044,0.11595090000000008
35,"('corrupt', 'incorrupt')",-0.4942901,-0.4559931,0.038297000000000025
36,"('hostile', 'amicable')",-0.627955,-0.573936,0.05401900000000004
37,"('fake', 'genuine')",0.7678363,0.7386105,-0.02922580000000008
38,"('untruthful', 'truthful')",0.5001315,0.6113097,0.1111782
39,"('exploitative', 'cooperative')",1.1105054,1.0752689,-0.035236500000000115
40,"('stingy', 'generous')",-0.3977944,-0.4374819,-0.03968749999999999
41,"('unforgiving', 'forgiving')",0.4182804,0.3118467,-0.10643370000000002
42,"('unreliable', 'reliable')",-1.1947865,-1.1695337,0.025252800000000075
43,"('irresponsible', 'responsible')",0.748049,0.7040975,-0.04395149999999992
44,"('prejudiced', 'unprejudiced')",-1.3496269,-1.4488075,-0.09918059999999995
45,"('incompetent', 'competent')",0.2846452,0.2073162,-0.07732899999999998
46,"('uncompetitive', 'competitive')",0.134852,0.1343533,-0.0004986999999999908
47,"('stupid', 'smart')",2.6698415,2.7100357,0.04019420000000018
48,"('unintelligent', 'intelligent')",1.2701034,1.2238207,-0.0462826999999999
49,"('unable', 'able')",0.6420406,0.7432395,0.10119890000000009
50,"('clumsy', 'skillful')",0.417753,0.4393208,0.021567800000000026
51,"('uneducated', 'educated')",0.4545047,0.3624113,-0.09209339999999999
52,"('irrational', 'rational')",-0.1293695,-0.1401093,-0.010739799999999994
53,"('uncreative', 'creative')",0.6653931,0.68921,0.02381690000000003
54,"('incapable', 'capable')",0.9260323,1.0464136,0.12038129999999991
55,"('incompetent', 'clever')",1.0987288,1.0036482,-0.09508059999999996
56,"('impractical', 'practical')",0.3411171,0.3342885,-0.006828600000000018
57,"('unimaginative', 'imaginative')",-1.8685977,-1.9272296,-0.05863189999999996
58,"('undiscriminating', 'discriminating')",0.2721129,0.2502035,-0.021909399999999968
59,"('foolish', 'wise')",-0.0044577,0.073983,0.07844069999999999
60,"('inefficient', 'efficient')",1.3793247,1.345865,-0.03345969999999987
61,"('illogical', 'logical')",0.8946671,0.7631749,-0.13149220000000006
62,"('incompetent', 'brilliant')",1.7400585,1.8276551,0.08759660000000014
63,"('unperceptive', 'insightful')",0.7910491,0.8253247,0.03427560000000007
64,"('shy', 'confident')",-3.4006693,-3.4706297,-0.06996039999999981
65,"('insecure', 'secure')",0.4370519,0.3309628,-0.10608909999999999
66,"('inactive', 'active')",0.1813257,0.1784159,-0.002909800000000018
67,"('doubtful', 'determined')",0.2095883,0.1299407,-0.07964760000000001
68,"('dependent', 'independent')",-0.1061564,-0.113197,-0.007040600000000008
69,"('lazy', 'industrious')",-0.1075484,-0.0726235,0.03492490000000001
70,"('lethargic', 'energetic')",0.7200539,0.689899,-0.030154899999999984
71,"('diffident', 'self-confident')",0.7800802,0.7826672,0.002587000000000006
72,"('unambitious', 'ambitious')",0.5414769,0.5804876,0.039010699999999954
73,"('helpless', 'self-reliant')",-1.442378,-1.3854465,0.05693149999999991
74,"('undedicated', 'dedicated')",0.4311506,0.3781583,-0.05299229999999999
75,"('meek', 'impulsive')",-0.7866501,-0.6721843,0.11446580000000006
76,"('anxious', 'daring')",0.9942744,0.9735791,-0.020695299999999972
77,"('unmotivated', 'motivated')",0.1377764,0.2678839,0.13010750000000001
78,"('nonresilient', 'resilient')",0.4051353,0.5145233,0.10938800000000004
79,"('wavering', 'unwavering')",-0.3646964,-0.3448913,0.019805099999999964
80,"('dominated', 'dominating')",0.14316,0.1331699,-0.009990100000000002
81,"('submissive', 'aggressive')",-0.1755332,-0.3070216,-0.1314884
82,"('poor', 'rich')",3.1543474,3.1893078,0.034960400000000114
83,"('powerless', 'powerful')",-0.0516138,-0.0838546,-0.0322408
84,"('inferior', 'superior')",1.0502348,1.0207614,-0.029473399999999872
85,"('insignificant', 'prestigious')",-0.0681697,-0.0382441,0.029925599999999997
86,"('uninfluential', 'influential')",0.3982012,0.291434,-0.10676719999999995
87,"('unsuccessful', 'successful')",0.8148723,0.827492,0.012619700000000011
88,"('low', 'eminent')",-0.4283687,-0.4179887,0.01038
