,nonbeliever_male,nonbeliever_female,tuple,average_male,average_female,female-male
0,-2.0637603,-2.2088587,"('unsociable', 'sociable')",-2.0637603,-2.2088587,-0.1450984
1,-0.9356114,-1.0580683,"('unfriendly', 'friendly')",-0.9356114,-1.0580683,-0.1224569
2,0.097300366,0.16684583,"('unlikable', 'likable')",0.0973004,0.1668458,0.0695454
3,-1.3290339,-1.173833,"('repellent', 'pleasant')",-1.3290339,-1.173833,0.1552009
4,-0.25557718,-0.25090122,"('disliked', 'liked')",-0.2555772,-0.2509012,0.004676
5,1.3923208,1.4791942,"('distant', 'outgoing')",1.3923208,1.4791942,0.0868734
6,1.3936785,1.4581556,"('distant', 'open')",1.3936785,1.4581556,0.0644771
7,-0.75631607,-0.71908396,"('insensitive', 'sensitive')",-0.7563161,-0.719084,0.0372321
8,-1.0507072,-1.116368,"('unaffectionate', 'affectionate')",-1.0507072,-1.1163681,-0.0656609
9,-0.42869455,-0.4466098,"('unaffectionate', 'caring')",-0.4286945,-0.4466098,-0.0179153
10,-2.1061897,-2.1485655,"('unsympathetic', 'sympathetic')",-2.1061897,-2.1485655,-0.0423758
11,-1.1743556,-1.0823238,"('unhelpful', 'helpful')",-1.1743556,-1.0823238,0.0920318
12,-1.6712468,-1.564491,"('unsupportive', 'supportive')",-1.6712468,-1.564491,0.1067558
13,-1.3131795,-1.3219705,"('impolite', 'polite')",-1.3131795,-1.3219705,-0.008791
14,-1.5218195,-1.6141365,"('antisocial', 'social')",-1.5218195,-1.6141365,-0.092317
15,0.8952455,0.8199041,"('boring', 'funny')",0.8952455,0.8199041,-0.0753414
16,-0.5427449,-0.49215308,"('unpopular', 'popular')",-0.5427449,-0.4921531,0.0505918
17,0.43577746,0.5505321,"('nasty', 'nice')",0.4357775,0.5505321,0.1147546
18,-0.84487945,-0.72094464,"('disagreeable', 'welcoming')",-0.8448794,-0.7209446,0.1239348
19,0.5480582,0.7106277,"('inhospitable', 'hospitable')",0.5480582,0.7106277,0.1625695
20,0.09809935,0.11974031,"('rough', 'thoughtful')",0.0980994,0.1197403,0.0216409
21,-1.7326372,-1.6184349,"('immoral', 'moral')",-1.7326372,-1.6184349,0.1142023
22,-1.4639063,-1.480916,"('untrustworthy', 'trustworthy')",-1.4639063,-1.480916,-0.0170097
23,-0.32111204,-0.3102028,"('insincere', 'sincere')",-0.321112,-0.3102028,0.0109092
24,-0.5435542,-0.5645219,"('dishonest', 'honest')",-0.5435542,-0.5645219,-0.0209677
25,0.9781394,0.9494227,"('egoistic', 'altruistic')",0.9781394,0.9494227,-0.0287167
