,octave_male,octave_female,tuple,average_male,average_female,female-male
0,0.5336825,0.36902693,"('unsociable', 'sociable')",0.5336825,0.3690269,-0.1646556
1,0.75711805,0.8224658,"('unfriendly', 'friendly')",0.757118,0.8224658,0.0653478
2,0.08753121,0.21899304,"('unlikable', 'likable')",0.0875312,0.218993,0.1314618
3,0.7826316,0.8867998,"('repellent', 'pleasant')",0.7826316,0.8867998,0.1041682
4,-7.2601013,-7.4328537,"('disliked', 'liked')",-7.2601013,-7.4328537,-0.1727524
5,-0.7047019,-0.66367936,"('distant', 'outgoing')",-0.7047019,-0.6636794,0.0410225
6,-0.2471802,-0.28696483,"('distant', 'open')",-0.2471802,-0.2869648,-0.0397846
7,1.6124847,1.5585378,"('insensitive', 'sensitive')",1.6124847,1.5585378,-0.0539469
8,0.8572787,0.88231695,"('unaffectionate', 'affectionate')",0.8572787,0.8823169,0.0250382
9,1.0947661,1.1710577,"('unaffectionate', 'caring')",1.0947661,1.1710577,0.0762916
10,1.5012714,1.4794433,"('unsympathetic', 'sympathetic')",1.5012714,1.4794433,-0.0218281
11,1.727677,1.762753,"('unhelpful', 'helpful')",1.727677,1.762753,0.035076
12,-1.2872623,-1.2723672,"('unsupportive', 'supportive')",-1.2872623,-1.2723672,0.0148951
13,0.2906676,0.35095093,"('impolite', 'polite')",0.2906676,0.3509509,0.0602833
14,0.5869819,0.47895867,"('antisocial', 'social')",0.5869819,0.4789587,-0.1080232
15,0.55446804,0.4557227,"('boring', 'funny')",0.554468,0.4557227,-0.0987453
16,-1.0198253,-1.0315348,"('unpopular', 'popular')",-1.0198253,-1.0315348,-0.0117095
17,0.012053508,0.029483534,"('nasty', 'nice')",0.0120535,0.0294835,0.01743
18,-0.4572705,-0.36205578,"('disagreeable', 'welcoming')",-0.4572705,-0.3620558,0.0952147
19,-0.7030543,-0.5862827,"('inhospitable', 'hospitable')",-0.7030543,-0.5862827,0.1167716
20,0.7643621,0.66424555,"('rough', 'thoughtful')",0.7643621,0.6642455,-0.1001166
21,0.25793603,0.39926562,"('immoral', 'moral')",0.257936,0.3992656,0.1413296
22,0.051780265,-0.027783746,"('untrustworthy', 'trustworthy')",0.0517803,-0.0277837,-0.079564
23,6.165006,6.307966,"('insincere', 'sincere')",6.1650062,6.3079662,0.14296
24,1.4680893,1.4647712,"('dishonest', 'honest')",1.4680893,1.4647712,-0.0033181
25,0.4628375,0.55531263,"('egoistic', 'altruistic')",0.4628375,0.5553126,0.0924751
26,1.1829025,1.0122335,"('hardhearted', 'benevolent')",1.1829025,1.0122335,-0.170669
27,1.8890159,1.7395176,"('hardhearted', 'softhearted')",1.8890159,1.7395176,-0.1494983
28,1.3238535,1.1238197,"('disloyal', 'loyal')",1.3238535,1.1238197,-0.2000338
29,-0.562723,-0.7111496,"('unfair', 'fair')",-0.562723,-0.7111496,-0.1484266
30,1.1325443,1.1747186,"('intolerant', 'tolerant')",1.1325443,1.1747186,0.0421743
31,-1.6573625,-1.6573508,"('evil', 'good')",-1.6573625,-1.6573508,1.17e-05
32,1.3547318,1.2211185,"('unkind', 'kind')",1.3547318,1.2211185,-0.1336133
33,-0.5871192,-0.60186565,"('wrong', 'right')",-0.5871192,-0.6018656,-0.0147464
34,4.021173,4.3109565,"('mean', 'honorable')",4.021173,4.3109565,0.2897835
35,-1.160421,-1.489911,"('corrupt', 'incorrupt')",-1.160421,-1.489911,-0.32949
36,-1.2291764,-1.3040437,"('hostile', 'amicable')",-1.2291764,-1.3040437,-0.0748673
37,1.1541471,1.1138493,"('fake', 'genuine')",1.1541471,1.1138493,-0.0402978
38,-0.67743725,-0.53835,"('untruthful', 'truthful')",-0.6774372,-0.53835,0.1390872
39,0.46758756,0.43583798,"('exploitative', 'cooperative')",0.4675876,0.435838,-0.0317496
40,-0.8182512,-0.92652947,"('stingy', 'generous')",-0.8182512,-0.9265295,-0.1082783
41,0.6370953,0.4757909,"('unforgiving', 'forgiving')",0.6370953,0.4757909,-0.1613044
42,-1.7527827,-1.8204167,"('unreliable', 'reliable')",-1.7527827,-1.8204167,-0.067634
43,1.2810209,1.3483379,"('irresponsible', 'responsible')",1.2810209,1.3483379,0.067317
44,-1.1310751,-1.1989236,"('prejudiced', 'unprejudiced')",-1.1310751,-1.1989236,-0.0678485
45,0.58070946,0.28852692,"('incompetent', 'competent')",0.5807095,0.2885269,-0.2921826
46,-0.1367433,-0.21729696,"('uncompetitive', 'competitive')",-0.1367433,-0.217297,-0.0805537
47,4.7660136,4.8703523,"('stupid', 'smart')",4.7660136,4.8703523,0.1043387
48,0.5109694,0.5660652,"('unintelligent', 'intelligent')",0.5109694,0.5660652,0.0550958
49,-0.21321687,-0.11062272,"('unable', 'able')",-0.2132169,-0.1106227,0.1025942
50,-0.35664877,-0.35483503,"('clumsy', 'skillful')",-0.3566488,-0.354835,0.0018138
51,0.7124325,0.7154188,"('uneducated', 'educated')",0.7124325,0.7154188,0.0029863
52,-0.46541533,-0.62902135,"('irrational', 'rational')",-0.4654153,-0.6290213,-0.163606
53,-0.096276626,-0.16399547,"('uncreative', 'creative')",-0.0962766,-0.1639955,-0.0677189
54,0.75892794,0.8598541,"('incapable', 'capable')",0.7589279,0.8598541,0.1009262
55,1.331138,1.3109288,"('incompetent', 'clever')",1.331138,1.3109288,-0.0202092
56,0.6356579,0.5689495,"('impractical', 'practical')",0.6356579,0.5689495,-0.0667084
57,-1.4713737,-1.7192045,"('unimaginative', 'imaginative')",-1.4713737,-1.7192045,-0.2478308
58,0.65317327,0.58611536,"('undiscriminating', 'discriminating')",0.6531733,0.5861154,-0.0670579
59,-0.14257437,-0.08914929,"('foolish', 'wise')",-0.1425744,-0.0891493,0.0534251
60,0.7746799,0.99824655,"('inefficient', 'efficient')",0.7746799,0.9982466,0.2235667
61,0.5060433,0.31053534,"('illogical', 'logical')",0.5060433,0.3105353,-0.195508
62,0.7667408,0.87627393,"('incompetent', 'brilliant')",0.7667408,0.8762739,0.1095331
63,0.4466458,0.5229264,"('unperceptive', 'insightful')",0.4466458,0.5229264,0.0762806
64,-5.6964984,-5.679014,"('shy', 'confident')",-5.6964984,-5.6790142,0.0174842
65,0.781695,0.8526448,"('insecure', 'secure')",0.781695,0.8526448,0.0709498
66,-0.18926331,-0.33949214,"('inactive', 'active')",-0.1892633,-0.3394921,-0.1502288
67,-0.6731349,-0.56041646,"('doubtful', 'determined')",-0.6731349,-0.5604165,0.1127184
68,-0.7547942,-0.64941096,"('dependent', 'independent')",-0.7547942,-0.649411,0.1053832
69,-2.1843152,-2.2241497,"('lazy', 'industrious')",-2.1843152,-2.2241497,-0.0398345
70,1.9392512,1.8049589,"('lethargic', 'energetic')",1.9392512,1.8049589,-0.1342923
71,0.21424827,0.24136794,"('diffident', 'self-confident')",0.2142483,0.2413679,0.0271196
72,0.9950252,1.2046764,"('unambitious', 'ambitious')",0.9950252,1.2046764,0.2096512
73,-2.6932333,-2.640727,"('helpless', 'self-reliant')",-2.6932333,-2.640727,0.0525063
74,0.6099239,0.45725572,"('undedicated', 'dedicated')",0.6099239,0.4572557,-0.1526682
75,-0.9829846,-0.9587865,"('meek', 'impulsive')",-0.9829846,-0.9587865,0.0241981
76,0.96925247,0.9756383,"('anxious', 'daring')",0.9692525,0.9756383,0.0063858
77,-1.5346965,-1.3825934,"('unmotivated', 'motivated')",-1.5346965,-1.3825934,0.1521031
78,-0.94090307,-0.97376573,"('nonresilient', 'resilient')",-0.9409031,-0.9737657,-0.0328626
79,-0.38326707,-0.44922337,"('wavering', 'unwavering')",-0.3832671,-0.4492234,-0.0659563
80,0.3950041,0.22591381,"('dominated', 'dominating')",0.3950041,0.2259138,-0.1690903
81,0.45871145,0.4676476,"('submissive', 'aggressive')",0.4587114,0.4676476,0.0089362
82,5.995031,6.064996,"('poor', 'rich')",5.9950309,6.0649958,0.0699649
83,-0.251757,-0.20034829,"('powerless', 'powerful')",-0.251757,-0.2003483,0.0514087
84,0.32745403,0.29657406,"('inferior', 'superior')",0.327454,0.2965741,-0.0308799
85,-1.4022352,-1.4263549,"('insignificant', 'prestigious')",-1.4022352,-1.4263549,-0.0241197
86,1.0737383,0.9592613,"('uninfluential', 'influential')",1.0737383,0.9592613,-0.114477
87,-0.13461372,-0.1982137,"('unsuccessful', 'successful')",-0.1346137,-0.1982137,-0.0636
88,0.21059671,0.25235128,"('low', 'eminent')",0.2105967,0.2523513,0.0417546
