,octet_male,octet_female,tuple,average_male,average_female,female-male
0,0.27698648,-0.0122921765,"('unsociable', 'sociable')",0.2769865,-0.0122922,-0.2892787
1,-1.6390296,-1.8227273,"('unfriendly', 'friendly')",-1.6390296,-1.8227273,-0.1836977
2,0.03817158,0.11988585,"('unlikable', 'likable')",0.0381716,0.1198858,0.0817142
3,0.4849993,0.6374334,"('repellent', 'pleasant')",0.4849993,0.6374334,0.1524341
4,-2.889772,-2.990295,"('disliked', 'liked')",-2.8897719,-2.9902949,-0.100523
5,-1.5827826,-1.5782751,"('distant', 'outgoing')",-1.5827826,-1.5782751,0.0045075
6,-1.8790526,-1.9011326,"('distant', 'open')",-1.8790526,-1.9011326,-0.02208
7,0.79180926,0.9035597,"('insensitive', 'sensitive')",0.7918093,0.9035597,0.1117504
8,-1.9126041,-2.011663,"('unaffectionate', 'affectionate')",-1.9126041,-2.011663,-0.0990589
9,-1.9244531,-1.9551902,"('unaffectionate', 'caring')",-1.9244531,-1.9551902,-0.0307371
10,-0.38466015,-0.4784973,"('unsympathetic', 'sympathetic')",-0.3846602,-0.4784973,-0.0938371
11,0.5947096,0.641838,"('unhelpful', 'helpful')",0.5947096,0.641838,0.0471284
12,-1.6292614,-1.6350044,"('unsupportive', 'supportive')",-1.6292614,-1.6350044,-0.005743
13,0.8111964,0.4210255,"('impolite', 'polite')",0.8111964,0.4210255,-0.3901709
14,1.5728343,1.5558105,"('antisocial', 'social')",1.5728343,1.5558105,-0.0170238
15,0.8007585,0.5642637,"('boring', 'funny')",0.8007585,0.5642637,-0.2364948
16,-1.1430911,-0.9531053,"('unpopular', 'popular')",-1.1430911,-0.9531053,0.1899858
17,-0.26204917,-0.2949215,"('nasty', 'nice')",-0.2620492,-0.2949215,-0.0328723
18,-0.2229315,-0.19601953,"('disagreeable', 'welcoming')",-0.2229315,-0.1960195,0.026912
19,-1.6672587,-1.6650076,"('inhospitable', 'hospitable')",-1.6672587,-1.6650076,0.0022511
20,0.5485128,0.6314031,"('rough', 'thoughtful')",0.5485128,0.6314031,0.0828903
21,1.0004259,0.8929444,"('immoral', 'moral')",1.0004259,0.8929444,-0.1074815
22,0.6016512,0.5855479,"('untrustworthy', 'trustworthy')",0.6016512,0.5855479,-0.0161033
23,2.0318003,1.9763163,"('insincere', 'sincere')",2.0318003,1.9763163,-0.055484
24,0.24932553,-0.0129888235,"('dishonest', 'honest')",0.2493255,-0.0129888,-0.2623143
25,-0.6576451,-0.6741618,"('egoistic', 'altruistic')",-0.6576451,-0.6741618,-0.0165167
26,0.27497068,0.058493108,"('hardhearted', 'benevolent')",0.2749707,0.0584931,-0.2164776
27,0.13476391,0.23762512,"('hardhearted', 'softhearted')",0.1347639,0.2376251,0.1028612
28,-0.21420911,-0.3520412,"('disloyal', 'loyal')",-0.2142091,-0.3520412,-0.1378321
29,-0.35254213,-0.28328493,"('unfair', 'fair')",-0.3525421,-0.2832849,0.0692572
30,0.7409532,0.5281451,"('intolerant', 'tolerant')",0.7409532,0.5281451,-0.2128081
31,-1.7468644,-1.6661575,"('evil', 'good')",-1.7468644,-1.6661575,0.0807069
32,0.9072236,0.65665805,"('unkind', 'kind')",0.9072236,0.6566581,-0.2505655
33,-1.0137969,-1.0045042,"('wrong', 'right')",-1.0137969,-1.0045042,0.0092927
34,1.8514076,2.1330588,"('mean', 'honorable')",1.8514076,2.1330588,0.2816512
35,-1.0844084,-1.0570587,"('corrupt', 'incorrupt')",-1.0844084,-1.0570587,0.0273497
36,-1.7692852,-1.7839493,"('hostile', 'amicable')",-1.7692852,-1.7839493,-0.0146641
37,0.6334943,0.55199265,"('fake', 'genuine')",0.6334943,0.5519927,-0.0815016
38,-1.0251423,-1.0932372,"('untruthful', 'truthful')",-1.0251423,-1.0932372,-0.0680949
