,orient_male,orient_female,tuple,average_male,average_female,female-male
0,-0.6330378,-0.80562973,"('unsociable', 'sociable')",-0.6330378,-0.8056297,-0.1725919
1,1.9546555,2.0941715,"('unfriendly', 'friendly')",1.9546555,2.0941715,0.139516
2,0.35845226,0.45873713,"('unlikable', 'likable')",0.3584523,0.4587371,0.1002848
3,0.22091736,0.3172421,"('repellent', 'pleasant')",0.2209174,0.3172421,0.0963247
4,-7.505635,-7.6221685,"('disliked', 'liked')",-7.5056348,-7.6221685,-0.1165337
5,0.20464808,0.3329168,"('distant', 'outgoing')",0.2046481,0.3329168,0.1282687
6,0.5777277,0.7650834,"('distant', 'open')",0.5777277,0.7650834,0.1873557
7,0.33943626,0.36949906,"('insensitive', 'sensitive')",0.3394363,0.3694991,0.0300628
8,1.8822459,1.9828037,"('unaffectionate', 'affectionate')",1.8822459,1.9828037,0.1005578
9,1.8472999,2.0443053,"('unaffectionate', 'caring')",1.8472999,2.0443053,0.1970054
10,0.3886975,0.48050857,"('unsympathetic', 'sympathetic')",0.3886975,0.4805086,0.0918111
11,1.7699213,1.7836158,"('unhelpful', 'helpful')",1.7699213,1.7836158,0.0136945
12,-1.9002715,-1.8958666,"('unsupportive', 'supportive')",-1.9002715,-1.8958666,0.0044049
13,-0.39430287,-0.44244605,"('impolite', 'polite')",-0.3943029,-0.4424461,-0.0481432
14,-0.736054,-0.99094033,"('antisocial', 'social')",-0.736054,-0.9909403,-0.2548863
15,0.28278282,0.21784537,"('boring', 'funny')",0.2827828,0.2178454,-0.0649374
16,-0.21448255,-0.11734961,"('unpopular', 'popular')",-0.2144825,-0.1173496,0.0971329
17,0.16374521,0.15479766,"('nasty', 'nice')",0.1637452,0.1547977,-0.0089475
18,-0.36414737,-0.43005574,"('disagreeable', 'welcoming')",-0.3641474,-0.4300557,-0.0659083
19,-0.046226136,0.06919211,"('inhospitable', 'hospitable')",-0.0462261,0.0691921,0.1154182
20,0.82650936,0.68020487,"('rough', 'thoughtful')",0.8265094,0.6802049,-0.1463045
21,-0.57390743,-0.47773677,"('immoral', 'moral')",-0.5739074,-0.4777368,0.0961706
22,-1.1211385,-1.1739612,"('untrustworthy', 'trustworthy')",-1.1211385,-1.1739612,-0.0528227
23,6.707019,6.71143,"('insincere', 'sincere')",6.7070189,6.7114301,0.0044112
24,1.4816402,1.4165565,"('dishonest', 'honest')",1.4816402,1.4165565,-0.0650837
25,0.8407892,0.82908434,"('egoistic', 'altruistic')",0.8407892,0.8290843,-0.0117049
26,1.136311,0.9357549,"('hardhearted', 'benevolent')",1.1363111,0.9357549,-0.2005562
27,1.7790766,1.7332225,"('hardhearted', 'softhearted')",1.7790766,1.7332225,-0.0458541
28,1.1040574,1.156017,"('disloyal', 'loyal')",1.1040574,1.1560169,0.0519595
