,palm_male,palm_female,tuple,average_male,average_female,female-male
0,0.13113657,0.12929514,"('unsociable', 'sociable')",0.1311366,0.1292951,-0.0018415
1,1.127306,1.1799889,"('unfriendly', 'friendly')",1.127306,1.1799889,0.0526829
2,0.36173204,0.49771628,"('unlikable', 'likable')",0.361732,0.4977163,0.1359843
3,0.8916472,0.99006927,"('repellent', 'pleasant')",0.8916472,0.9900693,0.0984221
4,-6.982394,-6.9311333,"('disliked', 'liked')",-6.9823942,-6.9311333,0.0512609
5,-0.4021382,-0.19771744,"('distant', 'outgoing')",-0.4021382,-0.1977174,0.2044208
6,-0.023486521,0.09776446,"('distant', 'open')",-0.0234865,0.0977645,0.121251
7,1.1695243,1.189611,"('insensitive', 'sensitive')",1.1695243,1.189611,0.0200867
8,1.0230063,0.9161669,"('unaffectionate', 'affectionate')",1.0230063,0.9161669,-0.1068394
9,1.300227,1.3391712,"('unaffectionate', 'caring')",1.300227,1.3391712,0.0389442
10,1.4027001,1.275716,"('unsympathetic', 'sympathetic')",1.4027001,1.2757159,-0.1269842
11,1.6762598,1.6835525,"('unhelpful', 'helpful')",1.6762598,1.6835525,0.0072927
12,-1.3413652,-1.2890741,"('unsupportive', 'supportive')",-1.3413652,-1.2890741,0.0522911
13,0.049995363,0.06450182,"('impolite', 'polite')",0.0499954,0.0645018,0.0145064
14,0.20632492,0.19714856,"('antisocial', 'social')",0.2063249,0.1971486,-0.0091763
15,0.25149736,0.32647067,"('boring', 'funny')",0.2514974,0.3264707,0.0749733
16,-0.4721468,-0.27587175,"('unpopular', 'popular')",-0.4721468,-0.2758718,0.196275
17,0.25527576,0.22675227,"('nasty', 'nice')",0.2552758,0.2267523,-0.0285235
18,-0.31437624,-0.1991065,"('disagreeable', 'welcoming')",-0.3143762,-0.1991065,0.1152697
19,-0.4861076,-0.4201621,"('inhospitable', 'hospitable')",-0.4861076,-0.4201621,0.0659455
20,0.63301593,0.50855637,"('rough', 'thoughtful')",0.6330159,0.5085564,-0.1244595
21,0.12816583,0.20709069,"('immoral', 'moral')",0.1281658,0.2070907,0.0789249
22,0.07304286,0.032291107,"('untrustworthy', 'trustworthy')",0.0730429,0.0322911,-0.0407518
23,6.070429,6.1907997,"('insincere', 'sincere')",6.0704288,6.1907997,0.1203709
24,1.616646,1.6867502,"('dishonest', 'honest')",1.6166461,1.6867502,0.0701041
25,0.42581216,0.4020213,"('egoistic', 'altruistic')",0.4258122,0.4020213,-0.0237909
26,0.37682495,0.20256937,"('hardhearted', 'benevolent')",0.3768249,0.2025694,-0.1742555
27,1.7731497,1.589644,"('hardhearted', 'softhearted')",1.7731497,1.589644,-0.1835057
28,0.98043716,0.9096227,"('disloyal', 'loyal')",0.9804372,0.9096227,-0.0708145
29,-0.27677512,-0.33753738,"('unfair', 'fair')",-0.2767751,-0.3375374,-0.0607623
30,1.1825107,1.0825169,"('intolerant', 'tolerant')",1.1825107,1.0825169,-0.0999938
