,parallelogram_male,parallelogram_female,tuple,average_male,average_female,female-male
0,0.16493604,0.12319115,"('unsociable', 'sociable')",0.164936,0.1231911,-0.0417449
1,0.5725268,0.123121955,"('unfriendly', 'friendly')",0.5725268,0.123122,-0.4494048
2,-0.342085,-0.42407688,"('unlikable', 'likable')",-0.342085,-0.4240769,-0.0819919
3,-0.51596993,-0.38299507,"('repellent', 'pleasant')",-0.5159699,-0.3829951,0.1329748
4,-2.0636885,-2.2048833,"('disliked', 'liked')",-2.0636885,-2.2048833,-0.1411948
5,-0.42135367,-0.65248257,"('distant', 'outgoing')",-0.4213537,-0.6524826,-0.2311289
6,-0.325437,-0.6266144,"('distant', 'open')",-0.325437,-0.6266144,-0.3011774
7,-0.3828893,-0.3289192,"('insensitive', 'sensitive')",-0.3828893,-0.3289192,0.0539701
8,0.08227691,-0.29548013,"('unaffectionate', 'affectionate')",0.0822769,-0.2954801,-0.377757
9,-0.017310817,-0.3334896,"('unaffectionate', 'caring')",-0.0173108,-0.3334896,-0.3161788
10,-1.3292975,-1.2056997,"('unsympathetic', 'sympathetic')",-1.3292975,-1.2056997,0.1235978
11,0.5559416,0.6348217,"('unhelpful', 'helpful')",0.5559416,0.6348217,0.0788801
12,-1.0068699,-1.0119208,"('unsupportive', 'supportive')",-1.0068699,-1.0119208,-0.0050509
13,-0.470489,-0.4162558,"('impolite', 'polite')",-0.470489,-0.4162558,0.0542332
14,-0.6040985,-0.4208156,"('antisocial', 'social')",-0.6040985,-0.4208156,0.1832829
15,0.85112345,0.7009601,"('boring', 'funny')",0.8511235,0.7009601,-0.1501634
16,-0.82937413,-0.94074106,"('unpopular', 'popular')",-0.8293741,-0.9407411,-0.111367
17,-0.29640517,-0.28542197,"('nasty', 'nice')",-0.2964052,-0.285422,0.0109832
18,-0.3024162,-0.42896113,"('disagreeable', 'welcoming')",-0.3024162,-0.4289611,-0.1265449
19,-0.62242603,-0.787209,"('inhospitable', 'hospitable')",-0.622426,-0.787209,-0.164783
20,0.68928903,0.67160606,"('rough', 'thoughtful')",0.689289,0.6716061,-0.0176829
21,-0.36057734,-0.18115222,"('immoral', 'moral')",-0.3605773,-0.1811522,0.1794251
22,0.24029034,0.23088713,"('untrustworthy', 'trustworthy')",0.2402903,0.2308871,-0.0094032
23,1.4123176,1.4572792,"('insincere', 'sincere')",1.4123176,1.4572792,0.0449616
24,-0.6072461,-0.58146036,"('dishonest', 'honest')",-0.6072461,-0.5814604,0.0257857
25,0.7908757,0.5806286,"('egoistic', 'altruistic')",0.7908757,0.5806286,-0.2102471
26,0.9610913,0.69903094,"('hardhearted', 'benevolent')",0.9610913,0.6990309,-0.2620604
27,-0.25504774,-0.39782026,"('hardhearted', 'softhearted')",-0.2550477,-0.3978203,-0.1427726
28,0.2952437,0.04879679,"('disloyal', 'loyal')",0.2952437,0.0487968,-0.2464469
29,-0.40326095,-0.50770307,"('unfair', 'fair')",-0.4032609,-0.5077031,-0.1044422
30,0.5214912,0.5310473,"('intolerant', 'tolerant')",0.5214912,0.5310473,0.0095561
31,-0.2942274,-0.5635866,"('evil', 'good')",-0.2942274,-0.5635866,-0.2693592
32,0.0072495583,-0.019410789,"('unkind', 'kind')",0.0072496,-0.0194108,-0.0266604
33,-0.044488184,-0.2091526,"('wrong', 'right')",-0.0444882,-0.2091526,-0.1646644
34,0.9906512,1.2122289,"('mean', 'honorable')",0.9906512,1.2122289,0.2215777
35,0.07644111,-0.16203324,"('corrupt', 'incorrupt')",0.0764411,-0.1620332,-0.2384743
36,0.28333858,-0.14165065,"('hostile', 'amicable')",0.2833386,-0.1416506,-0.4249892
37,-0.64897335,-0.6536358,"('fake', 'genuine')",-0.6489733,-0.6536358,-0.0046625
38,-0.18915115,-0.27348083,"('untruthful', 'truthful')",-0.1891512,-0.2734808,-0.0843296
39,1.5101283,1.5565645,"('exploitative', 'cooperative')",1.5101283,1.5565645,0.0464362
40,-0.47596663,-0.53223115,"('stingy', 'generous')",-0.4759666,-0.5322312,-0.0562646
41,-0.00020145252,-0.14194275,"('unforgiving', 'forgiving')",-0.0002015,-0.1419428,-0.1417413
42,-1.6022899,-1.4221932,"('unreliable', 'reliable')",-1.6022899,-1.4221932,0.1800967
43,-0.40254444,-0.26937494,"('irresponsible', 'responsible')",-0.4025444,-0.2693749,0.1331695
44,-0.38934132,-0.24745244,"('prejudiced', 'unprejudiced')",-0.3893413,-0.2474524,0.1418889
45,-0.57626253,-0.5158687,"('incompetent', 'competent')",-0.5762625,-0.5158687,0.0603938
46,-0.36654913,-0.2661681,"('uncompetitive', 'competitive')",-0.3665491,-0.2661681,0.100381
47,1.395908,1.5043658,"('stupid', 'smart')",1.395908,1.5043658,0.1084578
48,0.39521787,0.421082,"('unintelligent', 'intelligent')",0.3952179,0.421082,0.0258641
49,-0.35132465,-0.21880765,"('unable', 'able')",-0.3513246,-0.2188077,0.1325169
50,-0.29934,-0.32090658,"('clumsy', 'skillful')",-0.29934,-0.3209066,-0.0215666
51,-0.14931192,-0.19382186,"('uneducated', 'educated')",-0.1493119,-0.1938219,-0.04451
52,0.6352986,0.26639265,"('irrational', 'rational')",0.6352986,0.2663926,-0.368906
53,0.35885513,0.056759086,"('uncreative', 'creative')",0.3588551,0.0567591,-0.302096
54,-0.22306189,-0.44297984,"('incapable', 'capable')",-0.2230619,-0.4429798,-0.2199179
55,0.08399083,0.24064243,"('incompetent', 'clever')",0.0839908,0.2406424,0.1566516
56,0.2644874,0.43561518,"('impractical', 'practical')",0.2644874,0.4356152,0.1711278
57,-0.28342363,-0.35618263,"('unimaginative', 'imaginative')",-0.2834236,-0.3561826,-0.072759
58,0.699034,0.5230569,"('undiscriminating', 'discriminating')",0.699034,0.5230569,-0.1759771
59,0.37878552,0.2409356,"('foolish', 'wise')",0.3787855,0.2409356,-0.1378499
60,0.7022625,1.0086358,"('inefficient', 'efficient')",0.7022625,1.0086358,0.3063733
61,0.6966063,0.49945188,"('illogical', 'logical')",0.6966063,0.4994519,-0.1971544
62,-0.05355256,0.20171484,"('incompetent', 'brilliant')",-0.0535526,0.2017148,0.2552674
63,0.31674862,0.3253708,"('unperceptive', 'insightful')",0.3167486,0.3253708,0.0086222
64,-2.3104992,-2.2059433,"('shy', 'confident')",-2.3104992,-2.2059433,0.1045559
65,0.011047192,0.21175256,"('insecure', 'secure')",0.0110472,0.2117526,0.2007054
66,-1.2521361,-1.3449923,"('inactive', 'active')",-1.2521361,-1.3449923,-0.0928562
67,0.17388877,0.2433203,"('doubtful', 'determined')",0.1738888,0.2433203,0.0694315
68,-0.65625775,-0.639814,"('dependent', 'independent')",-0.6562577,-0.639814,0.0164437
69,0.002909273,-0.07346157,"('lazy', 'industrious')",0.0029093,-0.0734616,-0.0763709
70,-0.36465204,-0.24123676,"('lethargic', 'energetic')",-0.364652,-0.2412368,0.1234152
71,0.8670567,0.79045475,"('diffident', 'self-confident')",0.8670567,0.7904547,-0.076602
72,-0.6545227,-0.61235887,"('unambitious', 'ambitious')",-0.6545227,-0.6123589,0.0421638
73,-0.10439767,-0.12474691,"('helpless', 'self-reliant')",-0.1043977,-0.1247469,-0.0203492
74,0.16631839,0.05021216,"('undedicated', 'dedicated')",0.1663184,0.0502122,-0.1161062
75,0.20424685,0.104313366,"('meek', 'impulsive')",0.2042468,0.1043134,-0.0999334
76,-0.55728805,-0.28351226,"('anxious', 'daring')",-0.5572881,-0.2835123,0.2737758
77,0.009275863,0.0018206593,"('unmotivated', 'motivated')",0.0092759,0.0018207,-0.0074552
78,-0.4811188,-0.49836737,"('nonresilient', 'resilient')",-0.4811188,-0.4983674,-0.0172486
79,-0.42634985,-0.5961546,"('wavering', 'unwavering')",-0.4263498,-0.5961546,-0.1698048
80,-0.54749393,-0.264905,"('dominated', 'dominating')",-0.5474939,-0.264905,0.2825889
