,pate_male,pate_female,tuple,average_male,average_female,female-male
0,0.85082746,0.63972265,"('unsociable', 'sociable')",0.8508275,0.6397226,-0.2111049
1,-0.77494085,-0.88547474,"('unfriendly', 'friendly')",-0.7749408,-0.8854747,-0.1105339
2,0.5436012,0.61743134,"('unlikable', 'likable')",0.5436012,0.6174313,0.0738301
3,-0.024083463,0.09729053,"('repellent', 'pleasant')",-0.0240835,0.0972905,0.121374
4,-2.9932396,-2.9841714,"('disliked', 'liked')",-2.9932396,-2.9841714,0.0090682
5,-2.3009114,-2.292171,"('distant', 'outgoing')",-2.3009114,-2.292171,0.0087404
6,-2.3150985,-2.270934,"('distant', 'open')",-2.3150985,-2.2709341,0.0441644
7,0.90731806,0.8898968,"('insensitive', 'sensitive')",0.9073181,0.8898968,-0.0174213
8,-0.61916465,-0.6752637,"('unaffectionate', 'affectionate')",-0.6191646,-0.6752637,-0.0560991
9,-0.86971563,-0.96387875,"('unaffectionate', 'caring')",-0.8697156,-0.9638788,-0.0941632
10,0.9488245,0.8790912,"('unsympathetic', 'sympathetic')",0.9488245,0.8790912,-0.0697333
11,0.99791396,0.9266034,"('unhelpful', 'helpful')",0.997914,0.9266034,-0.0713106
12,-0.43730608,-0.4914331,"('unsupportive', 'supportive')",-0.4373061,-0.4914331,-0.054127
13,0.66476643,0.5713658,"('impolite', 'polite')",0.6647664,0.5713658,-0.0934006
14,1.6955224,1.5613655,"('antisocial', 'social')",1.6955224,1.5613655,-0.1341569
15,-0.022882968,-0.11919837,"('boring', 'funny')",-0.022883,-0.1191984,-0.0963154
16,-0.99104565,-0.98154676,"('unpopular', 'popular')",-0.9910457,-0.9815468,0.0094989
17,-0.38182792,-0.34564498,"('nasty', 'nice')",-0.3818279,-0.345645,0.0361829
18,-0.8121567,-0.781099,"('disagreeable', 'welcoming')",-0.8121567,-0.781099,0.0310577
19,-1.9348018,-1.9165877,"('inhospitable', 'hospitable')",-1.9348018,-1.9165877,0.0182141
20,0.30236554,0.24908143,"('rough', 'thoughtful')",0.3023655,0.2490814,-0.0532841
21,0.7934963,0.8607234,"('immoral', 'moral')",0.7934963,0.8607234,0.0672271
22,0.698437,0.6106405,"('untrustworthy', 'trustworthy')",0.698437,0.6106405,-0.0877965
23,2.4130514,2.2787094,"('insincere', 'sincere')",2.4130514,2.2787094,-0.134342
24,0.0496305,-0.03983809,"('dishonest', 'honest')",0.0496305,-0.0398381,-0.0894686
25,-0.5279538,-0.5126037,"('egoistic', 'altruistic')",-0.5279538,-0.5126037,0.0153501
26,0.5682018,0.4042876,"('hardhearted', 'benevolent')",0.5682018,0.4042876,-0.1639142
27,-0.0148751605,-0.21739796,"('hardhearted', 'softhearted')",-0.0148752,-0.217398,-0.2025228
28,0.36228904,0.34994417,"('disloyal', 'loyal')",0.362289,0.3499442,-0.0123448
29,-0.95005345,-1.0082619,"('unfair', 'fair')",-0.9500535,-1.0082619,-0.0582084
30,1.0962406,0.99259454,"('intolerant', 'tolerant')",1.0962406,0.9925945,-0.1036461
