,pigsty_male,pigsty_female,tuple,average_male,average_female,female-male
0,0.90303415,0.6485667,"('unsociable', 'sociable')",0.9030342,0.6485667,-0.2544675
1,-0.93702394,-1.1391807,"('unfriendly', 'friendly')",-0.9370239,-1.1391807,-0.2021568
2,-1.0487351,-1.0478966,"('unlikable', 'likable')",-1.0487351,-1.0478966,0.0008385
3,-1.102675,-1.0676184,"('repellent', 'pleasant')",-1.102675,-1.0676184,0.0350566
4,-2.5237482,-2.3490934,"('disliked', 'liked')",-2.5237482,-2.3490934,0.1746548
5,-0.6290152,-0.57806766,"('distant', 'outgoing')",-0.6290152,-0.5780677,0.0509475
6,-0.7449269,-0.7037289,"('distant', 'open')",-0.7449269,-0.7037289,0.041198
7,0.05638913,-0.0246352,"('insensitive', 'sensitive')",0.0563891,-0.0246352,-0.0810243
8,-0.16170356,-0.20076704,"('unaffectionate', 'affectionate')",-0.1617036,-0.200767,-0.0390634
9,-0.12917766,-0.21996635,"('unaffectionate', 'caring')",-0.1291777,-0.2199664,-0.0907887
10,-0.1951622,-0.3348302,"('unsympathetic', 'sympathetic')",-0.1951622,-0.3348302,-0.139668
11,0.94516397,0.8758933,"('unhelpful', 'helpful')",0.945164,0.8758933,-0.0692707
12,-0.70158297,-0.68218124,"('unsupportive', 'supportive')",-0.701583,-0.6821812,0.0194018
13,0.52849185,0.36397204,"('impolite', 'polite')",0.5284919,0.363972,-0.1645199
14,0.5141518,0.35843667,"('antisocial', 'social')",0.5141518,0.3584367,-0.1557151
15,1.418772,1.2708701,"('boring', 'funny')",1.418772,1.2708701,-0.1479019
16,-0.52808326,-0.5758542,"('unpopular', 'popular')",-0.5280833,-0.5758542,-0.0477709
17,0.22223683,0.30219924,"('nasty', 'nice')",0.2222368,0.3021992,0.0799624
18,-1.9759107,-1.9615142,"('disagreeable', 'welcoming')",-1.9759107,-1.9615142,0.0143965
19,-1.5673624,-1.4569268,"('inhospitable', 'hospitable')",-1.5673624,-1.4569268,0.1104356
