,plover_male,plover_female,tuple,average_male,average_female,female-male
0,-0.4747198,-0.74151963,"('unsociable', 'sociable')",-0.4747198,-0.7415196,-0.2667998
1,-1.9396027,-1.9700818,"('unfriendly', 'friendly')",-1.9396027,-1.9700818,-0.0304791
2,0.5039611,0.58970284,"('unlikable', 'likable')",0.5039611,0.5897028,0.0857417
3,-0.10742067,0.013015525,"('repellent', 'pleasant')",-0.1074207,0.0130155,0.1204362
4,-2.7996862,-2.7666426,"('disliked', 'liked')",-2.7996862,-2.7666426,0.0330436
5,-2.3326607,-2.2580457,"('distant', 'outgoing')",-2.3326607,-2.2580457,0.074615
6,-2.458804,-2.4004898,"('distant', 'open')",-2.4588039,-2.4004898,0.0583141
7,0.03284622,0.13571721,"('insensitive', 'sensitive')",0.0328462,0.1357172,0.102871
8,-1.0782195,-1.0984215,"('unaffectionate', 'affectionate')",-1.0782195,-1.0984215,-0.020202
9,-1.3119189,-1.2792194,"('unaffectionate', 'caring')",-1.3119189,-1.2792194,0.0326995
10,-0.59344673,-0.7185689,"('unsympathetic', 'sympathetic')",-0.5934467,-0.7185689,-0.1251222
11,0.8816909,0.83207774,"('unhelpful', 'helpful')",0.8816909,0.8320777,-0.0496132
12,-1.6600882,-1.5766035,"('unsupportive', 'supportive')",-1.6600882,-1.5766035,0.0834847
13,0.49525294,0.18861173,"('impolite', 'polite')",0.4952529,0.1886117,-0.3066412
14,0.74130243,0.6421392,"('antisocial', 'social')",0.7413024,0.6421392,-0.0991632
15,0.4837198,0.2729761,"('boring', 'funny')",0.4837198,0.2729761,-0.2107437
16,-0.721052,-0.65606123,"('unpopular', 'popular')",-0.721052,-0.6560612,0.0649908
17,-0.38853183,-0.36977044,"('nasty', 'nice')",-0.3885318,-0.3697704,0.0187614
18,-0.7763289,-0.81028175,"('disagreeable', 'welcoming')",-0.7763289,-0.8102818,-0.0339529
19,-1.7764359,-1.7060989,"('inhospitable', 'hospitable')",-1.7764359,-1.7060989,0.070337
20,0.2721471,0.3489748,"('rough', 'thoughtful')",0.2721471,0.3489748,0.0768277
21,0.43665534,0.43242067,"('immoral', 'moral')",0.4366553,0.4324207,-0.0042346
22,0.52750397,0.34740028,"('untrustworthy', 'trustworthy')",0.527504,0.3474003,-0.1801037
