,prostacyclin_male,prostacyclin_female,tuple,average_male,average_female,female-male
0,-1.3553332,-1.4656491,"('unsociable', 'sociable')",-1.3553332,-1.4656491,-0.1103159
1,-0.55299884,-0.73668593,"('unfriendly', 'friendly')",-0.5529988,-0.7366859,-0.1836871
2,0.49665135,0.42957845,"('unlikable', 'likable')",0.4966514,0.4295785,-0.0670729
3,-1.2980424,-1.2144442,"('repellent', 'pleasant')",-1.2980424,-1.2144442,0.0835982
4,-0.651638,-0.6987327,"('disliked', 'liked')",-0.651638,-0.6987327,-0.0470947
5,0.07904959,0.08959778,"('distant', 'outgoing')",0.0790496,0.0895978,0.0105482
6,0.26884848,0.2618537,"('distant', 'open')",0.2688485,0.2618537,-0.0069948
7,-2.1253355,-2.1007528,"('insensitive', 'sensitive')",-2.1253355,-2.1007528,0.0245827
8,-0.96149325,-1.1668186,"('unaffectionate', 'affectionate')",-0.9614933,-1.1668186,-0.2053253
9,-1.350245,-1.5213152,"('unaffectionate', 'caring')",-1.350245,-1.5213152,-0.1710702
10,-2.384529,-2.4249084,"('unsympathetic', 'sympathetic')",-2.3845291,-2.4249084,-0.0403793
11,-1.0557916,-1.0855255,"('unhelpful', 'helpful')",-1.0557916,-1.0855255,-0.0297339
12,-0.8264183,-0.7709101,"('unsupportive', 'supportive')",-0.8264183,-0.7709101,0.0555082
13,-1.499915,-1.5922374,"('impolite', 'polite')",-1.499915,-1.5922374,-0.0923224
14,-1.1241953,-1.0767758,"('antisocial', 'social')",-1.1241953,-1.0767758,0.0474195
15,0.5063799,0.42039073,"('boring', 'funny')",0.5063799,0.4203907,-0.0859892
16,-0.025262788,0.021094356,"('unpopular', 'popular')",-0.0252628,0.0210944,0.0463572
17,-0.099167615,-0.06628061,"('nasty', 'nice')",-0.0991676,-0.0662806,0.032887
18,0.038723357,0.03459654,"('disagreeable', 'welcoming')",0.0387234,0.0345965,-0.0041269
19,-0.68682915,-0.6973209,"('inhospitable', 'hospitable')",-0.6868291,-0.6973209,-0.0104918
20,-0.679128,-0.6827256,"('rough', 'thoughtful')",-0.679128,-0.6827256,-0.0035976
21,-0.7363242,-0.72082466,"('immoral', 'moral')",-0.7363242,-0.7208247,0.0154995
22,-0.76165247,-0.7827356,"('untrustworthy', 'trustworthy')",-0.7616525,-0.7827356,-0.0210831
23,-0.5242016,-0.69566005,"('insincere', 'sincere')",-0.5242016,-0.6956601,-0.1714585
24,-0.9163434,-1.0156797,"('dishonest', 'honest')",-0.9163434,-1.0156797,-0.0993363
25,0.06388737,0.03065865,"('egoistic', 'altruistic')",0.0638874,0.0306586,-0.0332288
26,0.5581905,0.34939605,"('hardhearted', 'benevolent')",0.5581905,0.349396,-0.2087945
