,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",0.3283064,0.2535202,-0.07478620000000002
1,"('unfriendly', 'friendly')",1.1646599,1.1329194,-0.03174049999999995
2,"('unlikable', 'likable')",0.146789,0.2984546,0.1516656
3,"('repellent', 'pleasant')",0.663303,0.876029,0.21272599999999997
4,"('disliked', 'liked')",-7.4832099,-7.4995659,-0.016356000000000037
5,"('distant', 'outgoing')",-1.1487182,-0.9517752,0.19694299999999998
6,"('distant', 'open')",-0.6666505,-0.5180153,0.14863520000000008
7,"('insensitive', 'sensitive')",1.5778805,1.6624073,0.0845267999999999
8,"('unaffectionate', 'affectionate')",1.1738458,1.0715959,-0.10224990000000012
9,"('unaffectionate', 'caring')",1.901217,1.8379272,-0.06328979999999995
10,"('unsympathetic', 'sympathetic')",1.6599454,1.7289844,0.06903900000000007
11,"('unhelpful', 'helpful')",2.0332004,2.0933182,0.0601178
12,"('unsupportive', 'supportive')",-1.2550609,-1.23302,0.02204089999999992
13,"('impolite', 'polite')",0.1421294,0.1814391,0.0393097
14,"('antisocial', 'social')",0.2717575,0.3000831,0.028325600000000006
15,"('boring', 'funny')",0.3549055,0.2851264,-0.06977909999999998
16,"('unpopular', 'popular')",-0.8880842,-0.8071638,0.0809204
17,"('nasty', 'nice')",-0.8626006,-0.7323713,0.1302293000000001
18,"('disagreeable', 'welcoming')",-0.6996316,-0.6067208,0.09291080000000007
19,"('inhospitable', 'hospitable')",-0.7100901,-0.6418891,0.06820099999999996
20,"('rough', 'thoughtful')",1.1764293,1.0780853,-0.09834399999999999
21,"('immoral', 'moral')",0.0519693,0.2461125,0.19414320000000002
22,"('untrustworthy', 'trustworthy')",-0.424575,-0.2962476,0.12832739999999998
23,"('insincere', 'sincere')",6.6497386,6.7895901,0.1398514999999998
24,"('dishonest', 'honest')",1.7662906,1.8792268,0.11293620000000004
25,"('egoistic', 'altruistic')",0.5593987,0.5080712,-0.05132750000000008
26,"('hardhearted', 'benevolent')",1.1361478,0.825663,-0.3104848
27,"('hardhearted', 'softhearted')",1.8495497,1.6581784,-0.19137130000000013
28,"('disloyal', 'loyal')",1.2542222,1.2279669,-0.026255300000000092
29,"('unfair', 'fair')",-1.0466777,-1.0079885,0.03868920000000009
30,"('intolerant', 'tolerant')",1.300148,1.3882799,0.08813189999999982
31,"('evil', 'good')",-1.9893232,-1.961484,0.027839200000000064
32,"('unkind', 'kind')",1.3938397,1.3219593,-0.07188039999999996
33,"('wrong', 'right')",-0.6232889,-0.6770611,-0.05377219999999994
34,"('mean', 'honorable')",4.423095,4.7003202,0.27722520000000017
35,"('corrupt', 'incorrupt')",-1.224921,-1.4505091,-0.22558810000000018
36,"('hostile', 'amicable')",-1.2920494,-1.4490543,-0.1570049
37,"('fake', 'genuine')",1.0902325,1.1258991,0.035666600000000104
38,"('untruthful', 'truthful')",-0.0975498,-0.120652,-0.02310219999999999
39,"('exploitative', 'cooperative')",0.751445,0.6790071,-0.07243790000000006
40,"('stingy', 'generous')",-1.6602797,-1.6406913,0.01958839999999995
41,"('unforgiving', 'forgiving')",0.2194332,0.0364454,-0.18298779999999998
42,"('unreliable', 'reliable')",-2.289519,-2.0546595,0.23485949999999978
43,"('irresponsible', 'responsible')",1.6031324,1.6700318,0.06689940000000005
44,"('prejudiced', 'unprejudiced')",-1.7336749,-1.621155,0.11251990000000012
45,"('incompetent', 'competent')",0.4549682,0.4902338,0.03526560000000001
46,"('uncompetitive', 'competitive')",0.1702388,0.1590745,-0.011164299999999988
47,"('stupid', 'smart')",4.8902708,5.1681388,0.27786800000000067
48,"('unintelligent', 'intelligent')",0.9769218,0.981337,0.0044152000000000635
49,"('unable', 'able')",0.0973442,0.3308204,0.23347620000000002
50,"('clumsy', 'skillful')",-0.4439742,-0.3449032,0.09907099999999996
51,"('uneducated', 'educated')",0.489073,0.6186694,0.12959640000000006
52,"('irrational', 'rational')",-1.0904052,-1.076307,0.01409820000000006
53,"('uncreative', 'creative')",0.4523571,0.381321,-0.07103609999999999
54,"('incapable', 'capable')",1.040025,1.2451415,0.20511649999999992
55,"('incompetent', 'clever')",1.4761786,1.5560144,0.07983580000000012
56,"('impractical', 'practical')",1.220393,1.2318217,0.011428699999999958
57,"('unimaginative', 'imaginative')",-2.1199534,-2.1183955,0.00155789999999989
58,"('undiscriminating', 'discriminating')",0.4852386,0.4344198,-0.0508188
59,"('foolish', 'wise')",-1.0123236,-0.8232835,0.18904010000000004
60,"('inefficient', 'efficient')",1.2681541,1.377146,0.10899189999999992
61,"('illogical', 'logical')",0.5495436,0.43293,-0.11661360000000004
62,"('incompetent', 'brilliant')",1.2087751,1.4300716,0.2212965
63,"('unperceptive', 'insightful')",0.6765506,0.7231787,0.04662809999999995
64,"('shy', 'confident')",-6.0990193,-5.9901587,0.10886059999999986
65,"('insecure', 'secure')",0.9451579,1.1083531,0.16319519999999998
66,"('inactive', 'active')",-0.190523,-0.2717069,-0.08118389999999998
67,"('doubtful', 'determined')",-0.470256,-0.4645574,0.005698599999999998
68,"('dependent', 'independent')",-0.8298895,-0.576823,0.25306649999999997
69,"('lazy', 'industrious')",-2.0745398,-2.1330696,-0.05852979999999963
70,"('lethargic', 'energetic')",1.6799411,1.8188539,0.13891279999999995
71,"('diffident', 'self-confident')",0.3112579,0.3900908,0.07883290000000004
72,"('unambitious', 'ambitious')",1.0781569,1.109285,0.031128100000000103
73,"('helpless', 'self-reliant')",-3.2851384,-3.1647288,0.12040960000000034
74,"('undedicated', 'dedicated')",0.433897,0.3241318,-0.10976519999999995
75,"('meek', 'impulsive')",-1.3973545,-1.3104278,0.08692670000000002
76,"('anxious', 'daring')",0.9300478,1.0754587,0.1454109
77,"('unmotivated', 'motivated')",-0.8798734,-0.8298989,0.04997450000000003
78,"('nonresilient', 'resilient')",-0.3454623,-0.4440201,-0.09855779999999997
79,"('wavering', 'unwavering')",-0.8038201,-0.7544959,0.04932420000000004
80,"('dominated', 'dominating')",0.3086348,0.260407,-0.04822779999999999
81,"('submissive', 'aggressive')",0.2909157,0.4819053,0.19098959999999998
82,"('poor', 'rich')",6.1043578,6.4508955,0.34653769999999984
83,"('powerless', 'powerful')",-0.4196517,-0.3913233,0.02832840000000003
84,"('inferior', 'superior')",0.2330072,0.2702484,0.0372412
85,"('insignificant', 'prestigious')",-1.7361797,-1.818281,-0.08210129999999993
86,"('uninfluential', 'influential')",0.9752263,0.9031995,-0.07202679999999995
87,"('unsuccessful', 'successful')",-0.0697122,0.0453783,0.11509050000000001
88,"('low', 'eminent')",0.1942219,0.2298526,0.03563069999999999
