,royal_male,royal_female,tuple,caribbean_male,caribbean_female,cruises_male,cruises_female,ltd_male,ltd_female,average_male,average_female,female-male
0,-0.044766415,-0.058162324,"('unsociable', 'sociable')",0.24998209,0.26531634,0.70571935,0.91873187,-0.10819422,-0.094476104,0.2006852,0.2578524,0.0571672
1,0.09466337,0.114917845,"('unfriendly', 'friendly')",0.8606306,0.9342466,2.477271,2.8283188,1.3352045,1.1300639,1.1919423,1.2518868,0.0599445
2,1.0251065,1.051192,"('unlikable', 'likable')",1.1186991,1.123793,1.5013564,1.5446901,0.40781465,0.47461963,1.0132442,1.0485737,0.0353295
3,-0.8596047,-0.76187885,"('repellent', 'pleasant')",-0.25883847,-0.24691077,-0.6262164,-0.47179645,0.64581907,0.7170219,-0.2747101,-0.190891,0.0838191
4,0.35733896,0.37424672,"('disliked', 'liked')",0.20925705,0.24021748,0.21670802,0.22011654,-4.940024,-4.7100315,-1.0391799,-0.9688627,0.0703172
5,0.21937172,0.32788974,"('distant', 'outgoing')",0.47080803,0.51689285,1.2616376,1.311439,-0.55783033,-0.67864156,0.3484967,0.369395,0.0208983
6,-0.33072507,-0.2064499,"('distant', 'open')",0.21128069,0.22973391,0.43682963,0.51245296,-0.10576722,-0.29614264,0.0529045,0.0598986,0.0069941
7,0.23072097,0.20487718,"('insensitive', 'sensitive')",0.13614032,0.14716113,0.060478296,0.29041559,0.26192433,0.2546589,0.172316,0.2242782,0.0519622
8,0.2924137,0.2951936,"('unaffectionate', 'affectionate')",0.31474495,0.29391855,1.2895528,1.2300555,0.1302088,-0.17857024,0.5067301,0.4101493,-0.0965808
9,0.83575916,0.84539366,"('unaffectionate', 'caring')",0.5311348,0.5404212,1.1892037,1.2625684,0.38488123,0.18441969,0.7352448,0.7082007,-0.0270441
10,-0.07368999,-0.01695106,"('unsympathetic', 'sympathetic')",-1.0109711,-1.0343058,-1.0527967,-0.74294466,-0.20291731,-0.103395626,-0.5850938,-0.4743993,0.1106945
11,0.008409029,-0.07460804,"('unhelpful', 'helpful')",0.009559635,0.010838009,-0.4026174,-0.33938444,1.6335901,1.6305752,0.3122354,0.3068552,-0.0053802
12,0.8243298,0.91717124,"('unsupportive', 'supportive')",1.4132744,1.4465439,0.5934559,0.7191462,-1.5460309,-1.5171125,0.3212573,0.3914372,0.0701799
13,0.35445657,0.25917876,"('impolite', 'polite')",0.041072566,0.010546811,0.0787649,0.13460776,-0.053327814,-0.02903558,0.1052416,0.0938244,-0.0114172
14,1.3869288,1.409594,"('antisocial', 'social')",0.8646584,0.858573,1.679073,1.8688918,0.11066453,0.3020366,1.0103312,1.1097739,0.0994427
15,-0.16580836,-0.31721556,"('boring', 'funny')",1.3116244,1.2336134,1.2026528,1.0565144,0.25049266,0.2153748,0.6497403,0.5470718,-0.1026685
16,0.09556503,0.25123662,"('unpopular', 'popular')",0.03637135,0.1187,0.58228976,0.59974694,0.6458143,0.64484453,0.3400101,0.403632,0.0636219
17,-0.08959041,-0.04536565,"('nasty', 'nice')",-0.12880778,-0.10663969,-0.24216294,-0.23442627,-0.17229609,-0.13369927,-0.1582143,-0.1300327,0.0281816
18,0.80268365,0.8742383,"('disagreeable', 'welcoming')",1.8363616,1.8733267,1.0432544,1.2295283,-1.2306931,-1.2634174,0.6129016,0.678419,0.0655174
19,-0.6605914,-0.56357807,"('inhospitable', 'hospitable')",-0.66816175,-0.61913943,-1.3931828,-1.2899367,-0.9393947,-1.0004431,-0.9153327,-0.8682743,0.0470584
20,-0.47863904,-0.40182889,"('rough', 'thoughtful')",-0.5930884,-0.59453905,-0.6408388,-0.5840823,0.92310834,0.8794386,-0.1973644,-0.1752529,0.0221115
21,-0.5576128,-0.5555951,"('immoral', 'moral')",-0.52494353,-0.5425155,-0.842953,-0.64975154,-1.2112461,-1.0498815,-0.7841889,-0.6994359,0.084753
22,0.52547294,0.5365456,"('untrustworthy', 'trustworthy')",-0.1535657,-0.20765065,-0.431459,-0.3605391,-0.4191805,-0.31573886,-0.1196831,-0.0868458,0.0328373
23,-0.13593729,-0.13644305,"('insincere', 'sincere')",0.6610825,0.69911075,0.1844864,0.4791853,4.8277426,4.5893874,1.3843435,1.4078101,0.0234666
24,-0.07590179,-0.037707463,"('dishonest', 'honest')",-0.4313889,-0.43442503,-0.80254537,-0.66848844,0.28539816,0.23029955,-0.2561095,-0.2275804,0.0285291
