,ryder_male,ryder_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.3866118,-0.72024846,"('unsociable', 'sociable')",0.093342975,-0.023058832,-0.6584626,-0.8355427,-0.3172438,-0.5262833,-0.2090395
1,-0.52292514,-0.5450535,"('unfriendly', 'friendly')",0.71162486,0.59863585,2.4041598,2.3318799,0.8642865,0.7951541,-0.0691324
2,0.74473614,0.7447032,"('unlikable', 'likable')",0.68695253,0.67118955,0.6370757,0.7137621,0.6895881,0.709885,0.0202969
3,0.18514973,0.31358227,"('repellent', 'pleasant')",0.68887514,0.9180629,0.13111189,0.31321308,0.3350456,0.5149528,0.1799072
4,-0.33416316,-0.42605892,"('disliked', 'liked')",-0.9833948,-1.0570056,-6.01133,-6.08159,-2.4429626,-2.5215516,-0.078589
5,-0.6373391,-0.53839004,"('distant', 'outgoing')",-0.90442127,-0.9430294,0.21100149,0.34698802,-0.4435863,-0.3781438,0.0654425
6,-0.7117591,-0.6025955,"('distant', 'open')",-1.4548758,-1.4651959,0.59018,0.71825063,-0.525485,-0.4498469,0.0756381
7,0.6832079,0.53695816,"('insensitive', 'sensitive')",0.40840527,0.5877026,0.9725055,1.0451916,0.6880395,0.7232841,0.0352446
8,-0.24217188,-0.18087903,"('unaffectionate', 'affectionate')",-0.62066543,-0.649467,1.2604445,1.2421085,0.1325357,0.1372542,0.0047185
9,-0.23966573,-0.1909791,"('unaffectionate', 'caring')",-0.08297779,0.013825061,1.5213113,1.6315875,0.3995559,0.4848111,0.0852552
10,-0.041793346,-0.31843883,"('unsympathetic', 'sympathetic')",-0.85448366,-0.81331766,-0.6752224,-0.74900806,-0.5238331,-0.6269215,-0.1030884
11,-0.99200714,-1.0916905,"('unhelpful', 'helpful')",0.630155,0.6051597,1.6510347,1.688594,0.4297276,0.4006877,-0.0290399
12,0.2539553,0.13226669,"('unsupportive', 'supportive')",0.4802055,0.5729525,-1.4959282,-1.4788858,-0.2539225,-0.2578889,-0.0039664
13,-0.08143057,-0.32296368,"('impolite', 'polite')",-0.31778625,-0.5090255,-0.55018896,-0.7499826,-0.3164686,-0.5273239,-0.2108553
14,0.2872612,0.12813473,"('antisocial', 'social')",0.8219851,0.9309674,-0.74592453,-0.7586222,0.1211072,0.1001599,-0.0209473
15,-0.31115776,-0.45898217,"('boring', 'funny')",-1.0113343,-1.1703281,0.6151027,0.50930965,-0.2357965,-0.3733336,-0.1375371
16,-1.5508527,-1.5095571,"('unpopular', 'popular')",-0.57992077,-0.5087991,0.5566888,0.61895597,-0.5246949,-0.4664668,0.0582281
17,-0.2247894,-0.15666702,"('nasty', 'nice')",-0.6461749,-0.64374816,-0.4515585,-0.40076038,-0.4408409,-0.4003919,0.040449
18,-0.17141074,-0.1688217,"('disagreeable', 'welcoming')",0.1650038,0.22592315,-0.25062075,-0.18056586,-0.0856759,-0.0411548,0.0445211
19,-0.44889814,-0.3458995,"('inhospitable', 'hospitable')",-1.3686688,-1.5148344,0.31394207,0.36238384,-0.5012083,-0.49945,0.0017583
20,0.6771276,0.64349157,"('rough', 'thoughtful')",0.6907696,0.826208,0.96920973,0.89155567,0.7790356,0.7870851,0.0080495
21,0.40393028,0.30149254,"('immoral', 'moral')",0.64575297,0.6068786,-0.87736714,-0.8552495,0.0574387,0.0177072,-0.0397315
