,scana_male,scana_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.22524294,-0.21303101,"('unsociable', 'sociable')",-0.21297109,-0.39913583,-0.219107,-0.3060834,-0.0869764
1,-1.704828,-1.7565916,"('unfriendly', 'friendly')",1.0566236,0.91703564,-0.3241022,-0.419778,-0.0956758
2,0.35378006,0.39576778,"('unlikable', 'likable')",0.7937538,0.84524584,0.5737669,0.6205068,0.0467399
3,0.3920017,0.6345033,"('repellent', 'pleasant')",0.8877042,0.89114463,0.6398529,0.7628239,0.122971
4,-0.72068787,-0.8024919,"('disliked', 'liked')",-6.047252,-6.1245036,-3.38397,-3.4634976,-0.0795276
5,-2.3139575,-2.3772,"('distant', 'outgoing')",-0.6793531,-0.6982347,-1.4966552,-1.5377173,-0.0410621
6,-2.217252,-2.2557595,"('distant', 'open')",-0.6691644,-0.71722543,-1.4432082,-1.4864924,-0.0432842
7,0.1537596,0.37934887,"('insensitive', 'sensitive')",-0.025251398,0.00011785701,0.0642541,0.1897334,0.1254793
8,-0.8573138,-1.0024092,"('unaffectionate', 'affectionate')",0.56831014,0.5003394,-0.1445018,-0.2510349,-0.1065331
9,-1.3948531,-1.4756762,"('unaffectionate', 'caring')",0.6957515,0.62539554,-0.3495508,-0.4251403,-0.0755895
10,-0.2913868,-0.05842021,"('unsympathetic', 'sympathetic')",-0.80824876,-0.8763344,-0.5498178,-0.4673773,0.0824405
11,-0.2132972,-0.13268195,"('unhelpful', 'helpful')",1.2302501,1.2598424,0.5084764,0.5635802,0.0551038
12,-0.5278389,-0.33698127,"('unsupportive', 'supportive')",-2.178493,-2.2174706,-1.353166,-1.277226,0.07594
13,0.03718586,0.0898003,"('impolite', 'polite')",-1.0401578,-1.0028182,-0.5014859,-0.456509,0.0449769
14,1.4181558,1.5379641,"('antisocial', 'social')",0.33216438,0.19691727,0.8751601,0.8674407,-0.0077194
15,-0.38160905,-0.6232063,"('boring', 'funny')",0.08482362,0.07238722,-0.1483927,-0.2754095,-0.1270168
16,-0.75909173,-0.8100508,"('unpopular', 'popular')",0.6744813,0.6097581,-0.0423052,-0.1001464,-0.0578412
17,-0.3527664,-0.28018945,"('nasty', 'nice')",-0.60512096,-0.5575871,-0.4789437,-0.4188883,0.0600554
18,-0.32747337,-0.21043646,"('disagreeable', 'welcoming')",-0.56734544,-0.61717916,-0.4474094,-0.4138078,0.0336016
19,-1.861528,-1.8572695,"('inhospitable', 'hospitable')",-0.88467324,-0.7858849,-1.3731006,-1.3215772,0.0515234
20,0.7962579,0.8701948,"('rough', 'thoughtful')",0.90188485,0.8260813,0.8490714,0.848138,-0.0009334
21,0.76947033,0.908427,"('immoral', 'moral')",-0.28484225,-0.29873523,0.242314,0.3048459,0.0625319
22,0.47066662,0.64376307,"('untrustworthy', 'trustworthy')",-1.0748457,-1.1792545,-0.3020895,-0.2677457,0.0343438
23,-0.19897252,-0.032636195,"('insincere', 'sincere')",4.8042784,4.7543917,2.3026528,2.3608778,0.058225
24,-0.26918426,-0.21804576,"('dishonest', 'honest')",0.26963326,0.27854165,0.0002245,0.0302479,0.0300234
25,-0.61474836,-0.73777145,"('egoistic', 'altruistic')",1.2117876,1.1696047,0.2985196,0.2159166,-0.082603
