,shout_male,shout_female,tuple,average_male,average_female,female-male
0,0.15950768,0.06554063,"('unsociable', 'sociable')",0.1595077,0.0655406,-0.0939671
1,0.6919196,0.5704612,"('unfriendly', 'friendly')",0.6919196,0.5704612,-0.1214584
2,0.0037897471,0.19412723,"('unlikable', 'likable')",0.0037897,0.1941272,0.1903375
3,1.0406266,1.1648322,"('repellent', 'pleasant')",1.0406266,1.1648322,0.1242056
4,-6.8861895,-7.1579514,"('disliked', 'liked')",-6.8861895,-7.1579514,-0.2717619
5,-0.8635774,-0.8358942,"('distant', 'outgoing')",-0.8635774,-0.8358942,0.0276832
6,-0.38035607,-0.45838237,"('distant', 'open')",-0.3803561,-0.4583824,-0.0780263
7,1.1035342,1.0369982,"('insensitive', 'sensitive')",1.1035342,1.0369982,-0.066536
8,0.57007545,0.4414425,"('unaffectionate', 'affectionate')",0.5700755,0.4414425,-0.128633
9,1.0816227,1.0979,"('unaffectionate', 'caring')",1.0816227,1.0979,0.0162773
10,1.438692,1.4615462,"('unsympathetic', 'sympathetic')",1.438692,1.4615462,0.0228542
11,1.5657558,1.6429734,"('unhelpful', 'helpful')",1.5657558,1.6429734,0.0772176
12,-1.4934446,-1.5517455,"('unsupportive', 'supportive')",-1.4934446,-1.5517455,-0.0583009
13,0.09153287,0.2056047,"('impolite', 'polite')",0.0915329,0.2056047,0.1140718
14,0.34715033,0.2931015,"('antisocial', 'social')",0.3471503,0.2931015,-0.0540488
15,-0.028678104,-0.14940152,"('boring', 'funny')",-0.0286781,-0.1494015,-0.1207234
16,-0.39120263,-0.43395418,"('unpopular', 'popular')",-0.3912026,-0.4339542,-0.0427516
17,-0.0065822676,-0.02053048,"('nasty', 'nice')",-0.0065823,-0.0205305,-0.0139482
18,-0.4996756,-0.529867,"('disagreeable', 'welcoming')",-0.4996756,-0.529867,-0.0301914
19,-1.0938379,-1.0960107,"('inhospitable', 'hospitable')",-1.0938379,-1.0960107,-0.0021728
20,0.94827986,0.8864626,"('rough', 'thoughtful')",0.9482799,0.8864626,-0.0618173
21,0.075908124,0.25351262,"('immoral', 'moral')",0.0759081,0.2535126,0.1776045
22,-0.020842124,-0.057456095,"('untrustworthy', 'trustworthy')",-0.0208421,-0.0574561,-0.036614
23,5.5674706,5.7253313,"('insincere', 'sincere')",5.5674706,5.7253313,0.1578607
24,1.4421338,1.3950236,"('dishonest', 'honest')",1.4421338,1.3950236,-0.0471102
25,0.23379302,0.2007426,"('egoistic', 'altruistic')",0.233793,0.2007426,-0.0330504
26,0.85645354,0.5662503,"('hardhearted', 'benevolent')",0.8564535,0.5662503,-0.2902032
