,something_male,something_female,tuple,average_male,average_female,female-male
0,-0.41739154,-0.43077034,"('unsociable', 'sociable')",-0.4173915,-0.4307703,-0.0133788
1,1.7797012,1.7026287,"('unfriendly', 'friendly')",1.7797012,1.7026287,-0.0770725
2,0.32120115,0.4198209,"('unlikable', 'likable')",0.3212011,0.4198209,0.0986198
3,0.79330736,0.8158754,"('repellent', 'pleasant')",0.7933074,0.8158754,0.022568
4,-7.133691,-7.1606903,"('disliked', 'liked')",-7.1336908,-7.1606903,-0.0269995
5,0.4611979,0.46888968,"('distant', 'outgoing')",0.4611979,0.4688897,0.0076918
6,0.7403553,0.7094127,"('distant', 'open')",0.7403553,0.7094127,-0.0309426
7,0.5241143,0.60872626,"('insensitive', 'sensitive')",0.5241143,0.6087263,0.084612
8,1.576387,1.5122398,"('unaffectionate', 'affectionate')",1.576387,1.5122398,-0.0641472
9,1.9061087,2.0111647,"('unaffectionate', 'caring')",1.9061087,2.0111647,0.105056
10,0.40225542,0.46125352,"('unsympathetic', 'sympathetic')",0.4022554,0.4612535,0.0589981
11,1.4437778,1.5364205,"('unhelpful', 'helpful')",1.4437778,1.5364205,0.0926427
12,-1.8214455,-1.7811021,"('unsupportive', 'supportive')",-1.8214455,-1.7811021,0.0403434
13,-0.31498718,-0.2972132,"('impolite', 'polite')",-0.3149872,-0.2972132,0.017774
14,-0.57152635,-0.60580856,"('antisocial', 'social')",-0.5715263,-0.6058086,-0.0342823
15,0.3401268,0.34339818,"('boring', 'funny')",0.3401268,0.3433982,0.0032714
16,-0.017034803,-0.014712799,"('unpopular', 'popular')",-0.0170348,-0.0147128,0.002322
17,-0.16293973,-0.1427885,"('nasty', 'nice')",-0.1629397,-0.1427885,0.0201512
18,-0.49547297,-0.6207908,"('disagreeable', 'welcoming')",-0.495473,-0.6207908,-0.1253178
19,-0.29570517,-0.17060213,"('inhospitable', 'hospitable')",-0.2957052,-0.1706021,0.1251031
20,0.7882351,0.6151617,"('rough', 'thoughtful')",0.7882351,0.6151617,-0.1730734
21,-0.6450063,-0.4245779,"('immoral', 'moral')",-0.6450063,-0.4245779,0.2204284
22,-0.52729964,-0.50423104,"('untrustworthy', 'trustworthy')",-0.5272996,-0.504231,0.0230686
23,6.0949216,6.145702,"('insincere', 'sincere')",6.0949216,6.1457019,0.0507803
24,1.5902399,1.5875794,"('dishonest', 'honest')",1.5902399,1.5875794,-0.0026605
25,0.7589443,0.6651718,"('egoistic', 'altruistic')",0.7589443,0.6651718,-0.0937725
26,0.51844746,0.4364326,"('hardhearted', 'benevolent')",0.5184475,0.4364326,-0.0820149
27,1.5600548,1.3752036,"('hardhearted', 'softhearted')",1.5600548,1.3752036,-0.1848512
28,1.2386206,1.224684,"('disloyal', 'loyal')",1.2386206,1.224684,-0.0139366
29,-0.32741553,-0.42456782,"('unfair', 'fair')",-0.3274155,-0.4245678,-0.0971523
30,0.4898212,0.5058991,"('intolerant', 'tolerant')",0.4898212,0.5058991,0.0160779
31,-0.8365873,-0.9079597,"('evil', 'good')",-0.8365873,-0.9079597,-0.0713724
32,1.2208687,1.235487,"('unkind', 'kind')",1.2208687,1.235487,0.0146183
33,-0.063549295,-0.07445158,"('wrong', 'right')",-0.0635493,-0.0744516,-0.0109023
34,4.747717,4.914122,"('mean', 'honorable')",4.7477169,4.9141221,0.1664052
35,-0.55403155,-0.71063215,"('corrupt', 'incorrupt')",-0.5540316,-0.7106321,-0.1566005
36,-0.059277236,-0.15760586,"('hostile', 'amicable')",-0.0592772,-0.1576059,-0.0983287
37,0.9715311,0.95041966,"('fake', 'genuine')",0.9715311,0.9504197,-0.0211114
38,-0.25599808,-0.13241401,"('untruthful', 'truthful')",-0.2559981,-0.132414,0.1235841
39,-0.22951166,-0.19238713,"('exploitative', 'cooperative')",-0.2295117,-0.1923871,0.0371246
40,-1.5428803,-1.8311609,"('stingy', 'generous')",-1.5428803,-1.8311609,-0.2882806
41,0.023544125,0.03222579,"('unforgiving', 'forgiving')",0.0235441,0.0322258,0.0086817
42,-2.4172208,-2.4774532,"('unreliable', 'reliable')",-2.4172208,-2.4774532,-0.0602324
43,0.81275886,0.8748165,"('irresponsible', 'responsible')",0.8127589,0.8748165,0.0620576
44,-1.1192443,-1.2367332,"('prejudiced', 'unprejudiced')",-1.1192443,-1.2367332,-0.1174889
45,-0.025647037,-0.00030221045,"('incompetent', 'competent')",-0.025647,-0.0003022,0.0253448
46,-0.8172961,-0.8177818,"('uncompetitive', 'competitive')",-0.8172961,-0.8177818,-0.0004857
47,5.3983583,5.547759,"('stupid', 'smart')",5.3983583,5.5477591,0.1494008
48,0.27142403,0.20525976,"('unintelligent', 'intelligent')",0.271424,0.2052598,-0.0661642
49,0.23645698,0.44298446,"('unable', 'able')",0.236457,0.4429845,0.2065275
50,0.10939267,0.11793865,"('clumsy', 'skillful')",0.1093927,0.1179387,0.008546
51,0.056029506,0.020459518,"('uneducated', 'educated')",0.0560295,0.0204595,-0.03557
52,-0.070382975,-0.16251841,"('irrational', 'rational')",-0.070383,-0.1625184,-0.0921354
53,0.6374544,0.62348235,"('uncreative', 'creative')",0.6374544,0.6234823,-0.0139721
54,1.3885474,1.5312713,"('incapable', 'capable')",1.3885474,1.5312713,0.1427239
55,0.22142582,0.2622032,"('incompetent', 'clever')",0.2214258,0.2622032,0.0407774
56,-0.06142717,0.05901415,"('impractical', 'practical')",-0.0614272,0.0590141,0.1204413
57,-2.839183,-2.873869,"('unimaginative', 'imaginative')",-2.8391831,-2.8738689,-0.0346858
58,-0.109260455,-0.1340136,"('undiscriminating', 'discriminating')",-0.1092605,-0.1340136,-0.0247531
59,0.2262857,0.30358508,"('foolish', 'wise')",0.2262857,0.3035851,0.0772994
60,-0.059765175,0.06327673,"('inefficient', 'efficient')",-0.0597652,0.0632767,0.1230419
61,0.3235107,0.19127777,"('illogical', 'logical')",0.3235107,0.1912778,-0.1322329
62,0.53848577,0.6172714,"('incompetent', 'brilliant')",0.5384858,0.6172714,0.0787856
63,0.118221946,0.20227972,"('unperceptive', 'insightful')",0.1182219,0.2022797,0.0840578
64,-6.6024904,-6.5246115,"('shy', 'confident')",-6.6024904,-6.5246115,0.0778789
65,-0.21829031,-0.25579032,"('insecure', 'secure')",-0.2182903,-0.2557903,-0.0375
66,0.24552616,0.2156938,"('inactive', 'active')",0.2455262,0.2156938,-0.0298324
67,-0.77115965,-0.6168721,"('doubtful', 'determined')",-0.7711596,-0.6168721,0.1542875
68,-0.80442935,-0.7953875,"('dependent', 'independent')",-0.8044294,-0.7953875,0.0090419
69,-1.3374666,-1.2953075,"('lazy', 'industrious')",-1.3374666,-1.2953075,0.0421591
70,0.7855722,0.74409544,"('lethargic', 'energetic')",0.7855722,0.7440954,-0.0414768
71,0.7646344,0.8096182,"('diffident', 'self-confident')",0.7646344,0.8096182,0.0449838
72,0.67408335,0.7264239,"('unambitious', 'ambitious')",0.6740834,0.7264239,0.0523405
73,-2.9779515,-3.016465,"('helpless', 'self-reliant')",-2.9779515,-3.0164649,-0.0385134
74,-0.27354342,-0.32720822,"('undedicated', 'dedicated')",-0.2735434,-0.3272082,-0.0536648
75,-0.5112183,-0.38950935,"('meek', 'impulsive')",-0.5112183,-0.3895094,0.1217089
76,0.29348496,0.22170942,"('anxious', 'daring')",0.293485,0.2217094,-0.0717756
77,-1.720311,-1.5426829,"('unmotivated', 'motivated')",-1.720311,-1.5426829,0.1776281
78,-0.55960625,-0.6043257,"('nonresilient', 'resilient')",-0.5596063,-0.6043257,-0.0447194
79,-0.086098254,-0.0069015706,"('wavering', 'unwavering')",-0.0860983,-0.0069016,0.0791967
80,-0.80137134,-0.8101244,"('dominated', 'dominating')",-0.8013713,-0.8101244,-0.0087531
81,-0.61911446,-0.54866946,"('submissive', 'aggressive')",-0.6191145,-0.5486695,0.070445
82,6.912773,7.0093226,"('poor', 'rich')",6.9127731,7.0093226,0.0965495
83,-0.7477593,-0.66331226,"('powerless', 'powerful')",-0.7477593,-0.6633123,0.084447
84,0.31330186,0.36173028,"('inferior', 'superior')",0.3133019,0.3617303,0.0484284
85,-0.6924144,-0.74512684,"('insignificant', 'prestigious')",-0.6924144,-0.7451268,-0.0527124
86,0.14951015,0.2361809,"('uninfluential', 'influential')",0.1495101,0.2361809,0.0866708
87,-0.2924389,-0.1370207,"('unsuccessful', 'successful')",-0.2924389,-0.1370207,0.1554182
88,-0.18900318,-0.09970486,"('low', 'eminent')",-0.1890032,-0.0997049,0.0892983
