,spruce_male,spruce_female,tuple,average_male,average_female,female-male
0,0.109912954,-0.12697464,"('unsociable', 'sociable')",0.109913,-0.1269746,-0.2368876
1,1.1367056,1.1360822,"('unfriendly', 'friendly')",1.1367056,1.1360822,-0.0006234
2,0.41415066,0.596046,"('unlikable', 'likable')",0.4141507,0.596046,0.1818953
3,0.8905795,0.9758956,"('repellent', 'pleasant')",0.8905795,0.9758956,0.0853161
4,-7.209428,-7.2486906,"('disliked', 'liked')",-7.2094278,-7.2486906,-0.0392628
5,-0.47906363,-0.25010115,"('distant', 'outgoing')",-0.4790636,-0.2501011,0.2289625
6,-0.13835712,0.08589913,"('distant', 'open')",-0.1383571,0.0858991,0.2242562
7,0.7965751,0.7930921,"('insensitive', 'sensitive')",0.7965751,0.7930921,-0.003483
8,0.7421396,0.81156707,"('unaffectionate', 'affectionate')",0.7421396,0.8115671,0.0694275
9,1.2918017,1.4315574,"('unaffectionate', 'caring')",1.2918017,1.4315574,0.1397557
10,1.4095459,1.4608229,"('unsympathetic', 'sympathetic')",1.4095459,1.4608229,0.051277
11,1.9047529,1.9149323,"('unhelpful', 'helpful')",1.9047529,1.9149323,0.0101794
12,-1.5317447,-1.5347502,"('unsupportive', 'supportive')",-1.5317447,-1.5347502,-0.0030055
13,0.40266162,0.28253663,"('impolite', 'polite')",0.4026616,0.2825366,-0.120125
14,-0.17654648,-0.44312888,"('antisocial', 'social')",-0.1765465,-0.4431289,-0.2665824
15,0.44383958,0.36594808,"('boring', 'funny')",0.4438396,0.3659481,-0.0778915
16,-0.3908344,-0.34694946,"('unpopular', 'popular')",-0.3908344,-0.3469495,0.0438849
17,-0.009613942,0.069496244,"('nasty', 'nice')",-0.0096139,0.0694962,0.0791101
18,-0.6604061,-0.6970399,"('disagreeable', 'welcoming')",-0.6604061,-0.6970399,-0.0366338
19,-0.65499896,-0.4250665,"('inhospitable', 'hospitable')",-0.654999,-0.4250665,0.2299325
20,0.8304263,0.6381718,"('rough', 'thoughtful')",0.8304263,0.6381718,-0.1922545
21,0.0719329,0.21675763,"('immoral', 'moral')",0.0719329,0.2167576,0.1448247
22,-0.507192,-0.5353452,"('untrustworthy', 'trustworthy')",-0.507192,-0.5353452,-0.0281532
23,6.129836,6.115097,"('insincere', 'sincere')",6.1298361,6.115097,-0.0147391
24,1.6749321,1.6894228,"('dishonest', 'honest')",1.6749321,1.6894228,0.0144907
25,0.37007612,0.38278717,"('egoistic', 'altruistic')",0.3700761,0.3827872,0.0127111
26,0.3076372,0.08695598,"('hardhearted', 'benevolent')",0.3076372,0.086956,-0.2206812
27,1.7560482,1.6414267,"('hardhearted', 'softhearted')",1.7560482,1.6414267,-0.1146215
28,1.0626153,1.0522503,"('disloyal', 'loyal')",1.0626153,1.0522503,-0.010365
29,-0.6690128,-0.77717304,"('unfair', 'fair')",-0.6690128,-0.777173,-0.1081602
30,0.80912215,0.81185466,"('intolerant', 'tolerant')",0.8091221,0.8118547,0.0027326
31,-1.5826604,-1.5240874,"('evil', 'good')",-1.5826604,-1.5240874,0.058573
32,1.4393321,1.3185095,"('unkind', 'kind')",1.4393321,1.3185095,-0.1208226
33,-0.5175251,-0.44506344,"('wrong', 'right')",-0.5175251,-0.4450634,0.0724617
34,4.426063,4.631991,"('mean', 'honorable')",4.4260631,4.6319909,0.2059278
35,-1.2162313,-1.25683,"('corrupt', 'incorrupt')",-1.2162313,-1.25683,-0.0405987
36,-1.1991528,-1.1309779,"('hostile', 'amicable')",-1.1991528,-1.1309779,0.0681749
37,1.0471851,1.0418894,"('fake', 'genuine')",1.0471851,1.0418894,-0.0052957
38,-0.22403808,-0.15788472,"('untruthful', 'truthful')",-0.2240381,-0.1578847,0.0661534
39,0.072354145,0.023797244,"('exploitative', 'cooperative')",0.0723541,0.0237972,-0.0485569
40,-1.3940223,-1.59718,"('stingy', 'generous')",-1.3940223,-1.59718,-0.2031577
41,-0.0040452667,-0.02260644,"('unforgiving', 'forgiving')",-0.0040453,-0.0226064,-0.0185611
42,-1.7714312,-1.7784877,"('unreliable', 'reliable')",-1.7714312,-1.7784877,-0.0070565
43,1.1495259,1.1896732,"('irresponsible', 'responsible')",1.1495259,1.1896732,0.0401473
44,-0.9438736,-1.0281273,"('prejudiced', 'unprejudiced')",-0.9438736,-1.0281273,-0.0842537
45,0.47646144,0.36958626,"('incompetent', 'competent')",0.4764614,0.3695863,-0.1068751
46,-0.34907454,-0.36655867,"('uncompetitive', 'competitive')",-0.3490745,-0.3665587,-0.0174842
47,5.0375586,5.2080045,"('stupid', 'smart')",5.0375586,5.2080045,0.1704459
48,0.5235577,0.44627443,"('unintelligent', 'intelligent')",0.5235577,0.4462744,-0.0772833
49,0.2503366,0.4611945,"('unable', 'able')",0.2503366,0.4611945,0.2108579
50,-0.12273991,-0.07020607,"('clumsy', 'skillful')",-0.1227399,-0.0702061,0.0525338
51,0.52768254,0.48101017,"('uneducated', 'educated')",0.5276825,0.4810102,-0.0466723
52,-0.53213346,-0.4931662,"('irrational', 'rational')",-0.5321335,-0.4931662,0.0389673
53,-0.033327043,0.010583233,"('uncreative', 'creative')",-0.033327,0.0105832,0.0439102
54,1.0061693,1.3004131,"('incapable', 'capable')",1.0061693,1.3004131,0.2942438
55,0.88465613,0.78563726,"('incompetent', 'clever')",0.8846561,0.7856373,-0.0990188
56,0.8542256,0.7695716,"('impractical', 'practical')",0.8542256,0.7695716,-0.084654
57,-2.2391725,-2.2662745,"('unimaginative', 'imaginative')",-2.2391725,-2.2662745,-0.027102
58,-0.11422332,-0.18648359,"('undiscriminating', 'discriminating')",-0.1142233,-0.1864836,-0.0722603
59,-0.08347101,0.056250427,"('foolish', 'wise')",-0.083471,0.0562504,0.1397214
60,0.9208479,0.8799406,"('inefficient', 'efficient')",0.9208479,0.8799406,-0.0409073
61,0.09912474,-0.09594576,"('illogical', 'logical')",0.0991247,-0.0959458,-0.1950705
62,1.343599,1.3600234,"('incompetent', 'brilliant')",1.343599,1.3600234,0.0164244
63,0.52537847,0.5560691,"('unperceptive', 'insightful')",0.5253785,0.5560691,0.0306906
64,-5.6214504,-5.5711327,"('shy', 'confident')",-5.6214504,-5.5711327,0.0503177
65,0.60826117,0.5553778,"('insecure', 'secure')",0.6082612,0.5553778,-0.0528834
66,0.066430785,0.02698518,"('inactive', 'active')",0.0664308,0.0269852,-0.0394456
67,-0.23913394,-0.24970418,"('doubtful', 'determined')",-0.2391339,-0.2497042,-0.0105703
68,-0.50553817,-0.41916537,"('dependent', 'independent')",-0.5055382,-0.4191654,0.0863728
69,-1.995599,-1.8974612,"('lazy', 'industrious')",-1.995599,-1.8974612,0.0981378
70,1.5703622,1.554798,"('lethargic', 'energetic')",1.5703622,1.554798,-0.0155642
71,0.47952732,0.49192512,"('diffident', 'self-confident')",0.4795273,0.4919251,0.0123978
72,0.97467893,1.0304345,"('unambitious', 'ambitious')",0.9746789,1.0304345,0.0557556
73,-2.9069555,-2.9059932,"('helpless', 'self-reliant')",-2.9069555,-2.9059932,0.0009623
74,0.1852881,0.023776047,"('undedicated', 'dedicated')",0.1852881,0.023776,-0.1615121
75,-0.803023,-0.60752094,"('meek', 'impulsive')",-0.803023,-0.6075209,0.1955021
76,0.84607345,0.72558415,"('anxious', 'daring')",0.8460734,0.7255841,-0.1204893
77,-1.3450142,-1.2169273,"('unmotivated', 'motivated')",-1.3450142,-1.2169273,0.1280869
78,-0.6395843,-0.6277071,"('nonresilient', 'resilient')",-0.6395843,-0.6277071,0.0118772
79,-0.51599604,-0.24736355,"('wavering', 'unwavering')",-0.515996,-0.2473636,0.2686324
80,0.028054342,-0.17511204,"('dominated', 'dominating')",0.0280543,-0.175112,-0.2031663
81,0.35058644,0.3166681,"('submissive', 'aggressive')",0.3505864,0.3166681,-0.0339183
82,6.58271,6.7846546,"('poor', 'rich')",6.5827098,6.7846546,0.2019448
