,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.717547,0.5799967,"('unsociable', 'sociable')",-0.31395516,-0.5020724,0.2017959,0.0389622,-0.1628337
1,0.15596712,0.03138254,"('unfriendly', 'friendly')",1.1287415,0.99034953,0.6423543,0.510866,-0.1314883
2,0.46791515,0.49467716,"('unlikable', 'likable')",0.45387098,0.46051723,0.4608931,0.4775972,0.0167041
3,0.33066958,0.4228708,"('repellent', 'pleasant')",0.7970868,0.70148903,0.5638782,0.5621799,-0.0016983
4,-1.258868,-1.3117255,"('disliked', 'liked')",-6.8623514,-6.829108,-4.0606098,-4.0704169,-0.0098071
5,-1.2257946,-1.3789754,"('distant', 'outgoing')",-0.40685472,-0.36487865,-0.8163247,-0.871927,-0.0556023
6,-1.7185314,-1.811931,"('distant', 'open')",-0.49707627,-0.49391115,-1.1078038,-1.1529211,-0.0451173
7,0.5150828,0.5515775,"('insensitive', 'sensitive')",0.061951537,-0.0006756913,0.2885171,0.2754509,-0.0130662
8,0.47609282,0.4355054,"('unaffectionate', 'affectionate')",0.49858475,0.47062773,0.4873388,0.4530666,-0.0342722
9,1.1469201,1.057415,"('unaffectionate', 'caring')",1.101833,1.0721921,1.1243765,1.0648036,-0.0595729
10,0.9786921,0.92826045,"('unsympathetic', 'sympathetic')",-0.5925345,-0.73951524,0.1930788,0.0943726,-0.0987062
11,1.1541983,1.1549673,"('unhelpful', 'helpful')",1.9407297,1.9665748,1.547464,1.560771,0.013307
12,1.7130604,1.6510619,"('unsupportive', 'supportive')",-1.9874609,-1.9622331,-0.1372002,-0.1555856,-0.0183854
13,0.0038923249,0.050170694,"('impolite', 'polite')",-1.1364003,-1.2116268,-0.566254,-0.5807281,-0.0144741
14,0.7025198,0.6832177,"('antisocial', 'social')",-0.31822714,-0.4683066,0.1921463,0.1074556,-0.0846907
15,-0.02760658,-0.15614122,"('boring', 'funny')",-0.4067975,-0.34287375,-0.217202,-0.2495075,-0.0323055
16,-1.9177049,-1.8537803,"('unpopular', 'popular')",0.510578,0.52246064,-0.7035635,-0.6656598,0.0379037
17,-1.4568632,-1.3655292,"('nasty', 'nice')",-0.91664225,-0.7395032,-1.1867527,-1.0525162,0.1342365
18,-0.13293232,-0.1797838,"('disagreeable', 'welcoming')",-0.5211505,-0.6202726,-0.3270414,-0.4000282,-0.0729868
19,-0.8926347,-0.9329336,"('inhospitable', 'hospitable')",-0.612728,-0.4673925,-0.7526814,-0.7001631,0.0525183
20,0.112081334,0.06777321,"('rough', 'thoughtful')",0.7337175,0.69968706,0.4228994,0.3837301,-0.0391693
21,1.278737,1.2076428,"('immoral', 'moral')",-0.34552863,-0.43308672,0.4666042,0.387278,-0.0793262
22,0.8438505,0.7195352,"('untrustworthy', 'trustworthy')",-0.99872106,-1.1437328,-0.0774353,-0.2120988,-0.1346635
23,1.6290739,1.4850827,"('insincere', 'sincere')",5.8370876,5.7071967,3.7330809,3.5961397,-0.1369412
24,1.1047575,1.0757542,"('dishonest', 'honest')",0.5004518,0.44089618,0.8026047,0.7583252,-0.0442795
25,-0.18493474,-0.2047284,"('egoistic', 'altruistic')",0.9037663,0.907898,0.3594158,0.3515848,-0.007831
26,0.58782476,0.4655852,"('hardhearted', 'benevolent')",1.463191,1.4000183,1.0255079,0.9328018,-0.0927061
27,0.0054568397,-0.04363282,"('hardhearted', 'softhearted')",0.7528066,0.6345207,0.3791317,0.295444,-0.0836877
28,1.6754028,1.5023856,"('disloyal', 'loyal')",1.5641766,1.4236817,1.6197896,1.4630337,-0.1567559
29,-0.542598,-0.6443541,"('unfair', 'fair')",-0.40945166,-0.5400173,-0.4760248,-0.5921857,-0.1161609
30,1.1453019,1.1699309,"('intolerant', 'tolerant')",0.5199875,0.4862085,0.8326447,0.8280697,-0.004575
31,-1.8229334,-1.825774,"('evil', 'good')",-1.0844517,-1.0407984,-1.4536926,-1.4332862,0.0204064
32,0.8388708,0.70355904,"('unkind', 'kind')",0.49370202,0.22605638,0.6662864,0.4648077,-0.2014787
33,-0.45972186,-0.5626331,"('wrong', 'right')",-0.7438885,-0.6641708,-0.6018052,-0.6134019,-0.0115967
